branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
acea,895b431298fbde31cd583dfb150bf456c03ee081b3ee0fb23a5ee804d610d27a,masked_substitution,ac063adcb4186a63a057715549705614ec42ac2f17e7bd96f3e1303cb734dfdc,primary_parent,b6c690c7afa612d29c4cf07e79a3f28f4f215f249d48f537e8d0a77931c02d8e,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.3713666928973733,1.5039697286543876,0.13260303575701426,-0.13260303575701426,true,df5bf18dc4d7b2fa248a8ac688dc0175289ee35a7e67d787a7850400caefdb2d
acea,895b431298fbde31cd583dfb150bf456c03ee081b3ee0fb23a5ee804d610d27a,masked_substitution,ac063adcb4186a63a057715549705614ec42ac2f17e7bd96f3e1303cb734dfdc,primary_parent,b6c690c7afa612d29c4cf07e79a3f28f4f215f249d48f537e8d0a77931c02d8e,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,32.280952,24.64761904761904,-7.633332952380957,7.633332952380957,true,56d61727539bb07a0498f3f399dc708662d52e576f3bb3324be0a7f750ec3daf
acea,895b431298fbde31cd583dfb150bf456c03ee081b3ee0fb23a5ee804d610d27a,masked_substitution,ac063adcb4186a63a057715549705614ec42ac2f17e7bd96f3e1303cb734dfdc,primary_parent,b6c690c7afa612d29c4cf07e79a3f28f4f215f249d48f537e8d0a77931c02d8e,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.11744209636586685,0.043043823736450645,-0.0743982726294162,,true,b413567f1a31a26c466dfdf96e95324113e18b10aade8699b1a955cc6888750d
acea,895b431298fbde31cd583dfb150bf456c03ee081b3ee0fb23a5ee804d610d27a,masked_substitution,ac063adcb4186a63a057715549705614ec42ac2f17e7bd96f3e1303cb734dfdc,primary_parent,b6c690c7afa612d29c4cf07e79a3f28f4f215f249d48f537e8d0a77931c02d8e,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.14285714285714285,0.14285714285714285,0.0,,false,dac2afffa33594438424ac809356ae3edcdab2ebf5ec2003854a5bda50f8532c
acea,895b431298fbde31cd583dfb150bf456c03ee081b3ee0fb23a5ee804d610d27a,masked_substitution,ac063adcb4186a63a057715549705614ec42ac2f17e7bd96f3e1303cb734dfdc,primary_parent,b6c690c7afa612d29c4cf07e79a3f28f4f215f249d48f537e8d0a77931c02d8e,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.312054991722107,1.3453805446624756,0.03332555294036865,-0.03332555294036865,true,fd0810c79145ae9cffda9cf040e9ef1fbdfef3c09ed5a461bbfb244a8caf64d4
acea,895b431298fbde31cd583dfb150bf456c03ee081b3ee0fb23a5ee804d610d27a,masked_substitution,ac063adcb4186a63a057715549705614ec42ac2f17e7bd96f3e1303cb734dfdc,primary_parent,b6c690c7afa612d29c4cf07e79a3f28f4f215f249d48f537e8d0a77931c02d8e,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.475,0.277,-0.19799999999999995,-0.19799999999999995,true,72cd430ecb51fe5b0d7f3b69f2d61f74f98691ac4eef66ef0c260865cd24cd90
acea,895b431298fbde31cd583dfb150bf456c03ee081b3ee0fb23a5ee804d610d27a,masked_substitution,ac063adcb4186a63a057715549705614ec42ac2f17e7bd96f3e1303cb734dfdc,primary_parent,b6c690c7afa612d29c4cf07e79a3f28f4f215f249d48f537e8d0a77931c02d8e,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,high,low,,,true,262967a1fde1d198ea4210a6c535ff5bd5183fe9a3072f24a89d754852924761
acea,895b431298fbde31cd583dfb150bf456c03ee081b3ee0fb23a5ee804d610d27a,masked_substitution,ac063adcb4186a63a057715549705614ec42ac2f17e7bd96f3e1303cb734dfdc,primary_parent,b6c690c7afa612d29c4cf07e79a3f28f4f215f249d48f537e8d0a77931c02d8e,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.703,0.465,-0.23799999999999993,0.23799999999999993,true,fc3321933f94bc62e0373d8ce8f0b88482b1f6dee5a07d08e2182e2d4422a70a
acea,895b431298fbde31cd583dfb150bf456c03ee081b3ee0fb23a5ee804d610d27a,masked_substitution,ac063adcb4186a63a057715549705614ec42ac2f17e7bd96f3e1303cb734dfdc,primary_parent,b6c690c7afa612d29c4cf07e79a3f28f4f215f249d48f537e8d0a77931c02d8e,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,bb02ac07add5d95181ac569ec8668abf42d31a0b1ea939c61f50f9f5a916f638
acea,895b431298fbde31cd583dfb150bf456c03ee081b3ee0fb23a5ee804d610d27a,masked_substitution,ac063adcb4186a63a057715549705614ec42ac2f17e7bd96f3e1303cb734dfdc,primary_parent,b6c690c7afa612d29c4cf07e79a3f28f4f215f249d48f537e8d0a77931c02d8e,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,10.067,8.067,-2.0,,true,9fde45d84f1a081fa62ac5f99d30e73e4d779b3b3864899985524ad3aa8d4952
