branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
acea,28e1d273f5f8b2e85304c7be3375c29b35767d47f4728fda722fa8352b884e6f,masked_substitution,1f582554c4429a2fdb555762fe7b43a59d389d764208ad2426b0531ef13d9de9,primary_parent,01f3740d9c4af742501af433688119fd823b76521926ddd785c6ec8827f4be66,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.238863337210232,1.3275100856719804,0.08864674846174836,-0.08864674846174836,true,6cd7150d4d365115ba116194e90aa3cbb23afbe81d4556fc612071be7a6b692a
acea,28e1d273f5f8b2e85304c7be3375c29b35767d47f4728fda722fa8352b884e6f,masked_substitution,1f582554c4429a2fdb555762fe7b43a59d389d764208ad2426b0531ef13d9de9,primary_parent,01f3740d9c4af742501af433688119fd823b76521926ddd785c6ec8827f4be66,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,-6.095238095238094,-10.138095,-4.042856904761906,4.042856904761906,true,43788c88010b4b2a523f2bac6687ca0622b293a653cdd173970109f4894ef2d0
acea,28e1d273f5f8b2e85304c7be3375c29b35767d47f4728fda722fa8352b884e6f,masked_substitution,1f582554c4429a2fdb555762fe7b43a59d389d764208ad2426b0531ef13d9de9,primary_parent,01f3740d9c4af742501af433688119fd823b76521926ddd785c6ec8827f4be66,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.09035229181308606,0.05535225969816839,-0.035000032114917666,,true,df79e4ef515e4b3d843824c59b64b860472a91a152d2a7d4702be5311a4db5b6
acea,28e1d273f5f8b2e85304c7be3375c29b35767d47f4728fda722fa8352b884e6f,masked_substitution,1f582554c4429a2fdb555762fe7b43a59d389d764208ad2426b0531ef13d9de9,primary_parent,01f3740d9c4af742501af433688119fd823b76521926ddd785c6ec8827f4be66,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.23809523809523808,0.19047619047619047,-0.047619047619047616,,true,cfebffbe9884415116b206c89525231bf3dca3972012529eaa315cfb61b1729d
acea,28e1d273f5f8b2e85304c7be3375c29b35767d47f4728fda722fa8352b884e6f,masked_substitution,1f582554c4429a2fdb555762fe7b43a59d389d764208ad2426b0531ef13d9de9,primary_parent,01f3740d9c4af742501af433688119fd823b76521926ddd785c6ec8827f4be66,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.4921894073486328,1.3781412839889526,-0.11404812335968018,0.11404812335968018,true,628a8e29503ee6a7317873edd07b4659148aebeba2b9e4de51ae450adf7ac5cd
acea,28e1d273f5f8b2e85304c7be3375c29b35767d47f4728fda722fa8352b884e6f,masked_substitution,1f582554c4429a2fdb555762fe7b43a59d389d764208ad2426b0531ef13d9de9,primary_parent,01f3740d9c4af742501af433688119fd823b76521926ddd785c6ec8827f4be66,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.436,0.307,-0.129,-0.129,true,37fd8809126714836b2c71f07b0bf5a3b40e382a5750819a3f0996cf333053f8
acea,28e1d273f5f8b2e85304c7be3375c29b35767d47f4728fda722fa8352b884e6f,masked_substitution,1f582554c4429a2fdb555762fe7b43a59d389d764208ad2426b0531ef13d9de9,primary_parent,01f3740d9c4af742501af433688119fd823b76521926ddd785c6ec8827f4be66,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,d0d08bd8b7aebb5925fb9c16b24ada7460b49a6d9caa6af28b81e0dd423e1a4c
acea,28e1d273f5f8b2e85304c7be3375c29b35767d47f4728fda722fa8352b884e6f,masked_substitution,1f582554c4429a2fdb555762fe7b43a59d389d764208ad2426b0531ef13d9de9,primary_parent,01f3740d9c4af742501af433688119fd823b76521926ddd785c6ec8827f4be66,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.416,0.396,-0.019999999999999962,0.019999999999999962,true,6d208ee2bdb60d839bbe19a8759150ab5d1d5eb4ea7ed3e2f7fa8d022ba59254
acea,28e1d273f5f8b2e85304c7be3375c29b35767d47f4728fda722fa8352b884e6f,masked_substitution,1f582554c4429a2fdb555762fe7b43a59d389d764208ad2426b0531ef13d9de9,primary_parent,01f3740d9c4af742501af433688119fd823b76521926ddd785c6ec8827f4be66,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,2.0,1.0,-1.0,1.0,true,2d677906bb00233631c4f188eb2dc477a54d1399eabf69275b607a37e4da4c7d
acea,28e1d273f5f8b2e85304c7be3375c29b35767d47f4728fda722fa8352b884e6f,masked_substitution,1f582554c4429a2fdb555762fe7b43a59d389d764208ad2426b0531ef13d9de9,primary_parent,01f3740d9c4af742501af433688119fd823b76521926ddd785c6ec8827f4be66,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,5.987,6.987,1.0,,true,3ef35f8868d2e2dda2b81fee1fc0e24b0e1440c2909aa94f2f7e65c13f2e35f6
