branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
acea,f7314a086c692db1dc2d0f6065f7bf7f1e1f974f59f37d6c96f5c428c457937d,masked_substitution,5a84811674d064c7aa057315622fe70302d3b9de1942fdb08b01e56e336c74f5,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.486531137103722,1.548812571854365,0.06228143475064307,-0.06228143475064307,true,c9e9e23b06d6df3bbc198ccd2af1649d7e4c3ffe2b9a9ba0970273336e841f51
acea,f7314a086c692db1dc2d0f6065f7bf7f1e1f974f59f37d6c96f5c428c457937d,masked_substitution,5a84811674d064c7aa057315622fe70302d3b9de1942fdb08b01e56e336c74f5,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,25.605,25.60500000000001,1.0658141036401503e-14,-1.0658141036401503e-14,true,e4bf945b01bf4d241bd3d5369655d06e3cce9585d2774c362cb861fbcc099131
acea,f7314a086c692db1dc2d0f6065f7bf7f1e1f974f59f37d6c96f5c428c457937d,masked_substitution,5a84811674d064c7aa057315622fe70302d3b9de1942fdb08b01e56e336c74f5,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.16813446767881973,0.24256474575013548,0.07443027807131575,,true,4b41ee5f97766843802c5197331b6417629482eaae000da46358533e79e2da04
acea,f7314a086c692db1dc2d0f6065f7bf7f1e1f974f59f37d6c96f5c428c457937d,masked_substitution,5a84811674d064c7aa057315622fe70302d3b9de1942fdb08b01e56e336c74f5,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.05,0.1,0.05,,true,af8439c469f342be7d8de1941c05d4cf6ce68ecfed7b36ab13226d3dfd1bce1e
acea,f7314a086c692db1dc2d0f6065f7bf7f1e1f974f59f37d6c96f5c428c457937d,masked_substitution,5a84811674d064c7aa057315622fe70302d3b9de1942fdb08b01e56e336c74f5,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.2532488107681274,1.3195101022720337,0.06626129150390625,-0.06626129150390625,true,8af9fd856333eac80041e6069868560a1b41c5d8c308b3f9c246aaaec6b00080
acea,f7314a086c692db1dc2d0f6065f7bf7f1e1f974f59f37d6c96f5c428c457937d,masked_substitution,5a84811674d064c7aa057315622fe70302d3b9de1942fdb08b01e56e336c74f5,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.194,0.386,0.192,0.192,true,1e76d9bee4aad67c4e5c29848b715383a94966dc55428db9cc0989fa63fbda50
acea,f7314a086c692db1dc2d0f6065f7bf7f1e1f974f59f37d6c96f5c428c457937d,masked_substitution,5a84811674d064c7aa057315622fe70302d3b9de1942fdb08b01e56e336c74f5,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,2e19c397426ad76bde774308eb2290763f9904e915e2f1f0ccd915bbdce09495
acea,f7314a086c692db1dc2d0f6065f7bf7f1e1f974f59f37d6c96f5c428c457937d,masked_substitution,5a84811674d064c7aa057315622fe70302d3b9de1942fdb08b01e56e336c74f5,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.327,0.257,-0.07,0.07,true,4979ceff13f5d4c8687380385d44d0d6b19636f89ebc09e8039435af860f11c5
acea,f7314a086c692db1dc2d0f6065f7bf7f1e1f974f59f37d6c96f5c428c457937d,masked_substitution,5a84811674d064c7aa057315622fe70302d3b9de1942fdb08b01e56e336c74f5,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,c4f649e142cc4d9c223d8ab4970b140581ca363e96baf49af3d0508910078b7e
acea,f7314a086c692db1dc2d0f6065f7bf7f1e1f974f59f37d6c96f5c428c457937d,masked_substitution,5a84811674d064c7aa057315622fe70302d3b9de1942fdb08b01e56e336c74f5,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,8.987,7.987,-1.0,,true,d01ef61771dd2cbb7cce17052934ca090d5bf3341792edc544c63a5fc5dbcf5f
acea,f7314a086c692db1dc2d0f6065f7bf7f1e1f974f59f37d6c96f5c428c457937d,masked_substitution,5a84811674d064c7aa057315622fe70302d3b9de1942fdb08b01e56e336c74f5,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.29,0.34,0.050000000000000044,-0.050000000000000044,true,2fadb30f68652b6c7b2079d8eb8de87f0a42dec571adca3f547457ff41c1010b
acea,f7314a086c692db1dc2d0f6065f7bf7f1e1f974f59f37d6c96f5c428c457937d,masked_substitution,5a84811674d064c7aa057315622fe70302d3b9de1942fdb08b01e56e336c74f5,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,toxinpred3_label,categorical,true,same_frozen_label_contract,audit,label,Non-Toxin,Non-Toxin,,,false,442da5a85346ba86f445456cd5278abe1ec67a51a8dddf81803889d81e4d1ff2
acea,52ec2735e172900cf7146e5247ffd2609a0a17b950455a5e855a727ef41c9264,masked_substitution,ce23eac2503498abb932fbd712fe5bb7534b2f73fbc61348db3784dd5bc8c8aa,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.486531137103722,1.5514471492017865,0.06491601209806452,-0.06491601209806452,true,8f02da551deb4487047936fbbab3fadbac8a208e1a200ee5fb4b159d3cf4a4bd
acea,52ec2735e172900cf7146e5247ffd2609a0a17b950455a5e855a727ef41c9264,masked_substitution,ce23eac2503498abb932fbd712fe5bb7534b2f73fbc61348db3784dd5bc8c8aa,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,25.605,25.60500000000001,1.0658141036401503e-14,-1.0658141036401503e-14,true,50d37ed77babf98338627ad6c5afd3f5de2bdde779fbc0f7c2c0af7576ba33a5
acea,52ec2735e172900cf7146e5247ffd2609a0a17b950455a5e855a727ef41c9264,masked_substitution,ce23eac2503498abb932fbd712fe5bb7534b2f73fbc61348db3784dd5bc8c8aa,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.16813446767881973,0.2721851760210772,0.10405070834225749,,true,32c427b989b59648acc705d6ffe500aaa7e2cc71b25ddf609a456d42af9a6fa8
acea,52ec2735e172900cf7146e5247ffd2609a0a17b950455a5e855a727ef41c9264,masked_substitution,ce23eac2503498abb932fbd712fe5bb7534b2f73fbc61348db3784dd5bc8c8aa,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.05,0.1,0.05,,true,da8558c47cf440415796fb7001984846c7a5a9b0cc8eee2b116ecda3b412831f
acea,52ec2735e172900cf7146e5247ffd2609a0a17b950455a5e855a727ef41c9264,masked_substitution,ce23eac2503498abb932fbd712fe5bb7534b2f73fbc61348db3784dd5bc8c8aa,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.2532488107681274,1.4559427499771118,0.20269393920898438,-0.20269393920898438,true,4c523d0d79c8a3195fc8ea7ea46987d06d1747b8500745bd8b78e9c8f3db7e61
acea,52ec2735e172900cf7146e5247ffd2609a0a17b950455a5e855a727ef41c9264,masked_substitution,ce23eac2503498abb932fbd712fe5bb7534b2f73fbc61348db3784dd5bc8c8aa,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.194,0.406,0.21200000000000002,0.21200000000000002,true,69aa96d5cb9875c9ccb940e8f1b8ad4b0b17dbed5a9a4618ad2e7bff45f9b88a
acea,52ec2735e172900cf7146e5247ffd2609a0a17b950455a5e855a727ef41c9264,masked_substitution,ce23eac2503498abb932fbd712fe5bb7534b2f73fbc61348db3784dd5bc8c8aa,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,84d842e6c38e50d5cd7b44a017f4d60d36d0ee7f4f2578a0f95edb965084fdb0
acea,52ec2735e172900cf7146e5247ffd2609a0a17b950455a5e855a727ef41c9264,masked_substitution,ce23eac2503498abb932fbd712fe5bb7534b2f73fbc61348db3784dd5bc8c8aa,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.327,0.366,0.03899999999999998,-0.03899999999999998,true,8a4ede3e75abb36c74b7fb35ebbd5117d832a8b529853e03f5121b57eda4bbf6
acea,52ec2735e172900cf7146e5247ffd2609a0a17b950455a5e855a727ef41c9264,masked_substitution,ce23eac2503498abb932fbd712fe5bb7534b2f73fbc61348db3784dd5bc8c8aa,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,dfde2c348746c219ba491164641ad732833f20c050497d98beb1687fbb2016be
acea,52ec2735e172900cf7146e5247ffd2609a0a17b950455a5e855a727ef41c9264,masked_substitution,ce23eac2503498abb932fbd712fe5bb7534b2f73fbc61348db3784dd5bc8c8aa,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,8.987,7.987,-1.0,,true,4ccf04dbd5d5561890d05501eaa121d5cf2e7bc8462ab5997e9da61aa2323d02
acea,52ec2735e172900cf7146e5247ffd2609a0a17b950455a5e855a727ef41c9264,masked_substitution,ce23eac2503498abb932fbd712fe5bb7534b2f73fbc61348db3784dd5bc8c8aa,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.29,0.325,0.03500000000000003,-0.03500000000000003,true,79ef59c188fb61c692de4a93891de7747403924b17588d0e12c804bdea804448
acea,52ec2735e172900cf7146e5247ffd2609a0a17b950455a5e855a727ef41c9264,masked_substitution,ce23eac2503498abb932fbd712fe5bb7534b2f73fbc61348db3784dd5bc8c8aa,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,toxinpred3_label,categorical,true,same_frozen_label_contract,audit,label,Non-Toxin,Non-Toxin,,,false,60f9b2656c2df6fa65479dc771dfc4dc5cd666f98256af7a68d1bfafabaf8eb5
acea,670946712b12d07345c1032180d0a54566382420e5b2dd74544b81a7f3e17679,masked_substitution,ec602ac7bd533450470344d9b066664936d5e8d41dc5fd25392fc98af0777b5e,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.486531137103722,1.5334126235465586,0.04688148644283663,-0.04688148644283663,true,254ff0a7df20f657a700d0e1e1bf0f10558770e343f24df3e35674127415392a
acea,670946712b12d07345c1032180d0a54566382420e5b2dd74544b81a7f3e17679,masked_substitution,ec602ac7bd533450470344d9b066664936d5e8d41dc5fd25392fc98af0777b5e,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,25.605,25.60500000000001,1.0658141036401503e-14,-1.0658141036401503e-14,true,bd787c2f5c98c103910ee4a70b19460bc80e3c00bf173befb45657e7dedf35bb
acea,670946712b12d07345c1032180d0a54566382420e5b2dd74544b81a7f3e17679,masked_substitution,ec602ac7bd533450470344d9b066664936d5e8d41dc5fd25392fc98af0777b5e,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.16813446767881973,0.26050047095323403,0.0923660032744143,,true,efbb7d10e2fac327e16b27a919b7a8338e6e9d82ce95f6f0814cce37948b55c2
acea,670946712b12d07345c1032180d0a54566382420e5b2dd74544b81a7f3e17679,masked_substitution,ec602ac7bd533450470344d9b066664936d5e8d41dc5fd25392fc98af0777b5e,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.05,0.1,0.05,,true,9fa8ee835b2b9ddfafbb8ab7d0f7ba02b6186d392d04bf5f9f5c8f00c2123d4a
acea,670946712b12d07345c1032180d0a54566382420e5b2dd74544b81a7f3e17679,masked_substitution,ec602ac7bd533450470344d9b066664936d5e8d41dc5fd25392fc98af0777b5e,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.2532488107681274,1.4349673986434937,0.1817185878753662,-0.1817185878753662,true,64b53ff80a265714f16cef7b18c87742273dbb7b2e763bd6b02d84acd2f129b3
acea,670946712b12d07345c1032180d0a54566382420e5b2dd74544b81a7f3e17679,masked_substitution,ec602ac7bd533450470344d9b066664936d5e8d41dc5fd25392fc98af0777b5e,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.194,0.406,0.21200000000000002,0.21200000000000002,true,ecbdcb34b4999c05c7f306fdb0b7b288e218b61dbe99cacbc8a1c3a1a68e55ca
acea,670946712b12d07345c1032180d0a54566382420e5b2dd74544b81a7f3e17679,masked_substitution,ec602ac7bd533450470344d9b066664936d5e8d41dc5fd25392fc98af0777b5e,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,46d3562b8ab6604a5c80f8e0e1a9d8b2d5571577b6fa6329552b2323f08cc5bf
acea,670946712b12d07345c1032180d0a54566382420e5b2dd74544b81a7f3e17679,masked_substitution,ec602ac7bd533450470344d9b066664936d5e8d41dc5fd25392fc98af0777b5e,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.327,0.366,0.03899999999999998,-0.03899999999999998,true,1c3440f38c5e6e010513f64747c56b47529f9e299aeb1f74ea5bb1433494af64
acea,670946712b12d07345c1032180d0a54566382420e5b2dd74544b81a7f3e17679,masked_substitution,ec602ac7bd533450470344d9b066664936d5e8d41dc5fd25392fc98af0777b5e,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,857a15a3527312f87d5d4e7a8894f60e9357c4b25ec7542600630f1772ec538d
acea,670946712b12d07345c1032180d0a54566382420e5b2dd74544b81a7f3e17679,masked_substitution,ec602ac7bd533450470344d9b066664936d5e8d41dc5fd25392fc98af0777b5e,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,8.987,7.987,-1.0,,true,24dccb820e75350cb73a655dc87cd2b40fc27f1df89ff6acab65e162e52ecb3e
acea,670946712b12d07345c1032180d0a54566382420e5b2dd74544b81a7f3e17679,masked_substitution,ec602ac7bd533450470344d9b066664936d5e8d41dc5fd25392fc98af0777b5e,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.29,0.345,0.05499999999999999,-0.05499999999999999,true,86526e5f099b6ddf5ba9774d4a2c26efdeda35f2ed5a659a14cdebf1b8c7a49c
acea,670946712b12d07345c1032180d0a54566382420e5b2dd74544b81a7f3e17679,masked_substitution,ec602ac7bd533450470344d9b066664936d5e8d41dc5fd25392fc98af0777b5e,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,toxinpred3_label,categorical,true,same_frozen_label_contract,audit,label,Non-Toxin,Non-Toxin,,,false,7fd82d3241a098aaece60090ac3fbc3d3864bd62f3e47b6a411eb4a7bf071a15
acea,6bf6e92848157a4bf473fba0ef2d571ed5ae0afa37315ab67504b0709bf0da8c,masked_substitution,94ed4327155d56eaf5a4d0994d6d709daf3a137785042b028985de8c5e0807e1,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.486531137103722,1.5589803319563054,0.07244919485258339,-0.07244919485258339,true,d0a8b4f8eaae2f2d99d536e6f2c5e51e63d5724717c299fb8a389072a1720a98
acea,6bf6e92848157a4bf473fba0ef2d571ed5ae0afa37315ab67504b0709bf0da8c,masked_substitution,94ed4327155d56eaf5a4d0994d6d709daf3a137785042b028985de8c5e0807e1,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,25.605,21.36000000000001,-4.24499999999999,4.24499999999999,true,5ad59c20d09c1baa1fe704880997562646e9e00ebd94b1bfcaaedf4f3e1ed543
acea,6bf6e92848157a4bf473fba0ef2d571ed5ae0afa37315ab67504b0709bf0da8c,masked_substitution,94ed4327155d56eaf5a4d0994d6d709daf3a137785042b028985de8c5e0807e1,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.16813446767881973,0.26050047095323403,0.0923660032744143,,true,94a3f3f66ba55bab028601149d4cbaf95fa0887a2978142162b74a645a821048
acea,6bf6e92848157a4bf473fba0ef2d571ed5ae0afa37315ab67504b0709bf0da8c,masked_substitution,94ed4327155d56eaf5a4d0994d6d709daf3a137785042b028985de8c5e0807e1,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.05,0.1,0.05,,true,42ba0269dcf191653917ddcd9abd2b0e66e9eec7b4194c615ff90fb130a9f804
acea,6bf6e92848157a4bf473fba0ef2d571ed5ae0afa37315ab67504b0709bf0da8c,masked_substitution,94ed4327155d56eaf5a4d0994d6d709daf3a137785042b028985de8c5e0807e1,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.2532488107681274,1.6398735046386719,0.38662469387054443,-0.38662469387054443,true,1769800ddde22df0d201f3249f031c1ef1bce183dd8d18634ba0ac065bbdc769
acea,6bf6e92848157a4bf473fba0ef2d571ed5ae0afa37315ab67504b0709bf0da8c,masked_substitution,94ed4327155d56eaf5a4d0994d6d709daf3a137785042b028985de8c5e0807e1,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.194,0.366,0.172,0.172,true,cc8138150626273ca63de632c1e7aaf5f7dd862ec5a4040f9fca57e78a03adf6
acea,6bf6e92848157a4bf473fba0ef2d571ed5ae0afa37315ab67504b0709bf0da8c,masked_substitution,94ed4327155d56eaf5a4d0994d6d709daf3a137785042b028985de8c5e0807e1,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,2f5b1eac981f7002a54ab9fdb5afa56a853b4731fedeabf592ab34763fa07f3e
acea,6bf6e92848157a4bf473fba0ef2d571ed5ae0afa37315ab67504b0709bf0da8c,masked_substitution,94ed4327155d56eaf5a4d0994d6d709daf3a137785042b028985de8c5e0807e1,primary_parent,07a23e7517fa142d2b5d334a073571f66c9c18b623055974ef850bd68c5a0f18,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.327,0.327,0.0,-0.0,false,8d99ce389881abfaed31df887a7298d8ffe1d38ec5b4e854a2f2585183bbd086
