branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
acea,4b72052a001247d80a024329e02d5cdf73d5aa07701d4926ef9b676160bb7620,masked_substitution,f9e5b95cdfdf14a5fd906595b4254d00baa8b68755a6571e2977e99ab46f8467,primary_parent,c711e4badf205a0a9e02ed0f3ab5ef0a355a5bec283d45b116cec79208bca8ce,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.3714918146160502,1.4131481724944026,0.041656357878352424,-0.041656357878352424,true,390908a380987bb87e551d2ae1de4232b41346ea928043f3ec953f696996aaa7
acea,4b72052a001247d80a024329e02d5cdf73d5aa07701d4926ef9b676160bb7620,masked_substitution,f9e5b95cdfdf14a5fd906595b4254d00baa8b68755a6571e2977e99ab46f8467,primary_parent,c711e4badf205a0a9e02ed0f3ab5ef0a355a5bec283d45b116cec79208bca8ce,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,13.981818181818177,13.981818181818177,0.0,-0.0,false,840fa17ca70e56eaea5ef8cda1a6319aeef92acf07028c33e2b30e47a7dd8976
acea,4b72052a001247d80a024329e02d5cdf73d5aa07701d4926ef9b676160bb7620,masked_substitution,f9e5b95cdfdf14a5fd906595b4254d00baa8b68755a6571e2977e99ab46f8467,primary_parent,c711e4badf205a0a9e02ed0f3ab5ef0a355a5bec283d45b116cec79208bca8ce,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.1711296019729468,0.2556167386337346,0.08448713666078778,,true,99beb5e1163a92ca7248cb2659575d377790bf96891a9fba03e8528d743b47b3
acea,4b72052a001247d80a024329e02d5cdf73d5aa07701d4926ef9b676160bb7620,masked_substitution,f9e5b95cdfdf14a5fd906595b4254d00baa8b68755a6571e2977e99ab46f8467,primary_parent,c711e4badf205a0a9e02ed0f3ab5ef0a355a5bec283d45b116cec79208bca8ce,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.045454545454545456,0.09090909090909091,0.045454545454545456,,true,19fc3e4b9d27d2163c16af620ebcc451584d11cf3182715e6920cf8c6e32b50d
acea,4b72052a001247d80a024329e02d5cdf73d5aa07701d4926ef9b676160bb7620,masked_substitution,f9e5b95cdfdf14a5fd906595b4254d00baa8b68755a6571e2977e99ab46f8467,primary_parent,c711e4badf205a0a9e02ed0f3ab5ef0a355a5bec283d45b116cec79208bca8ce,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.4929496049880981,1.6985254287719727,0.2055758237838745,-0.2055758237838745,true,98ab4d3f0386b4a63dc6834aa9215e1ddcef2abd9bc40b60fa51b6c40e304639
acea,4b72052a001247d80a024329e02d5cdf73d5aa07701d4926ef9b676160bb7620,masked_substitution,f9e5b95cdfdf14a5fd906595b4254d00baa8b68755a6571e2977e99ab46f8467,primary_parent,c711e4badf205a0a9e02ed0f3ab5ef0a355a5bec283d45b116cec79208bca8ce,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.392,0.426,0.033999999999999975,0.033999999999999975,true,c335764c6bd08066627e1f0f5148d31b11a857b5cde425a311c1e0508c1fae27
acea,4b72052a001247d80a024329e02d5cdf73d5aa07701d4926ef9b676160bb7620,masked_substitution,f9e5b95cdfdf14a5fd906595b4254d00baa8b68755a6571e2977e99ab46f8467,primary_parent,c711e4badf205a0a9e02ed0f3ab5ef0a355a5bec283d45b116cec79208bca8ce,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,7884216796d9324d6c421294f09e266bd9f716ca8bf109d695995f364803d9aa
acea,4b72052a001247d80a024329e02d5cdf73d5aa07701d4926ef9b676160bb7620,masked_substitution,f9e5b95cdfdf14a5fd906595b4254d00baa8b68755a6571e2977e99ab46f8467,primary_parent,c711e4badf205a0a9e02ed0f3ab5ef0a355a5bec283d45b116cec79208bca8ce,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.396,0.436,0.03999999999999998,-0.03999999999999998,true,2ea0e4b68bf1939278bab641ebbb554e4b82d72cdcaadaff3236f2339647e5b6
acea,4b72052a001247d80a024329e02d5cdf73d5aa07701d4926ef9b676160bb7620,masked_substitution,f9e5b95cdfdf14a5fd906595b4254d00baa8b68755a6571e2977e99ab46f8467,primary_parent,c711e4badf205a0a9e02ed0f3ab5ef0a355a5bec283d45b116cec79208bca8ce,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,3fce727697cba31b2982efd1fd7140b7f6daafbfc12b2e35d6e59367db312430
acea,4b72052a001247d80a024329e02d5cdf73d5aa07701d4926ef9b676160bb7620,masked_substitution,f9e5b95cdfdf14a5fd906595b4254d00baa8b68755a6571e2977e99ab46f8467,primary_parent,c711e4badf205a0a9e02ed0f3ab5ef0a355a5bec283d45b116cec79208bca8ce,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,9.069,8.07,-0.9990000000000006,,true,b4f0cec5488411b6ee7ab9db7940048c30174884f27a5741599e97256ea873f3
acea,4b72052a001247d80a024329e02d5cdf73d5aa07701d4926ef9b676160bb7620,masked_substitution,f9e5b95cdfdf14a5fd906595b4254d00baa8b68755a6571e2977e99ab46f8467,primary_parent,c711e4badf205a0a9e02ed0f3ab5ef0a355a5bec283d45b116cec79208bca8ce,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.0,0.0,0.0,-0.0,false,02304cd871b284dbefd2242d847f92a0e89359975327cfdfa88158d796a028f6
acea,4b72052a001247d80a024329e02d5cdf73d5aa07701d4926ef9b676160bb7620,masked_substitution,f9e5b95cdfdf14a5fd906595b4254d00baa8b68755a6571e2977e99ab46f8467,primary_parent,c711e4badf205a0a9e02ed0f3ab5ef0a355a5bec283d45b116cec79208bca8ce,toxinpred3_label,categorical,true,same_frozen_label_contract,audit,label,Non-Toxin,Non-Toxin,,,false,0cd833f7ea5a7e6b7c80b42ae20d92dce7f01b9463bb26e762186425a9229b02
