branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,b5201f95a134a787a58a7f40f876edcea21db0e4c3964d859fc1cb403ba44a4a,masked_substitution,7af65abc86c6191356d99a5729efe3b3ce45f2648fb60b64ee538bf67a09039a,primary_parent,018b78dcc788378c4e067afe39da568505c828228e8eb6e36361d99fdebd4aef,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.0444785089832247,1.1865354342251706,0.1420569252419459,-0.1420569252419459,true,d6eaf53b16aa269123e13448c0b7e22d982cf9c826043731db7fe9b789863926
vegfa,b5201f95a134a787a58a7f40f876edcea21db0e4c3964d859fc1cb403ba44a4a,masked_substitution,7af65abc86c6191356d99a5729efe3b3ce45f2648fb60b64ee538bf67a09039a,primary_parent,018b78dcc788378c4e067afe39da568505c828228e8eb6e36361d99fdebd4aef,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,49.31,49.31,0.0,-0.0,false,b39083188c076413d800e226fd3e86ee591a9459787292cfcd0b2799475d2de1
vegfa,b5201f95a134a787a58a7f40f876edcea21db0e4c3964d859fc1cb403ba44a4a,masked_substitution,7af65abc86c6191356d99a5729efe3b3ce45f2648fb60b64ee538bf67a09039a,primary_parent,018b78dcc788378c4e067afe39da568505c828228e8eb6e36361d99fdebd4aef,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.2518284797578544,0.2875356780744995,0.035707198316645095,,true,b00cb98598b5de6830fd8046bd68686adb4186fcfa93c0476aa449977982a75e
vegfa,b5201f95a134a787a58a7f40f876edcea21db0e4c3964d859fc1cb403ba44a4a,masked_substitution,7af65abc86c6191356d99a5729efe3b3ce45f2648fb60b64ee538bf67a09039a,primary_parent,018b78dcc788378c4e067afe39da568505c828228e8eb6e36361d99fdebd4aef,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.15,0.15,0.0,,false,c8f81fd0b5e685a24360018b60e067ba6298447267a0e790004d42fb0a6e30e0
vegfa,b5201f95a134a787a58a7f40f876edcea21db0e4c3964d859fc1cb403ba44a4a,masked_substitution,7af65abc86c6191356d99a5729efe3b3ce45f2648fb60b64ee538bf67a09039a,primary_parent,018b78dcc788378c4e067afe39da568505c828228e8eb6e36361d99fdebd4aef,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.4179061651229858,1.3975354433059692,-0.0203707218170166,0.0203707218170166,true,dfab61038e2e319416771705370961d4c3fedc9531c5229e0f1e74f78fb4e1a3
vegfa,b5201f95a134a787a58a7f40f876edcea21db0e4c3964d859fc1cb403ba44a4a,masked_substitution,7af65abc86c6191356d99a5729efe3b3ce45f2648fb60b64ee538bf67a09039a,primary_parent,018b78dcc788378c4e067afe39da568505c828228e8eb6e36361d99fdebd4aef,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.545,0.455,-0.09000000000000002,-0.09000000000000002,true,b1470f4c9b658da1b536dc70b7eaece1c0ee8699b34d1d0ac672a31cc2fbfa4f
vegfa,b5201f95a134a787a58a7f40f876edcea21db0e4c3964d859fc1cb403ba44a4a,masked_substitution,7af65abc86c6191356d99a5729efe3b3ce45f2648fb60b64ee538bf67a09039a,primary_parent,018b78dcc788378c4e067afe39da568505c828228e8eb6e36361d99fdebd4aef,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,3a94c2f16fdb148a52b9e5fc10d3542f5e98f53774ac768477382cf883f67eab
vegfa,b5201f95a134a787a58a7f40f876edcea21db0e4c3964d859fc1cb403ba44a4a,masked_substitution,7af65abc86c6191356d99a5729efe3b3ce45f2648fb60b64ee538bf67a09039a,primary_parent,018b78dcc788378c4e067afe39da568505c828228e8eb6e36361d99fdebd4aef,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.475,0.426,-0.04899999999999999,0.04899999999999999,true,b74b8464e9a0c0bb8efa813edcf879be9696082a425e335d976481bfda955eac
vegfa,b5201f95a134a787a58a7f40f876edcea21db0e4c3964d859fc1cb403ba44a4a,masked_substitution,7af65abc86c6191356d99a5729efe3b3ce45f2648fb60b64ee538bf67a09039a,primary_parent,018b78dcc788378c4e067afe39da568505c828228e8eb6e36361d99fdebd4aef,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,2.0,2.0,0.0,-0.0,false,345c4046d44da1e81f001bb6c16f4d4022e064684d4a6b5ac8de9e1562a127d9
vegfa,b5201f95a134a787a58a7f40f876edcea21db0e4c3964d859fc1cb403ba44a4a,masked_substitution,7af65abc86c6191356d99a5729efe3b3ce45f2648fb60b64ee538bf67a09039a,primary_parent,018b78dcc788378c4e067afe39da568505c828228e8eb6e36361d99fdebd4aef,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,6.067,5.068,-0.9990000000000006,,true,6f61bdb11fd38645cdf7836ba8fd0a38b698ba510ad1c5933b8205107ee33194
vegfa,b5201f95a134a787a58a7f40f876edcea21db0e4c3964d859fc1cb403ba44a4a,masked_substitution,7af65abc86c6191356d99a5729efe3b3ce45f2648fb60b64ee538bf67a09039a,primary_parent,018b78dcc788378c4e067afe39da568505c828228e8eb6e36361d99fdebd4aef,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.22,0.2,-0.01999999999999999,0.01999999999999999,true,651874d25a3fd8c3c3f68a1ed66f937a5e0b5877bec6e45d4a1f3d2e764c2378
vegfa,b5201f95a134a787a58a7f40f876edcea21db0e4c3964d859fc1cb403ba44a4a,masked_substitution,7af65abc86c6191356d99a5729efe3b3ce45f2648fb60b64ee538bf67a09039a,primary_parent,018b78dcc788378c4e067afe39da568505c828228e8eb6e36361d99fdebd4aef,toxinpred3_label,categorical,true,same_frozen_label_contract,audit,label,Non-Toxin,Non-Toxin,,,false,51078ab3bc4617c861c96e3231c459c54f72e74cb9e86b97fe098dd490673300
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,primary_parent,6d0619af2a28ff80da49f9a526dbfee35ed19750d7894869fe5bd2adc4df3290,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.544136350273807,2.199508858893603,0.6553725086197961,-0.6553725086197961,true,441aa5992f548aff2bac268590c6e161b837ecce1b331b28eb08b31b2cf1bf3e
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,primary_parent,6d0619af2a28ff80da49f9a526dbfee35ed19750d7894869fe5bd2adc4df3290,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,27.004167,-17.091667,-44.095833999999996,44.095833999999996,true,efd7d2e941c92e487de14b4773e63c96fe3adf13c898275d34c2ea509a4d45b0
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,primary_parent,6d0619af2a28ff80da49f9a526dbfee35ed19750d7894869fe5bd2adc4df3290,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.07086035251984514,0.15381170374470374,0.0829513512248586,,true,c716fd6101d72ea238cf67f8477503a1dca8cff45b4106982d0776ca99b27a58
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,primary_parent,6d0619af2a28ff80da49f9a526dbfee35ed19750d7894869fe5bd2adc4df3290,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.041666666666666664,0.0,-0.041666666666666664,,true,86336f2867f8cdb574b50e84b74bd7aa524f7b076e10a94b6ffbca85a0703daa
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,primary_parent,6d0619af2a28ff80da49f9a526dbfee35ed19750d7894869fe5bd2adc4df3290,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.1899038553237915,2.373384952545166,1.1834810972213745,-1.1834810972213745,true,ea165067025793f30629b027681e0d94819258edc29f8f2dbb71edb8203c97c0
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,primary_parent,6d0619af2a28ff80da49f9a526dbfee35ed19750d7894869fe5bd2adc4df3290,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.584,0.406,-0.17799999999999994,-0.17799999999999994,true,31ca640002e5c8383488cd2d9b92a634366060345a99f3292587de0b7c130fa5
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,primary_parent,6d0619af2a28ff80da49f9a526dbfee35ed19750d7894869fe5bd2adc4df3290,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,46a7c3a5faa6e948245901326c45f9f81a126aed4a214323cb4494a2727203e8
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,primary_parent,6d0619af2a28ff80da49f9a526dbfee35ed19750d7894869fe5bd2adc4df3290,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.277,0.238,-0.039000000000000035,0.039000000000000035,true,7c4c6ff60acae3b75d7a36500612cee038810c2f274677db22e59c36f4d44766
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,primary_parent,6d0619af2a28ff80da49f9a526dbfee35ed19750d7894869fe5bd2adc4df3290,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,2.0,0.0,-2.0,2.0,true,d17812c729044e09719b5d12693fcd8db7c236023e63c2c3ac6f38fc2020637f
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,primary_parent,6d0619af2a28ff80da49f9a526dbfee35ed19750d7894869fe5bd2adc4df3290,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,4.107,5.07,0.9630000000000001,,true,b9990a912d3146165009597fa40e07015a174970a7a8663bca1a63ac610aacdc
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,primary_parent,6d0619af2a28ff80da49f9a526dbfee35ed19750d7894869fe5bd2adc4df3290,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.38,0.2,-0.18,0.18,true,16e8ca6fa4e12f618466ee46d8b046a682ad2eb34d0a2af1d7d08719b730b43e
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,primary_parent,6d0619af2a28ff80da49f9a526dbfee35ed19750d7894869fe5bd2adc4df3290,toxinpred3_label,categorical,true,same_frozen_label_contract,audit,label,Non-Toxin,Non-Toxin,,,false,36767ad661dbf0bc811aabc2e4a958b44fba260bd0936fd6c28365f0af3f2ef2
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,donor_parent,19022f9360854fad2439f099d83390ad182319f9339ce14dc8ccdf5baf532f87,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.1818250744932515,2.199508858893603,1.0176837844003517,-1.0176837844003517,true,37ee89e5a4dfea394cd919cb1369aab1f4439a8634086745790caa68932f95d6
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,donor_parent,19022f9360854fad2439f099d83390ad182319f9339ce14dc8ccdf5baf532f87,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,4.3375,-17.091667,-21.429167,21.429167,true,8de267908b1aa6f3ca05caac31925c172d74ee9f97d168c26f43bf81e0ec2b74
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,donor_parent,19022f9360854fad2439f099d83390ad182319f9339ce14dc8ccdf5baf532f87,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.26433884207194897,0.15381170374470374,-0.11052713832724523,,true,f6c542a8e855ff33851986edccabe9a3fb33783125152cb215eb898ce76c70f9
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,donor_parent,19022f9360854fad2439f099d83390ad182319f9339ce14dc8ccdf5baf532f87,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.041666666666666664,0.0,-0.041666666666666664,,true,9b47a92985c463aae39986e5ed4c9f5d22847d8c612437a83f9690e121e800c7
vegfa,021054389d08452279aaf42e03933a989e5c47891bf04740ae1989b5a67cc882,controlled_crossover,94ca941dc1d5aaaac96ddfdbc21f905bb9e353756385763638baf79cab850ea6,donor_parent,19022f9360854fad2439f099d83390ad182319f9339ce14dc8ccdf5baf532f87,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),0.9934717416763306,2.373384952545166,1.3799132108688354,-1.3799132108688354,true,c587026c214c0f3b446f5c4700eb528670454d10f0293bad3e22e4ac7b3e4cb2
