branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,3a2e821be090ddd66629cfe44f67e39a615b92a0d1fd99437a834e75c5d9d5df,masked_substitution,d9a2941c005778b1aaa3b46cb610a029d03543f084f0461c67c8d78784ff23c6,primary_parent,2e63871d8908b992a3ec113942dff8d3f933de2d13418750b237634fca5a2038,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.5194740168021477,1.4424980520756652,-0.0769759647264825,0.0769759647264825,true,801f85520897254198c15587e85ef1fae498a5571808ab5e3b6b7cdee870168a
vegfa,3a2e821be090ddd66629cfe44f67e39a615b92a0d1fd99437a834e75c5d9d5df,masked_substitution,d9a2941c005778b1aaa3b46cb610a029d03543f084f0461c67c8d78784ff23c6,primary_parent,2e63871d8908b992a3ec113942dff8d3f933de2d13418750b237634fca5a2038,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,10.828,13.844000000000003,3.0160000000000036,-3.0160000000000036,true,b8a40daa0026b988792da0d6b0610aa7f4556bb4453b5f4c8a4445312d4e0a38
vegfa,3a2e821be090ddd66629cfe44f67e39a615b92a0d1fd99437a834e75c5d9d5df,masked_substitution,d9a2941c005778b1aaa3b46cb610a029d03543f084f0461c67c8d78784ff23c6,primary_parent,2e63871d8908b992a3ec113942dff8d3f933de2d13418750b237634fca5a2038,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.1305553241164955,0.1053518063117407,-0.025203517804754813,,true,739ca873724dc73a0533a4fef2b350dfb788f5dd335f452768c660d27be32fb6
vegfa,3a2e821be090ddd66629cfe44f67e39a615b92a0d1fd99437a834e75c5d9d5df,masked_substitution,d9a2941c005778b1aaa3b46cb610a029d03543f084f0461c67c8d78784ff23c6,primary_parent,2e63871d8908b992a3ec113942dff8d3f933de2d13418750b237634fca5a2038,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.08,0.12,0.039999999999999994,,true,7bfa93ddc35fbbd0d08bb865d8fdadbcff48168409ad777db633367499e6a690
vegfa,3a2e821be090ddd66629cfe44f67e39a615b92a0d1fd99437a834e75c5d9d5df,masked_substitution,d9a2941c005778b1aaa3b46cb610a029d03543f084f0461c67c8d78784ff23c6,primary_parent,2e63871d8908b992a3ec113942dff8d3f933de2d13418750b237634fca5a2038,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),0.845569372177124,0.43723413348197937,-0.40833523869514465,0.40833523869514465,true,795b0ccae5bd2d298eb38991f41ff4e3eda85428382e2ff65dc5dea495b3357d
vegfa,3a2e821be090ddd66629cfe44f67e39a615b92a0d1fd99437a834e75c5d9d5df,masked_substitution,d9a2941c005778b1aaa3b46cb610a029d03543f084f0461c67c8d78784ff23c6,primary_parent,2e63871d8908b992a3ec113942dff8d3f933de2d13418750b237634fca5a2038,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.228,0.386,0.158,0.158,true,393b4db2be5ce33314ccc2e334c88f6faade6639b994bf35f8607276486e6173
vegfa,3a2e821be090ddd66629cfe44f67e39a615b92a0d1fd99437a834e75c5d9d5df,masked_substitution,d9a2941c005778b1aaa3b46cb610a029d03543f084f0461c67c8d78784ff23c6,primary_parent,2e63871d8908b992a3ec113942dff8d3f933de2d13418750b237634fca5a2038,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,62fd5305a7438bc79f08dd4775d70d04e433e4963f911c7413be05be63e8a00b
vegfa,3a2e821be090ddd66629cfe44f67e39a615b92a0d1fd99437a834e75c5d9d5df,masked_substitution,d9a2941c005778b1aaa3b46cb610a029d03543f084f0461c67c8d78784ff23c6,primary_parent,2e63871d8908b992a3ec113942dff8d3f933de2d13418750b237634fca5a2038,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.455,0.485,0.02999999999999997,-0.02999999999999997,true,ce13d6a36cebb0f3c15964f45ee47d7aa76c49461e7da6e66c6ca178353d4e10
vegfa,3a2e821be090ddd66629cfe44f67e39a615b92a0d1fd99437a834e75c5d9d5df,masked_substitution,d9a2941c005778b1aaa3b46cb610a029d03543f084f0461c67c8d78784ff23c6,primary_parent,2e63871d8908b992a3ec113942dff8d3f933de2d13418750b237634fca5a2038,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,5569226175128b6b8ad619f2a6a674f31646a4a2b0748b8f9d794d77aa934f80
vegfa,3a2e821be090ddd66629cfe44f67e39a615b92a0d1fd99437a834e75c5d9d5df,masked_substitution,d9a2941c005778b1aaa3b46cb610a029d03543f084f0461c67c8d78784ff23c6,primary_parent,2e63871d8908b992a3ec113942dff8d3f933de2d13418750b237634fca5a2038,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,7.153,7.153,0.0,,false,254b5f0ad02ba60775bff9a7e75ffa4e13326c3467b324d94d2754f6e8158c77
