branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
fgf2,4597df126443e372d80d75d838fb03d92dfbd6a50cb988380c4a90c72fb78015,masked_substitution,2af9c4f271b83feb9caa55c875590b9d11285a8474c89f3f98364b9401de2232,primary_parent,33c93d5c40eedd7b584ca988e66e16c5a58ac57f62499b4cb797dff4ab22d4e8,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.9308771815866161,1.822863086113143,-0.10801409547347318,0.10801409547347318,true,6aba8c3bd5e73dc4e8c1380fd523cbb4d28aff52e97ce1e05ba4ba5f67c5c36f
fgf2,4597df126443e372d80d75d838fb03d92dfbd6a50cb988380c4a90c72fb78015,masked_substitution,2af9c4f271b83feb9caa55c875590b9d11285a8474c89f3f98364b9401de2232,primary_parent,33c93d5c40eedd7b584ca988e66e16c5a58ac57f62499b4cb797dff4ab22d4e8,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,26.82381,26.82380952380953,-4.7619047194302766e-07,4.7619047194302766e-07,true,37920ccdd0a21ec830b7b157c161e03ed485467596f90fa761711c3570cf25e7
fgf2,4597df126443e372d80d75d838fb03d92dfbd6a50cb988380c4a90c72fb78015,masked_substitution,2af9c4f271b83feb9caa55c875590b9d11285a8474c89f3f98364b9401de2232,primary_parent,33c93d5c40eedd7b584ca988e66e16c5a58ac57f62499b4cb797dff4ab22d4e8,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.20468947573195764,0.30533333209132385,0.10064385635936621,,true,85fa84309b3a61919b5eb01d38011f12aefb92d93d38b2da4d72d69278c50b8a
fgf2,4597df126443e372d80d75d838fb03d92dfbd6a50cb988380c4a90c72fb78015,masked_substitution,2af9c4f271b83feb9caa55c875590b9d11285a8474c89f3f98364b9401de2232,primary_parent,33c93d5c40eedd7b584ca988e66e16c5a58ac57f62499b4cb797dff4ab22d4e8,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.09523809523809523,0.14285714285714285,0.047619047619047616,,true,2270adeb6033bcbf3623c492959f4400f50e83560609268893ce55d79257af4e
fgf2,4597df126443e372d80d75d838fb03d92dfbd6a50cb988380c4a90c72fb78015,masked_substitution,2af9c4f271b83feb9caa55c875590b9d11285a8474c89f3f98364b9401de2232,primary_parent,33c93d5c40eedd7b584ca988e66e16c5a58ac57f62499b4cb797dff4ab22d4e8,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.4650440216064453,1.681960940361023,0.21691691875457764,-0.21691691875457764,true,98a0673771b86e7cc95914e482c060f070340bc05314e187eae84809784ce6c0
fgf2,4597df126443e372d80d75d838fb03d92dfbd6a50cb988380c4a90c72fb78015,masked_substitution,2af9c4f271b83feb9caa55c875590b9d11285a8474c89f3f98364b9401de2232,primary_parent,33c93d5c40eedd7b584ca988e66e16c5a58ac57f62499b4cb797dff4ab22d4e8,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.267,0.277,0.010000000000000009,0.010000000000000009,true,6570af5b03bd961c47a18286b633fd80b42d49fb05d641ee410f6406e56dcdb9
fgf2,4597df126443e372d80d75d838fb03d92dfbd6a50cb988380c4a90c72fb78015,masked_substitution,2af9c4f271b83feb9caa55c875590b9d11285a8474c89f3f98364b9401de2232,primary_parent,33c93d5c40eedd7b584ca988e66e16c5a58ac57f62499b4cb797dff4ab22d4e8,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,775c29bfbe12c4e506abfeb2d0981a0727d97d8b62ae69ba250b069bf9661171
fgf2,4597df126443e372d80d75d838fb03d92dfbd6a50cb988380c4a90c72fb78015,masked_substitution,2af9c4f271b83feb9caa55c875590b9d11285a8474c89f3f98364b9401de2232,primary_parent,33c93d5c40eedd7b584ca988e66e16c5a58ac57f62499b4cb797dff4ab22d4e8,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.396,0.337,-0.059,0.059,true,e051a3143e7a8c6357a6423ee84b41bcc1ebc98dcc543691ee4162bba091f26a
fgf2,4597df126443e372d80d75d838fb03d92dfbd6a50cb988380c4a90c72fb78015,masked_substitution,2af9c4f271b83feb9caa55c875590b9d11285a8474c89f3f98364b9401de2232,primary_parent,33c93d5c40eedd7b584ca988e66e16c5a58ac57f62499b4cb797dff4ab22d4e8,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,2.0,1.0,-1.0,true,b7ab1fc41b2450dd2f3e210ccdbf5122552a5c983cf979c30e3840930fa62801
fgf2,4597df126443e372d80d75d838fb03d92dfbd6a50cb988380c4a90c72fb78015,masked_substitution,2af9c4f271b83feb9caa55c875590b9d11285a8474c89f3f98364b9401de2232,primary_parent,33c93d5c40eedd7b584ca988e66e16c5a58ac57f62499b4cb797dff4ab22d4e8,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,6.986,5.987,-0.9989999999999997,,true,c5f8dfe2ac2a291bff2b0f82dc26b41c238f022a7a38e3eafc657641e40d51de
