branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
pbp2a,98269f238a6a718bfdb518e3e1c67a29b38feb1c3eae472e76c385b3ebfe2348,masked_substitution,2bbb0f624075b35ab7d1ec806b6c549c5270a2c8f579f6a62c01cf7c1537ad47,primary_parent,ec3717881f418e8d637013873d4d8d62a0e8f1a66b60f9a6c988f25db0562513,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.9688416766963708,1.7547425392716862,-0.21409913742468456,0.21409913742468456,true,bda3fea6b217bc988f2068a2fedd38c9565dfeb177abdd8db1e73032bc21fc58
pbp2a,98269f238a6a718bfdb518e3e1c67a29b38feb1c3eae472e76c385b3ebfe2348,masked_substitution,2bbb0f624075b35ab7d1ec806b6c549c5270a2c8f579f6a62c01cf7c1537ad47,primary_parent,ec3717881f418e8d637013873d4d8d62a0e8f1a66b60f9a6c988f25db0562513,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,16.145833333333336,19.2875,3.1416666666666657,-3.1416666666666657,true,d8d473353e1051ca3fd989073a010c0cf5ce5ad612bd2f7bac4d639926d1d5c9
pbp2a,98269f238a6a718bfdb518e3e1c67a29b38feb1c3eae472e76c385b3ebfe2348,masked_substitution,2bbb0f624075b35ab7d1ec806b6c549c5270a2c8f579f6a62c01cf7c1537ad47,primary_parent,ec3717881f418e8d637013873d4d8d62a0e8f1a66b60f9a6c988f25db0562513,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.2989070985350753,0.30509722267206946,0.006190124136994157,,true,64bc93ed2d8a7309152166f2dbb960b4449fa1c99027f2d0021bbe9d4ab624c3
pbp2a,98269f238a6a718bfdb518e3e1c67a29b38feb1c3eae472e76c385b3ebfe2348,masked_substitution,2bbb0f624075b35ab7d1ec806b6c549c5270a2c8f579f6a62c01cf7c1537ad47,primary_parent,ec3717881f418e8d637013873d4d8d62a0e8f1a66b60f9a6c988f25db0562513,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.0,0.041666666666666664,0.041666666666666664,,true,5bc793179f96ea631c77531e9a97c0651b50970ff5dae009b1d4eff57bc3d2a7
pbp2a,98269f238a6a718bfdb518e3e1c67a29b38feb1c3eae472e76c385b3ebfe2348,masked_substitution,2bbb0f624075b35ab7d1ec806b6c549c5270a2c8f579f6a62c01cf7c1537ad47,primary_parent,ec3717881f418e8d637013873d4d8d62a0e8f1a66b60f9a6c988f25db0562513,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.4359115362167358,1.4130380153656006,-0.022873520851135254,0.022873520851135254,true,8505d8d4a1e80dcb2b93dd2a6b835350f174fe63a5b6ad50e5fdc88081af7400
pbp2a,98269f238a6a718bfdb518e3e1c67a29b38feb1c3eae472e76c385b3ebfe2348,masked_substitution,2bbb0f624075b35ab7d1ec806b6c549c5270a2c8f579f6a62c01cf7c1537ad47,primary_parent,ec3717881f418e8d637013873d4d8d62a0e8f1a66b60f9a6c988f25db0562513,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.287,0.248,-0.03899999999999998,-0.03899999999999998,true,dd6cd6f8e05ef124c8a7d52d71748204e7af4d5f3f4cbf660ff598bb3a1779fa
pbp2a,98269f238a6a718bfdb518e3e1c67a29b38feb1c3eae472e76c385b3ebfe2348,masked_substitution,2bbb0f624075b35ab7d1ec806b6c549c5270a2c8f579f6a62c01cf7c1537ad47,primary_parent,ec3717881f418e8d637013873d4d8d62a0e8f1a66b60f9a6c988f25db0562513,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,e7c2bb5e296c304a26f7c055df310e0537cd0705d0c49c591641f33dc1b21adb
pbp2a,98269f238a6a718bfdb518e3e1c67a29b38feb1c3eae472e76c385b3ebfe2348,masked_substitution,2bbb0f624075b35ab7d1ec806b6c549c5270a2c8f579f6a62c01cf7c1537ad47,primary_parent,ec3717881f418e8d637013873d4d8d62a0e8f1a66b60f9a6c988f25db0562513,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.406,0.485,0.07899999999999996,-0.07899999999999996,true,3b70fc5f82fe320caf0047a3f84a2e37842e53a7bb94b9e5d16f6b2638ce1083
pbp2a,98269f238a6a718bfdb518e3e1c67a29b38feb1c3eae472e76c385b3ebfe2348,masked_substitution,2bbb0f624075b35ab7d1ec806b6c549c5270a2c8f579f6a62c01cf7c1537ad47,primary_parent,ec3717881f418e8d637013873d4d8d62a0e8f1a66b60f9a6c988f25db0562513,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,8f9f022f5e3af914f586fedac750a1d496e1fef175d4e2ff57903fbbbadcbc71
pbp2a,98269f238a6a718bfdb518e3e1c67a29b38feb1c3eae472e76c385b3ebfe2348,masked_substitution,2bbb0f624075b35ab7d1ec806b6c549c5270a2c8f579f6a62c01cf7c1537ad47,primary_parent,ec3717881f418e8d637013873d4d8d62a0e8f1a66b60f9a6c988f25db0562513,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,10.027,10.027,0.0,,false,bfd01561e1b243fb2e264429d5a2d79435f475c86ed163a3eef57b046d184ec8
