branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
fgf2,9192c67d0abf5cbac359936e18a1a89d19fdb12c38fcd3807013b75f9fee2da3,masked_substitution,4df524f8d4fd65aa01373c8e726af3abdd64cb05269d26c7db791b61979c7b92,primary_parent,bc587750319147c0e716a0bb19d17c9de4fec06ebdadaf09ddd1ae1aa9ef4c5b,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.775817750625876,1.7386771613126326,-0.03714058931324349,0.03714058931324349,true,bae81f324c86d2895ebac1e5941b1838f57fd0a4d9b1e62c0b3df0554197bd5b
fgf2,9192c67d0abf5cbac359936e18a1a89d19fdb12c38fcd3807013b75f9fee2da3,masked_substitution,4df524f8d4fd65aa01373c8e726af3abdd64cb05269d26c7db791b61979c7b92,primary_parent,bc587750319147c0e716a0bb19d17c9de4fec06ebdadaf09ddd1ae1aa9ef4c5b,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,2.08181818181818,-0.8909090909090924,-2.972727272727272,2.972727272727272,true,fc8dc5a5c1eed8f9c0c8a3b332588dac411b3d3bc874f64cf63466646c2e84ec
fgf2,9192c67d0abf5cbac359936e18a1a89d19fdb12c38fcd3807013b75f9fee2da3,masked_substitution,4df524f8d4fd65aa01373c8e726af3abdd64cb05269d26c7db791b61979c7b92,primary_parent,bc587750319147c0e716a0bb19d17c9de4fec06ebdadaf09ddd1ae1aa9ef4c5b,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.22741636880461258,0.25730801991062996,0.02989165110601738,,true,1f348fd45469c71b1a7eef1a2a0b98d2a4ce211c83dd86ee0294c335eb7f4120
fgf2,9192c67d0abf5cbac359936e18a1a89d19fdb12c38fcd3807013b75f9fee2da3,masked_substitution,4df524f8d4fd65aa01373c8e726af3abdd64cb05269d26c7db791b61979c7b92,primary_parent,bc587750319147c0e716a0bb19d17c9de4fec06ebdadaf09ddd1ae1aa9ef4c5b,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.22727272727272727,0.2727272727272727,0.04545454545454544,,true,233f745b268fc64568bb055a5f179ccd4efe227a9937e002731265249c45475c
fgf2,9192c67d0abf5cbac359936e18a1a89d19fdb12c38fcd3807013b75f9fee2da3,masked_substitution,4df524f8d4fd65aa01373c8e726af3abdd64cb05269d26c7db791b61979c7b92,primary_parent,bc587750319147c0e716a0bb19d17c9de4fec06ebdadaf09ddd1ae1aa9ef4c5b,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.276558518409729,1.7526065111160278,0.47604799270629883,-0.47604799270629883,true,f1668b2edffc56b7bb9b46d2a0a35893a55b064a4221ef0b6a1f8dab33589017
fgf2,9192c67d0abf5cbac359936e18a1a89d19fdb12c38fcd3807013b75f9fee2da3,masked_substitution,4df524f8d4fd65aa01373c8e726af3abdd64cb05269d26c7db791b61979c7b92,primary_parent,bc587750319147c0e716a0bb19d17c9de4fec06ebdadaf09ddd1ae1aa9ef4c5b,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.337,0.475,0.13799999999999996,0.13799999999999996,true,a9ac9dbec2fd8ed08ad997004bf40d6320a337957c8c451fc64987919405a36e
fgf2,9192c67d0abf5cbac359936e18a1a89d19fdb12c38fcd3807013b75f9fee2da3,masked_substitution,4df524f8d4fd65aa01373c8e726af3abdd64cb05269d26c7db791b61979c7b92,primary_parent,bc587750319147c0e716a0bb19d17c9de4fec06ebdadaf09ddd1ae1aa9ef4c5b,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,28964cc4bc61ccdc20690a7b21b5b9a321f2cb6a953f2cb2147e2c611000b099
fgf2,9192c67d0abf5cbac359936e18a1a89d19fdb12c38fcd3807013b75f9fee2da3,masked_substitution,4df524f8d4fd65aa01373c8e726af3abdd64cb05269d26c7db791b61979c7b92,primary_parent,bc587750319147c0e716a0bb19d17c9de4fec06ebdadaf09ddd1ae1aa9ef4c5b,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.465,0.455,-0.010000000000000009,0.010000000000000009,true,b37c4cb916a5872838d9e6fee248d427721cca287e140c5a5156692174412008
fgf2,9192c67d0abf5cbac359936e18a1a89d19fdb12c38fcd3807013b75f9fee2da3,masked_substitution,4df524f8d4fd65aa01373c8e726af3abdd64cb05269d26c7db791b61979c7b92,primary_parent,bc587750319147c0e716a0bb19d17c9de4fec06ebdadaf09ddd1ae1aa9ef4c5b,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,2.0,2.0,0.0,-0.0,false,97d2de02b212492d829e53b50cc65464c6f020a9c52b432afab9bf5a907ba302
fgf2,9192c67d0abf5cbac359936e18a1a89d19fdb12c38fcd3807013b75f9fee2da3,masked_substitution,4df524f8d4fd65aa01373c8e726af3abdd64cb05269d26c7db791b61979c7b92,primary_parent,bc587750319147c0e716a0bb19d17c9de4fec06ebdadaf09ddd1ae1aa9ef4c5b,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,9.027,8.028,-0.9989999999999988,,true,c339b45730fa4f7789909605397f63f9ba636b0eb7535879c272498327873c24
