branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
acea,1fab82eeb68beba9f5dc0b81249d46453a12b69f17a3be16b610c4f73f3db892,masked_substitution,8198462cb6fe464cc6a79fb0c6b0c8e6ff2e17e4f55da2aba5857952e9a1efb2,primary_parent,26cd5b684b648c8ef41de53b4d2b314360ab307df3853f2a0fdc694ed0ac3d13,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.6163328213924624,1.713341621865567,0.09700880047310467,-0.09700880047310467,true,ebab0d7c13f64c0d930f0d7ea5b711bf1110f54d5d9c4e41528019777aff296e
acea,1fab82eeb68beba9f5dc0b81249d46453a12b69f17a3be16b610c4f73f3db892,masked_substitution,8198462cb6fe464cc6a79fb0c6b0c8e6ff2e17e4f55da2aba5857952e9a1efb2,primary_parent,26cd5b684b648c8ef41de53b4d2b314360ab307df3853f2a0fdc694ed0ac3d13,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,11.736,8.72,-3.016,3.016,true,a69ee8c291e1df733ba36ae22000a553febf969fa99e6ca3cb352a5af56451a5
acea,1fab82eeb68beba9f5dc0b81249d46453a12b69f17a3be16b610c4f73f3db892,masked_substitution,8198462cb6fe464cc6a79fb0c6b0c8e6ff2e17e4f55da2aba5857952e9a1efb2,primary_parent,26cd5b684b648c8ef41de53b4d2b314360ab307df3853f2a0fdc694ed0ac3d13,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.11401294619939219,0.057260925930645204,-0.05675202026874698,,true,6800df0fe7d489df14a1029b1022520c537a959ab21e6bb4128a97515bfa4bf9
acea,1fab82eeb68beba9f5dc0b81249d46453a12b69f17a3be16b610c4f73f3db892,masked_substitution,8198462cb6fe464cc6a79fb0c6b0c8e6ff2e17e4f55da2aba5857952e9a1efb2,primary_parent,26cd5b684b648c8ef41de53b4d2b314360ab307df3853f2a0fdc694ed0ac3d13,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.12,0.08,-0.039999999999999994,,true,15dceecef49b5dc7d258b93319fda3c5130d7c9964c22fbb87885bf8653f5977
acea,1fab82eeb68beba9f5dc0b81249d46453a12b69f17a3be16b610c4f73f3db892,masked_substitution,8198462cb6fe464cc6a79fb0c6b0c8e6ff2e17e4f55da2aba5857952e9a1efb2,primary_parent,26cd5b684b648c8ef41de53b4d2b314360ab307df3853f2a0fdc694ed0ac3d13,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),0.7363764047622681,0.8286393880844116,0.09226298332214355,-0.09226298332214355,true,293d1a298012c8aa8c93bb36c819322cc0d1b76ce7e4a4a259fe91426b1ec0c3
acea,1fab82eeb68beba9f5dc0b81249d46453a12b69f17a3be16b610c4f73f3db892,masked_substitution,8198462cb6fe464cc6a79fb0c6b0c8e6ff2e17e4f55da2aba5857952e9a1efb2,primary_parent,26cd5b684b648c8ef41de53b4d2b314360ab307df3853f2a0fdc694ed0ac3d13,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.287,0.267,-0.019999999999999962,-0.019999999999999962,true,fd03220fc9eb096a1639cbbd09bac28d47ab6cbb9d831466e5b478a51434cc68
acea,1fab82eeb68beba9f5dc0b81249d46453a12b69f17a3be16b610c4f73f3db892,masked_substitution,8198462cb6fe464cc6a79fb0c6b0c8e6ff2e17e4f55da2aba5857952e9a1efb2,primary_parent,26cd5b684b648c8ef41de53b4d2b314360ab307df3853f2a0fdc694ed0ac3d13,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,69c312df138ae776769fc127dc1e51771063edb1c938f7c2a68e4ea39fcf19a1
acea,1fab82eeb68beba9f5dc0b81249d46453a12b69f17a3be16b610c4f73f3db892,masked_substitution,8198462cb6fe464cc6a79fb0c6b0c8e6ff2e17e4f55da2aba5857952e9a1efb2,primary_parent,26cd5b684b648c8ef41de53b4d2b314360ab307df3853f2a0fdc694ed0ac3d13,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.455,0.485,0.02999999999999997,-0.02999999999999997,true,840a8068c4cf24114a10d8a775169d8c29fb78f20f70f98859b54db45b8c4e90
acea,1fab82eeb68beba9f5dc0b81249d46453a12b69f17a3be16b610c4f73f3db892,masked_substitution,8198462cb6fe464cc6a79fb0c6b0c8e6ff2e17e4f55da2aba5857952e9a1efb2,primary_parent,26cd5b684b648c8ef41de53b4d2b314360ab307df3853f2a0fdc694ed0ac3d13,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,c8d6c7baa4ebfdcaea46d2aa940aaa3556e4c0649f6d95ee0a44a1bd8dbf8250
acea,1fab82eeb68beba9f5dc0b81249d46453a12b69f17a3be16b610c4f73f3db892,masked_substitution,8198462cb6fe464cc6a79fb0c6b0c8e6ff2e17e4f55da2aba5857952e9a1efb2,primary_parent,26cd5b684b648c8ef41de53b4d2b314360ab307df3853f2a0fdc694ed0ac3d13,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,11.984,11.984,0.0,,false,904aaa3efad09eaec1d85f4aac860a820f4746bab22955edd0e5edd806a84faf
