branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,2d9d5f09989acf2aff0be942257fcf5eceb94645fa680153e7e69723091b013d,masked_substitution,69b4a194033b4946ab079bbfad41f52426d30aaf05cdcb441c85e3ec5aa58234,primary_parent,1002e1476df056e795e189adc03144b7598ca3f70efb77f3e42cb7cc592290fc,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.3906047266132784,1.6477835489588522,0.25717882234557377,-0.25717882234557377,true,61376a34e48c45439999bcd83f40d580b72effd58bfd4a04cecf0d803b1a2495
vegfa,2d9d5f09989acf2aff0be942257fcf5eceb94645fa680153e7e69723091b013d,masked_substitution,69b4a194033b4946ab079bbfad41f52426d30aaf05cdcb441c85e3ec5aa58234,primary_parent,1002e1476df056e795e189adc03144b7598ca3f70efb77f3e42cb7cc592290fc,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,4.023077,-1.757692,-5.780768999999999,5.780768999999999,true,ba49aa5ccc08be8c864ff30c68bd78e170fd4d117a4d9f621baf5e81553a78fe
vegfa,2d9d5f09989acf2aff0be942257fcf5eceb94645fa680153e7e69723091b013d,masked_substitution,69b4a194033b4946ab079bbfad41f52426d30aaf05cdcb441c85e3ec5aa58234,primary_parent,1002e1476df056e795e189adc03144b7598ca3f70efb77f3e42cb7cc592290fc,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.14685685939290535,0.09452653306862431,-0.05233032632428104,,true,b309bbb1f792d7532afe4c4bcb030b7bccbbbe68ca0e883dd03852775009f994
vegfa,2d9d5f09989acf2aff0be942257fcf5eceb94645fa680153e7e69723091b013d,masked_substitution,69b4a194033b4946ab079bbfad41f52426d30aaf05cdcb441c85e3ec5aa58234,primary_parent,1002e1476df056e795e189adc03144b7598ca3f70efb77f3e42cb7cc592290fc,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.038461538461538464,0.0,-0.038461538461538464,,true,8b19c2651d42e3bcf1ef54edfad4baf76f54d0910da1531b58b3209b63a37b77
vegfa,2d9d5f09989acf2aff0be942257fcf5eceb94645fa680153e7e69723091b013d,masked_substitution,69b4a194033b4946ab079bbfad41f52426d30aaf05cdcb441c85e3ec5aa58234,primary_parent,1002e1476df056e795e189adc03144b7598ca3f70efb77f3e42cb7cc592290fc,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),0.8255231380462646,1.0530304908752441,0.2275073528289795,-0.2275073528289795,true,72830417bce08ea95a8d1a5cef5d4f00203bbd27393cd836b33ea8a9a1f3a139
vegfa,2d9d5f09989acf2aff0be942257fcf5eceb94645fa680153e7e69723091b013d,masked_substitution,69b4a194033b4946ab079bbfad41f52426d30aaf05cdcb441c85e3ec5aa58234,primary_parent,1002e1476df056e795e189adc03144b7598ca3f70efb77f3e42cb7cc592290fc,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.307,0.416,0.10899999999999999,0.10899999999999999,true,14ec0de9a61e29b3240ff5a13f7f47482f5dd01f1c8313be87017e929cc9f54e
vegfa,2d9d5f09989acf2aff0be942257fcf5eceb94645fa680153e7e69723091b013d,masked_substitution,69b4a194033b4946ab079bbfad41f52426d30aaf05cdcb441c85e3ec5aa58234,primary_parent,1002e1476df056e795e189adc03144b7598ca3f70efb77f3e42cb7cc592290fc,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,9a1e530cdb128b73d7ec695df41b917bdfb5937424d1c392f03d946aaa5bda0f
vegfa,2d9d5f09989acf2aff0be942257fcf5eceb94645fa680153e7e69723091b013d,masked_substitution,69b4a194033b4946ab079bbfad41f52426d30aaf05cdcb441c85e3ec5aa58234,primary_parent,1002e1476df056e795e189adc03144b7598ca3f70efb77f3e42cb7cc592290fc,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.446,0.455,0.009000000000000008,-0.009000000000000008,true,7ed84f6ed4a1a507e05bc5380d803ee5243c4abf97f741169226ae93eb1529be
vegfa,2d9d5f09989acf2aff0be942257fcf5eceb94645fa680153e7e69723091b013d,masked_substitution,69b4a194033b4946ab079bbfad41f52426d30aaf05cdcb441c85e3ec5aa58234,primary_parent,1002e1476df056e795e189adc03144b7598ca3f70efb77f3e42cb7cc592290fc,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,0.0,-1.0,1.0,true,68f40d3322993ac81f601444c1681a1de176abf8992e1ab5885edf3b21ca6e2a
vegfa,2d9d5f09989acf2aff0be942257fcf5eceb94645fa680153e7e69723091b013d,masked_substitution,69b4a194033b4946ab079bbfad41f52426d30aaf05cdcb441c85e3ec5aa58234,primary_parent,1002e1476df056e795e189adc03144b7598ca3f70efb77f3e42cb7cc592290fc,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,12.109,12.109,0.0,,false,c2d7ef89295b3aef9bbbec09634dbe376438f824d6e2e86ef14733b7b8ef4b41
vegfa,2d9d5f09989acf2aff0be942257fcf5eceb94645fa680153e7e69723091b013d,masked_substitution,69b4a194033b4946ab079bbfad41f52426d30aaf05cdcb441c85e3ec5aa58234,primary_parent,1002e1476df056e795e189adc03144b7598ca3f70efb77f3e42cb7cc592290fc,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.0,0.36,0.36,-0.36,true,08d107fbae8d0255663ade3bf4e06fb64070ff3983585adb4f53c0120ab5c637
