branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,b1efd79777f125de3754444f18570bba775cbd114ad38b7d7996692d2a9d2bb4,masked_substitution,77df5f675eee5ac43d4d0b8fcbccf93614387d569829aaed60c206cef52bd735,primary_parent,0c6de982ecd2f27d6fcbfc5f4671c0b5d82a0eb72d83b5e300fd98e250804288,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.4832043117230773,1.462658632628429,-0.020545679094648328,0.020545679094648328,true,15de57187bff57690f5aaa11b6d83fbca3d910517a8117fda25e7fb38eaf490e
vegfa,b1efd79777f125de3754444f18570bba775cbd114ad38b7d7996692d2a9d2bb4,masked_substitution,77df5f675eee5ac43d4d0b8fcbccf93614387d569829aaed60c206cef52bd735,primary_parent,0c6de982ecd2f27d6fcbfc5f4671c0b5d82a0eb72d83b5e300fd98e250804288,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,-3.1260869565217395,7.169565217391302,10.29565217391304,-10.29565217391304,true,cec2b3e846abc323dabd37b4ec6bdf82cde313afcab6839e7e59996cb4216298
vegfa,b1efd79777f125de3754444f18570bba775cbd114ad38b7d7996692d2a9d2bb4,masked_substitution,77df5f675eee5ac43d4d0b8fcbccf93614387d569829aaed60c206cef52bd735,primary_parent,0c6de982ecd2f27d6fcbfc5f4671c0b5d82a0eb72d83b5e300fd98e250804288,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.21329125868697724,0.1662021334140545,-0.04708912527292275,,true,a2fb371a005f56b4418557a9fe74b68c49b4be74d8b05cfd4a611121b6489196
vegfa,b1efd79777f125de3754444f18570bba775cbd114ad38b7d7996692d2a9d2bb4,masked_substitution,77df5f675eee5ac43d4d0b8fcbccf93614387d569829aaed60c206cef52bd735,primary_parent,0c6de982ecd2f27d6fcbfc5f4671c0b5d82a0eb72d83b5e300fd98e250804288,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.043478260869565216,0.043478260869565216,0.0,,false,3fcbdec9c5b28d1959891fa79df1addf08025d1caecea68cc52c49a29e365181
vegfa,b1efd79777f125de3754444f18570bba775cbd114ad38b7d7996692d2a9d2bb4,masked_substitution,77df5f675eee5ac43d4d0b8fcbccf93614387d569829aaed60c206cef52bd735,primary_parent,0c6de982ecd2f27d6fcbfc5f4671c0b5d82a0eb72d83b5e300fd98e250804288,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.1819161176681519,1.0746392011642456,-0.10727691650390625,0.10727691650390625,true,a7d682e1f104baea55035070b901316de4f111cdf9cae7aa7b36ccd08569d65f
vegfa,b1efd79777f125de3754444f18570bba775cbd114ad38b7d7996692d2a9d2bb4,masked_substitution,77df5f675eee5ac43d4d0b8fcbccf93614387d569829aaed60c206cef52bd735,primary_parent,0c6de982ecd2f27d6fcbfc5f4671c0b5d82a0eb72d83b5e300fd98e250804288,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.446,0.495,0.04899999999999999,0.04899999999999999,true,85d0b0b468106d971fc54869591540d854268f6fb86b648ffc8db8de3e698493
vegfa,b1efd79777f125de3754444f18570bba775cbd114ad38b7d7996692d2a9d2bb4,masked_substitution,77df5f675eee5ac43d4d0b8fcbccf93614387d569829aaed60c206cef52bd735,primary_parent,0c6de982ecd2f27d6fcbfc5f4671c0b5d82a0eb72d83b5e300fd98e250804288,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,d18a86c1932fc7d7ddb660e4f0563fd4a2fe4964fcf4319ecee5e52efa7bcaff
vegfa,b1efd79777f125de3754444f18570bba775cbd114ad38b7d7996692d2a9d2bb4,masked_substitution,77df5f675eee5ac43d4d0b8fcbccf93614387d569829aaed60c206cef52bd735,primary_parent,0c6de982ecd2f27d6fcbfc5f4671c0b5d82a0eb72d83b5e300fd98e250804288,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.465,0.416,-0.049000000000000044,0.049000000000000044,true,917e0aed67e847d84741dd01dc0616388470d65ae0cfc5a3ed5554cb623cf20b
vegfa,b1efd79777f125de3754444f18570bba775cbd114ad38b7d7996692d2a9d2bb4,masked_substitution,77df5f675eee5ac43d4d0b8fcbccf93614387d569829aaed60c206cef52bd735,primary_parent,0c6de982ecd2f27d6fcbfc5f4671c0b5d82a0eb72d83b5e300fd98e250804288,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,337355bfb56357447bec99b9b4277f07936e98741cf9662220b44a4f59b05140
vegfa,b1efd79777f125de3754444f18570bba775cbd114ad38b7d7996692d2a9d2bb4,masked_substitution,77df5f675eee5ac43d4d0b8fcbccf93614387d569829aaed60c206cef52bd735,primary_parent,0c6de982ecd2f27d6fcbfc5f4671c0b5d82a0eb72d83b5e300fd98e250804288,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,8.195,7.237,-0.9580000000000002,,true,98831f88cd4d9f2f09c93df9ef54a60ddc1196d40096123ef18401e7b16464f4
