branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,3aab01612524425233f21848c9840ee2b98a9113cdccf9643c414c9ff51d627f,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),0.8502392420270765,1.0108834123250305,0.16064417029795408,-0.16064417029795408,true,da56d0686595b73fae02ebceacaf5041f153f55e94503b98b808478c6fcda3eb
vegfa,3aab01612524425233f21848c9840ee2b98a9113cdccf9643c414c9ff51d627f,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,-9.308695652173913,-15.843478,-6.534782347826086,6.534782347826086,true,ef78be0afdc01774095bc7f0271831de8134e4223fabfc13201d79e2d8134c49
vegfa,3aab01612524425233f21848c9840ee2b98a9113cdccf9643c414c9ff51d627f,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.14056582796750103,0.14533663197657598,0.004770804009074953,,true,f3985889688ffba5909832af5904bf41f934dd20d45600cb9b4bc8bb5d28e800
vegfa,3aab01612524425233f21848c9840ee2b98a9113cdccf9643c414c9ff51d627f,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.2608695652173913,0.21739130434782608,-0.043478260869565216,,true,71a0034f607025bcc5decd4f69e77f3d00df6d145834462e7e05b92b7d95c9f1
vegfa,3aab01612524425233f21848c9840ee2b98a9113cdccf9643c414c9ff51d627f,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.3610467910766602,1.4340428113937378,0.07299602031707764,-0.07299602031707764,true,c1adf985484c678c74497473d305153b7db77a747943870b2abd1d6f783a3123
vegfa,3aab01612524425233f21848c9840ee2b98a9113cdccf9643c414c9ff51d627f,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.584,0.501,-0.08299999999999996,-0.08299999999999996,true,aff3cfe1466c2c612f2c23e64f5fc3a92dd5958952fd0a2e39881217d299eb68
vegfa,3aab01612524425233f21848c9840ee2b98a9113cdccf9643c414c9ff51d627f,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,a5971ef5389ca0e27178cab944cebfc8f431dfdddb8571f95bf9617be5b39298
vegfa,3aab01612524425233f21848c9840ee2b98a9113cdccf9643c414c9ff51d627f,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.465,0.436,-0.029000000000000026,0.029000000000000026,true,ce6fabd0add55e818324f46fa1ec19ffc2ac6c491c8dd64b7939aeafbb983a10
vegfa,3aab01612524425233f21848c9840ee2b98a9113cdccf9643c414c9ff51d627f,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,2.0,1.0,-1.0,1.0,true,10db7b2660630be0423088961814c25235a181d9775f71d5cb09ec2dff2dd30b
vegfa,3aab01612524425233f21848c9840ee2b98a9113cdccf9643c414c9ff51d627f,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,6.112,6.112,0.0,,false,7be5b0630fcfa32a0df7fe0b2a85e3a4ee24716e8738c4aab8e5baa7d843e662
