branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,2c268a662c39e1f1f3f08a7a8efd0f47b6f9e49b411a2d61e5c1a1f6e0937a71,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),0.8502392420270765,1.0108833378245325,0.1606440957974561,-0.1606440957974561,true,2a3a2fd5ebaa6db776f4440164d3d357d34cdd5f3d7b005244d850421dd19ac5
vegfa,2c268a662c39e1f1f3f08a7a8efd0f47b6f9e49b411a2d61e5c1a1f6e0937a71,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,-9.308695652173913,-15.843478,-6.534782347826086,6.534782347826086,true,3a12ef2cc8fd81834a1ab5809515147b0d40d7af41a9b5bc014f6ca4a6cf9bae
vegfa,2c268a662c39e1f1f3f08a7a8efd0f47b6f9e49b411a2d61e5c1a1f6e0937a71,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.14056582796750103,0.14533663197657598,0.004770804009074953,,true,ec2a2c817a0c329e2b11a0311c6dd90d665d365cdccc22d3e00ca65869219303
vegfa,2c268a662c39e1f1f3f08a7a8efd0f47b6f9e49b411a2d61e5c1a1f6e0937a71,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.2608695652173913,0.21739130434782608,-0.043478260869565216,,true,329b66831bed70d802348b2bb476f507d573f95fdae7e358560d3ae0ee872b26
vegfa,2c268a662c39e1f1f3f08a7a8efd0f47b6f9e49b411a2d61e5c1a1f6e0937a71,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.3610467910766602,1.4340428113937378,0.07299602031707764,-0.07299602031707764,true,25c07a7892ff179d56303842fc49ba72c2d91124ea5279b823e06a8c91511094
vegfa,2c268a662c39e1f1f3f08a7a8efd0f47b6f9e49b411a2d61e5c1a1f6e0937a71,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.584,0.501,-0.08299999999999996,-0.08299999999999996,true,27b2752f79b45f4a42a948fc76637fc9a3a4b580c1e457969021600734678629
vegfa,2c268a662c39e1f1f3f08a7a8efd0f47b6f9e49b411a2d61e5c1a1f6e0937a71,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,87025f93227f468996d540b10b2a271ecf21bd445f7fe349b619b95b67567f43
vegfa,2c268a662c39e1f1f3f08a7a8efd0f47b6f9e49b411a2d61e5c1a1f6e0937a71,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.465,0.436,-0.029000000000000026,0.029000000000000026,true,6ee6576199a0a00a0ccde78cc02d2135358cb8336184ed9d18919bf6dda59faa
vegfa,2c268a662c39e1f1f3f08a7a8efd0f47b6f9e49b411a2d61e5c1a1f6e0937a71,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,2.0,1.0,-1.0,1.0,true,4583f2792e2236224298e064d37f3950de916be416711ad52071f44ba4505978
vegfa,2c268a662c39e1f1f3f08a7a8efd0f47b6f9e49b411a2d61e5c1a1f6e0937a71,masked_substitution,4b99df8828f53c5cee8b1908a8c30878e3dcfa629fe2220bfcc36844da49f334,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,6.112,6.112,0.0,,false,b56583ff62a5719811ec22d6ab1fc855fb93d110c255cc75dc50a0b300b8a2f3
