branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,bc197205dff59856432316ef5675566b2177892f6edba44f192d1a05bc39e648,masked_substitution,17d938d91f4d0b5dca7bc0c35753971e8fe3d0c1a2e729b6fee3f6d0bcc72619,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),0.8502392420270765,0.8277075243770713,-0.022531717650005167,0.022531717650005167,true,7f358ad61b864cbc463dc172ac1b5deb9c668ce04b32c9f0d7760c59c7666c3e
vegfa,bc197205dff59856432316ef5675566b2177892f6edba44f192d1a05bc39e648,masked_substitution,17d938d91f4d0b5dca7bc0c35753971e8fe3d0c1a2e729b6fee3f6d0bcc72619,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,-9.308695652173913,-5.617391,3.6913046521739137,-3.6913046521739137,true,577d575d20acb3bcc6baac47da5170dc7c7b079288ac72691490978e55566fad
vegfa,bc197205dff59856432316ef5675566b2177892f6edba44f192d1a05bc39e648,masked_substitution,17d938d91f4d0b5dca7bc0c35753971e8fe3d0c1a2e729b6fee3f6d0bcc72619,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.14056582796750103,0.20440246811062895,0.06383664014312793,,true,320598a6cfe0f6ad3cbf1abed40464a9fc0d1aa40370882595b6f82679535042
vegfa,bc197205dff59856432316ef5675566b2177892f6edba44f192d1a05bc39e648,masked_substitution,17d938d91f4d0b5dca7bc0c35753971e8fe3d0c1a2e729b6fee3f6d0bcc72619,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.2608695652173913,0.21739130434782608,-0.043478260869565216,,true,cf057925d20a57ad07a5f537a5c4c046c33cbff304839891eab05cb7248d64fa
vegfa,bc197205dff59856432316ef5675566b2177892f6edba44f192d1a05bc39e648,masked_substitution,17d938d91f4d0b5dca7bc0c35753971e8fe3d0c1a2e729b6fee3f6d0bcc72619,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.3610467910766602,1.5655226707458496,0.20447587966918945,-0.20447587966918945,true,da78ed769c3752808a75fa090a6c696ee7b05661ae792c5e63911fe7270006ab
vegfa,bc197205dff59856432316ef5675566b2177892f6edba44f192d1a05bc39e648,masked_substitution,17d938d91f4d0b5dca7bc0c35753971e8fe3d0c1a2e729b6fee3f6d0bcc72619,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.584,0.541,-0.04299999999999993,-0.04299999999999993,true,4aadc2863474c472ccf919e4f3018b1e1fbe02f9111b120672555e3a89d3d9b4
vegfa,bc197205dff59856432316ef5675566b2177892f6edba44f192d1a05bc39e648,masked_substitution,17d938d91f4d0b5dca7bc0c35753971e8fe3d0c1a2e729b6fee3f6d0bcc72619,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,0ebb44a74883f56de2772d2b3f0799a6cbefab9ae7aa294576f5b0fe67ee2b1f
vegfa,bc197205dff59856432316ef5675566b2177892f6edba44f192d1a05bc39e648,masked_substitution,17d938d91f4d0b5dca7bc0c35753971e8fe3d0c1a2e729b6fee3f6d0bcc72619,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.465,0.475,0.009999999999999953,-0.009999999999999953,true,53ac02818da68e67bdedccb099f009948ef4e373767d694da21e54aa0f36e568
vegfa,bc197205dff59856432316ef5675566b2177892f6edba44f192d1a05bc39e648,masked_substitution,17d938d91f4d0b5dca7bc0c35753971e8fe3d0c1a2e729b6fee3f6d0bcc72619,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,2.0,1.0,-1.0,1.0,true,15ca936980ad51b657626b7fac83d5614387b391c4f3bf46652efe828e93967b
vegfa,bc197205dff59856432316ef5675566b2177892f6edba44f192d1a05bc39e648,masked_substitution,17d938d91f4d0b5dca7bc0c35753971e8fe3d0c1a2e729b6fee3f6d0bcc72619,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,6.112,6.112,0.0,,false,c07c625c4da198ee74bb437a389f34c4ca1b530c0977540574b08b96653d208e
