branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,5e489ae1d8d1877cb32f99e442920a1718f32216c7a3badb9e71dd751ef5d8f3,masked_substitution,bf48c23413bdb2fed041f2d610f0996d85057baf323b53d70542898298783735,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.2138795579657697,1.8025748300869417,0.588695272121172,-0.588695272121172,true,64f169b7121c6c34c848436005eeef6ed69856ec9026acecedcf0598f9402afb
vegfa,5e489ae1d8d1877cb32f99e442920a1718f32216c7a3badb9e71dd751ef5d8f3,masked_substitution,bf48c23413bdb2fed041f2d610f0996d85057baf323b53d70542898298783735,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,5.538462,12.946153846153846,7.407691846153846,-7.407691846153846,true,b55048da061a0437508ee2bc28c068b9c3f67267c80092fc4f0057b2a18d2313
vegfa,5e489ae1d8d1877cb32f99e442920a1718f32216c7a3badb9e71dd751ef5d8f3,masked_substitution,bf48c23413bdb2fed041f2d610f0996d85057baf323b53d70542898298783735,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.1956904277047091,0.1946147057996624,-0.001075721905046706,,true,c04fe6fb7c7c1acc3f80b3018185828c2aace906a4142d15614a2367765d0e22
vegfa,5e489ae1d8d1877cb32f99e442920a1718f32216c7a3badb9e71dd751ef5d8f3,masked_substitution,bf48c23413bdb2fed041f2d610f0996d85057baf323b53d70542898298783735,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.07692307692307693,0.07692307692307693,0.0,,false,17d75c2e4d89a69b6651818092587ed0e84fd4d238854b2cf7857d97d0ae7fd0
vegfa,5e489ae1d8d1877cb32f99e442920a1718f32216c7a3badb9e71dd751ef5d8f3,masked_substitution,bf48c23413bdb2fed041f2d610f0996d85057baf323b53d70542898298783735,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.4245672225952148,1.6152011156082153,0.1906338930130005,-0.1906338930130005,true,553a7b3432b4acfb91f63bd939c74ec04ca1fe7a90460c060db2ba03fa38f785
vegfa,5e489ae1d8d1877cb32f99e442920a1718f32216c7a3badb9e71dd751ef5d8f3,masked_substitution,bf48c23413bdb2fed041f2d610f0996d85057baf323b53d70542898298783735,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.426,0.465,0.039000000000000035,0.039000000000000035,true,bad5c14beff11d52f233083097c4db7016110fd20027376062542b807b3fcf9f
vegfa,5e489ae1d8d1877cb32f99e442920a1718f32216c7a3badb9e71dd751ef5d8f3,masked_substitution,bf48c23413bdb2fed041f2d610f0996d85057baf323b53d70542898298783735,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,high,low,,,true,dc33a31b145178c964dcc7d4140b174a8cfa287b5dce65a6cb56c6c3732bb4f2
vegfa,5e489ae1d8d1877cb32f99e442920a1718f32216c7a3badb9e71dd751ef5d8f3,masked_substitution,bf48c23413bdb2fed041f2d610f0996d85057baf323b53d70542898298783735,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.535,0.307,-0.22800000000000004,0.22800000000000004,true,2cd4144ea40ba867fe863edda9692f24657d4868e8c591b0de4bb131d8034c36
vegfa,5e489ae1d8d1877cb32f99e442920a1718f32216c7a3badb9e71dd751ef5d8f3,masked_substitution,bf48c23413bdb2fed041f2d610f0996d85057baf323b53d70542898298783735,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,1d742f4e2b014d9280557f5a08eeaef4eb6d4c27f214892635af29fa2804e587
vegfa,5e489ae1d8d1877cb32f99e442920a1718f32216c7a3badb9e71dd751ef5d8f3,masked_substitution,bf48c23413bdb2fed041f2d610f0996d85057baf323b53d70542898298783735,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,10.109,8.11,-1.9990000000000006,,true,3a9c3360c04e2b008f2984b45bf65440979aa3a16cfe9a7ba960b59132ce1a18
vegfa,5e489ae1d8d1877cb32f99e442920a1718f32216c7a3badb9e71dd751ef5d8f3,masked_substitution,bf48c23413bdb2fed041f2d610f0996d85057baf323b53d70542898298783735,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.0,0.0,0.0,-0.0,false,72255786b6d1ae6508815a5aa46bca784539ab6ee0cb39bdaea03b2a410fa1dc
vegfa,5e489ae1d8d1877cb32f99e442920a1718f32216c7a3badb9e71dd751ef5d8f3,masked_substitution,bf48c23413bdb2fed041f2d610f0996d85057baf323b53d70542898298783735,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,toxinpred3_label,categorical,true,same_frozen_label_contract,audit,label,Non-Toxin,Non-Toxin,,,false,15c756f07b89f5e4278e2e85c8f978cd5db8b14e457b841d1e5aa85f3948618f
vegfa,67ee0c399b1302a0b82ea81e48f5f101c39ec71fadd5a36dc1e682a062b6713a,masked_substitution,07ba54f5258a36bf9332919405efe49fdcbf61c7c30a96720e5a9015feefbdac,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.2138795579657697,1.937314384143133,0.7234348261773633,-0.7234348261773633,true,a8ede825494043e143eb2ef896cc033c5678f3cc7e6dff4dee7e90d080611958
vegfa,67ee0c399b1302a0b82ea81e48f5f101c39ec71fadd5a36dc1e682a062b6713a,masked_substitution,07ba54f5258a36bf9332919405efe49fdcbf61c7c30a96720e5a9015feefbdac,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,5.538462,12.946153846153846,7.407691846153846,-7.407691846153846,true,f084acc40076e1718fb4f1d19230a90977315ccfbd57368aea1f1cd56d34da82
vegfa,67ee0c399b1302a0b82ea81e48f5f101c39ec71fadd5a36dc1e682a062b6713a,masked_substitution,07ba54f5258a36bf9332919405efe49fdcbf61c7c30a96720e5a9015feefbdac,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.1956904277047091,0.19094015680631882,-0.00475027089839028,,true,7040bad03c8554328da9c23b8e7632db56004715f2315b7ec156a902c5de4e1d
vegfa,67ee0c399b1302a0b82ea81e48f5f101c39ec71fadd5a36dc1e682a062b6713a,masked_substitution,07ba54f5258a36bf9332919405efe49fdcbf61c7c30a96720e5a9015feefbdac,primary_parent,d14b6353ebb49cbc8a1b05ed79bfc5e3adb3d59a2fbf7c1297806fd04a2e9046,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.07692307692307693,0.07692307692307693,0.0,,false,380196eafbc4538cb5ccd7cd6b1c358f004edbe9e3e3c85ac5bd4ea0aa7372f3
