branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
angpt1,39645bcaaf84d8b4bdf6ee8933380319f4e0e80867162b10f7682a35cd59ff44,masked_substitution,c1ad3d87602105b58ee7a956594d6b9556f212188a0ed27fc2bfee39e754155e,primary_parent,04bbb8f66cf48119e001c6647f0a82758d21a5275e74dac6fa1819b6bb7dc86d,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.0684135954698575,1.0589334360026514,-0.00948015946720604,0.00948015946720604,true,96ec84ff14f3889ebea3f9af0663ccd01d49f5a0441965c6515f9646ce36fb96
angpt1,39645bcaaf84d8b4bdf6ee8933380319f4e0e80867162b10f7682a35cd59ff44,masked_substitution,c1ad3d87602105b58ee7a956594d6b9556f212188a0ed27fc2bfee39e754155e,primary_parent,04bbb8f66cf48119e001c6647f0a82758d21a5275e74dac6fa1819b6bb7dc86d,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,-5.666667,-1.62381,4.042857000000001,-4.042857000000001,true,508dfb6fa8e23e7d98212dfd4d9de05713dad141f473f2230c7416b255e6c5f5
angpt1,39645bcaaf84d8b4bdf6ee8933380319f4e0e80867162b10f7682a35cd59ff44,masked_substitution,c1ad3d87602105b58ee7a956594d6b9556f212188a0ed27fc2bfee39e754155e,primary_parent,04bbb8f66cf48119e001c6647f0a82758d21a5275e74dac6fa1819b6bb7dc86d,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.32070620328403215,0.19939733926774458,-0.12130886401628757,,true,15e024a28609e034dde7cc893aaf5e469ad82b371cdb089a39c642cfa83e72a5
angpt1,39645bcaaf84d8b4bdf6ee8933380319f4e0e80867162b10f7682a35cd59ff44,masked_substitution,c1ad3d87602105b58ee7a956594d6b9556f212188a0ed27fc2bfee39e754155e,primary_parent,04bbb8f66cf48119e001c6647f0a82758d21a5275e74dac6fa1819b6bb7dc86d,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.14285714285714285,0.14285714285714285,0.0,,false,b049d0ef1ab8f1c496b9580dd6a9a1c66a98034e212a938f8eed645def168f0d
angpt1,39645bcaaf84d8b4bdf6ee8933380319f4e0e80867162b10f7682a35cd59ff44,masked_substitution,c1ad3d87602105b58ee7a956594d6b9556f212188a0ed27fc2bfee39e754155e,primary_parent,04bbb8f66cf48119e001c6647f0a82758d21a5275e74dac6fa1819b6bb7dc86d,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.2577025890350342,1.5403844118118286,0.28268182277679443,-0.28268182277679443,true,96b7c2a615c392341172d03c80204d5361f15ba75a787e1b138a8f846595cbf2
angpt1,39645bcaaf84d8b4bdf6ee8933380319f4e0e80867162b10f7682a35cd59ff44,masked_substitution,c1ad3d87602105b58ee7a956594d6b9556f212188a0ed27fc2bfee39e754155e,primary_parent,04bbb8f66cf48119e001c6647f0a82758d21a5275e74dac6fa1819b6bb7dc86d,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.317,0.277,-0.03999999999999998,-0.03999999999999998,true,af4b9024d8a861f86f07b47ad584ec6b97c361696e6be994e4422c5cd014a4d4
angpt1,39645bcaaf84d8b4bdf6ee8933380319f4e0e80867162b10f7682a35cd59ff44,masked_substitution,c1ad3d87602105b58ee7a956594d6b9556f212188a0ed27fc2bfee39e754155e,primary_parent,04bbb8f66cf48119e001c6647f0a82758d21a5275e74dac6fa1819b6bb7dc86d,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,high,,,true,9473499fc443c5d6852ee15edbdee827af96f87c510e3d316f57b95b77885e39
angpt1,39645bcaaf84d8b4bdf6ee8933380319f4e0e80867162b10f7682a35cd59ff44,masked_substitution,c1ad3d87602105b58ee7a956594d6b9556f212188a0ed27fc2bfee39e754155e,primary_parent,04bbb8f66cf48119e001c6647f0a82758d21a5275e74dac6fa1819b6bb7dc86d,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.406,0.505,0.09899999999999998,-0.09899999999999998,true,74105a765ae7c2f5fee901f280583e089b87ed2370ed8bbd5fc9dbba71c431e4
angpt1,39645bcaaf84d8b4bdf6ee8933380319f4e0e80867162b10f7682a35cd59ff44,masked_substitution,c1ad3d87602105b58ee7a956594d6b9556f212188a0ed27fc2bfee39e754155e,primary_parent,04bbb8f66cf48119e001c6647f0a82758d21a5275e74dac6fa1819b6bb7dc86d,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,2.0,2.0,0.0,-0.0,false,9f3ff06a47053e4b106f96befc498036a129b032b3373ce987e2387e62629cda
angpt1,39645bcaaf84d8b4bdf6ee8933380319f4e0e80867162b10f7682a35cd59ff44,masked_substitution,c1ad3d87602105b58ee7a956594d6b9556f212188a0ed27fc2bfee39e754155e,primary_parent,04bbb8f66cf48119e001c6647f0a82758d21a5275e74dac6fa1819b6bb7dc86d,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,8.984,9.984,1.0,,true,4e27bb252246d5a2533517c4fefb43e8275de9f4a76542580a039aa12a6276c3
