branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
gyra,e4be05eb00e8564509162186d41e9b03ef025d1c85e1b1467c1cafd040bb45c7,masked_substitution,4f26978ae1656b8eeab878790d187e7b623b1130cea43c719674b9b951d819da,primary_parent,00342e80d29ba0fd35eca1710ddddd3b8e721dbfd009f38c57253e3dc34b21c1,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.5127903449868494,1.486370946129092,-0.02641939885775746,0.02641939885775746,true,673f232df2b68cf0b7a695d6f17e44d3d04c5f83f7335553f66a875b7f46a7b0
gyra,e4be05eb00e8564509162186d41e9b03ef025d1c85e1b1467c1cafd040bb45c7,masked_substitution,4f26978ae1656b8eeab878790d187e7b623b1130cea43c719674b9b951d819da,primary_parent,00342e80d29ba0fd35eca1710ddddd3b8e721dbfd009f38c57253e3dc34b21c1,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,22.347619047619045,0.414286,-21.933333047619044,21.933333047619044,true,505ac482fafee495917eca118f618a12af149ad81b8cf9eab7d9a62f1feccbc7
gyra,e4be05eb00e8564509162186d41e9b03ef025d1c85e1b1467c1cafd040bb45c7,masked_substitution,4f26978ae1656b8eeab878790d187e7b623b1130cea43c719674b9b951d819da,primary_parent,00342e80d29ba0fd35eca1710ddddd3b8e721dbfd009f38c57253e3dc34b21c1,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.08156359235636211,0.07935722975162893,-0.0022063626047331836,,true,1c0a14ba8c79f91d021c66ed57753d20617581ee2aff7bccf503c04a1c1c91d2
gyra,e4be05eb00e8564509162186d41e9b03ef025d1c85e1b1467c1cafd040bb45c7,masked_substitution,4f26978ae1656b8eeab878790d187e7b623b1130cea43c719674b9b951d819da,primary_parent,00342e80d29ba0fd35eca1710ddddd3b8e721dbfd009f38c57253e3dc34b21c1,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.14285714285714285,0.14285714285714285,0.0,,false,2e2e66ce03611b4e114d5b13ca24cd0ee73dc673efeb53557b3d2196ec96512f
gyra,e4be05eb00e8564509162186d41e9b03ef025d1c85e1b1467c1cafd040bb45c7,masked_substitution,4f26978ae1656b8eeab878790d187e7b623b1130cea43c719674b9b951d819da,primary_parent,00342e80d29ba0fd35eca1710ddddd3b8e721dbfd009f38c57253e3dc34b21c1,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.306688904762268,1.2164205312728882,-0.09026837348937988,0.09026837348937988,true,43597167f99094801f76c54a189ed8944747564bc5444ca96345fd00e1fcd1ed
gyra,e4be05eb00e8564509162186d41e9b03ef025d1c85e1b1467c1cafd040bb45c7,masked_substitution,4f26978ae1656b8eeab878790d187e7b623b1130cea43c719674b9b951d819da,primary_parent,00342e80d29ba0fd35eca1710ddddd3b8e721dbfd009f38c57253e3dc34b21c1,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.317,0.337,0.020000000000000018,0.020000000000000018,true,5f69c22378d74c0f87cf34d967950de1a90c2c4cc3ad5733aa9bc83de7c2a9c9
gyra,e4be05eb00e8564509162186d41e9b03ef025d1c85e1b1467c1cafd040bb45c7,masked_substitution,4f26978ae1656b8eeab878790d187e7b623b1130cea43c719674b9b951d819da,primary_parent,00342e80d29ba0fd35eca1710ddddd3b8e721dbfd009f38c57253e3dc34b21c1,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,74d0372fd6b987068388cf269950f4a0cc87570a41088b43d85e69840280ed39
gyra,e4be05eb00e8564509162186d41e9b03ef025d1c85e1b1467c1cafd040bb45c7,masked_substitution,4f26978ae1656b8eeab878790d187e7b623b1130cea43c719674b9b951d819da,primary_parent,00342e80d29ba0fd35eca1710ddddd3b8e721dbfd009f38c57253e3dc34b21c1,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.426,0.426,0.0,-0.0,false,2f3622265fee70f7d62d2db64599df419b0b3cf9653d40f1793fd5dc246baa7e
gyra,e4be05eb00e8564509162186d41e9b03ef025d1c85e1b1467c1cafd040bb45c7,masked_substitution,4f26978ae1656b8eeab878790d187e7b623b1130cea43c719674b9b951d819da,primary_parent,00342e80d29ba0fd35eca1710ddddd3b8e721dbfd009f38c57253e3dc34b21c1,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,0b7537845a455b93d75485bdfb34297431f739e9118a483e1aef6f96d2bbe6c0
gyra,e4be05eb00e8564509162186d41e9b03ef025d1c85e1b1467c1cafd040bb45c7,masked_substitution,4f26978ae1656b8eeab878790d187e7b623b1130cea43c719674b9b951d819da,primary_parent,00342e80d29ba0fd35eca1710ddddd3b8e721dbfd009f38c57253e3dc34b21c1,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,6.029,6.029,0.0,,false,1c96d2608da4f98bf9129ab115deef31a890b83993605e91e54207b04b11ebf9
gyra,e4be05eb00e8564509162186d41e9b03ef025d1c85e1b1467c1cafd040bb45c7,masked_substitution,4f26978ae1656b8eeab878790d187e7b623b1130cea43c719674b9b951d819da,primary_parent,00342e80d29ba0fd35eca1710ddddd3b8e721dbfd009f38c57253e3dc34b21c1,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.32,0.385,0.065,-0.065,true,dee7a61f52c43a79d96546fe12a43a44c938f4f99951f8075d0043553af2e709
gyra,e4be05eb00e8564509162186d41e9b03ef025d1c85e1b1467c1cafd040bb45c7,masked_substitution,4f26978ae1656b8eeab878790d187e7b623b1130cea43c719674b9b951d819da,primary_parent,00342e80d29ba0fd35eca1710ddddd3b8e721dbfd009f38c57253e3dc34b21c1,toxinpred3_label,categorical,true,same_frozen_label_contract,audit,label,Non-Toxin,Toxin,,,true,8fdb5f1365eab4ace2cd426c770ac0702e8ed41de18696bb604fb93e1c8d870b
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,primary_parent,b4db125d8c61e7ba0332356b107047cb51137df2e51c5dc5f56c8d2348e79ddb,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.7024310116888512,1.6760323122863852,-0.026398699402466086,0.026398699402466086,true,5c744ff3339c1d5fcc914f2769356776f94f9778fc5ebd3ebf5c1df47dc7ce1a
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,primary_parent,b4db125d8c61e7ba0332356b107047cb51137df2e51c5dc5f56c8d2348e79ddb,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,-10.047619,-24.157143,-14.109524000000002,14.109524000000002,true,0f8c8263b40d8bb0411efad2fab4f47705236f1346e3c80ba951a531cda96d08
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,primary_parent,b4db125d8c61e7ba0332356b107047cb51137df2e51c5dc5f56c8d2348e79ddb,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.1482395068100957,0.2869504104383817,0.138710903628286,,true,01915118cced466c28da6664bac56c18c1cfe5b2f28a47f67d8aab15fad7ee4f
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,primary_parent,b4db125d8c61e7ba0332356b107047cb51137df2e51c5dc5f56c8d2348e79ddb,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.0,0.0,0.0,,false,bfdddff194e31cf4d0ca60d2a534072a6458a54d44b4c53291957f62cbb1a875
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,primary_parent,b4db125d8c61e7ba0332356b107047cb51137df2e51c5dc5f56c8d2348e79ddb,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.3745845556259155,1.7373276948928833,0.3627431392669678,-0.3627431392669678,true,ad487e157ecee909f061de7e8a1ac9a947bed9fb6f45b537c4430d4acafafe5b
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,primary_parent,b4db125d8c61e7ba0332356b107047cb51137df2e51c5dc5f56c8d2348e79ddb,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.446,0.436,-0.010000000000000009,-0.010000000000000009,true,64ea86844cb3f5c8149d228e730fbec9f09425aa1d80065be93f2591afa9aab6
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,primary_parent,b4db125d8c61e7ba0332356b107047cb51137df2e51c5dc5f56c8d2348e79ddb,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,42e7538d2715b6ae22a72907ad4f6f930708cedc3c6c10a593619aa26f71246a
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,primary_parent,b4db125d8c61e7ba0332356b107047cb51137df2e51c5dc5f56c8d2348e79ddb,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.356,0.257,-0.09899999999999998,0.09899999999999998,true,c4d7f44fdb48826c1488f8becb5abdbd0cce5f8aff40670c01e8362583463127
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,primary_parent,b4db125d8c61e7ba0332356b107047cb51137df2e51c5dc5f56c8d2348e79ddb,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,0.0,0.0,0.0,-0.0,false,cb8c90b2a029ddceac43cff39c708b9d95e29b412e6ceab5dc5d9d2f189386be
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,primary_parent,b4db125d8c61e7ba0332356b107047cb51137df2e51c5dc5f56c8d2348e79ddb,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,6.072,5.072,-1.0,,true,0ad4950873a536a4f380d30b226e617b6987da7539d654040425a11a563ba5ae
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,primary_parent,b4db125d8c61e7ba0332356b107047cb51137df2e51c5dc5f56c8d2348e79ddb,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.335,0.275,-0.06,0.06,true,41d6e3bd15234d0afb892f1949f8b4f20f3b22493724136d68f7e8ae38f9fc42
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,primary_parent,b4db125d8c61e7ba0332356b107047cb51137df2e51c5dc5f56c8d2348e79ddb,toxinpred3_label,categorical,true,same_frozen_label_contract,audit,label,Non-Toxin,Non-Toxin,,,false,41ffa6526b9cc47b0e8ed15ac27f3d0b50166564f10c9a78c3160457d80dd4c4
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,donor_parent,79e310cea4c1d524dc5062fd0bfdeceb9223d386a86b1ade9a88440a823130bd,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.6931887672593702,1.6760323122863852,-0.017156454972985014,0.017156454972985014,true,4894e74fdf9be2e6845dd05c3894ed3a1360f5a0d9ee4ba4148e1210dc4a535e
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,donor_parent,79e310cea4c1d524dc5062fd0bfdeceb9223d386a86b1ade9a88440a823130bd,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,-4.147619,-24.157143,-20.009524000000003,20.009524000000003,true,0153801a4f5761dfa5d0e64c3ea4094a516727ab15dea7f77283c5829083974d
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,donor_parent,79e310cea4c1d524dc5062fd0bfdeceb9223d386a86b1ade9a88440a823130bd,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.3377336423194123,0.2869504104383817,-0.050783231881030566,,true,b3ff4bc42486bc4cd37e68e3940c5a8836d6d5147583c0be222edc6b30abb9da
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,donor_parent,79e310cea4c1d524dc5062fd0bfdeceb9223d386a86b1ade9a88440a823130bd,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.0,0.0,0.0,,false,7e6f8059efe4377487fd013b7a52e69ba3b2a5069e8f82739060b286706cb0af
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,donor_parent,79e310cea4c1d524dc5062fd0bfdeceb9223d386a86b1ade9a88440a823130bd,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.5862218141555786,1.7373276948928833,0.1511058807373047,-0.1511058807373047,true,0c38fcd9d184e3fe24b4305a4e17ecdb299010596ab577ef790eb07200b4e5a7
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,donor_parent,79e310cea4c1d524dc5062fd0bfdeceb9223d386a86b1ade9a88440a823130bd,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.426,0.436,0.010000000000000009,0.010000000000000009,true,8c415ccfeccf16ed55a1a3d34336fb09f4cf2a33cb2953f4b6bf23a768c9f79b
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,donor_parent,79e310cea4c1d524dc5062fd0bfdeceb9223d386a86b1ade9a88440a823130bd,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,516a3bb924c417ed47bc860f28ad55d547781ab24412f3d1d64ba59b9c431590
gyra,6acddc0ffa1de9443a74eec6c1fc9667cacd95207c3bfdc5a028708eb87349ac,controlled_crossover,5af2628022a10f3b1f19316ffe4f3bdf55ba1ff1451a3d1369a18551b68c42fa,donor_parent,79e310cea4c1d524dc5062fd0bfdeceb9223d386a86b1ade9a88440a823130bd,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.317,0.257,-0.06,0.06,true,a442f880bf67de88df0f118badfd80d663faede2debea87060392a3ab8d9ae29
