branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,0663fd49c1a18b8a4d40cb9a3417796db1b377cc3be96e4e0ff1891c64bcf08a,masked_substitution,1b2af42239a4b6e5e86b98c3c1f55b7950761e2f91f219d08d5221ef56eca1e3,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),0.8502392420270765,1.259270295725496,0.4090310536984195,-0.4090310536984195,true,b42649c6204c2e1c9896deee2cd39a042cc0c02c4bdf3712b4760a04204ae346
vegfa,0663fd49c1a18b8a4d40cb9a3417796db1b377cc3be96e4e0ff1891c64bcf08a,masked_substitution,1b2af42239a4b6e5e86b98c3c1f55b7950761e2f91f219d08d5221ef56eca1e3,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,-9.308695652173913,0.986957,10.295652652173914,-10.295652652173914,true,c96549e552e4e99053867aa109a8b759e1236726206b665e580da68a961a53c9
vegfa,0663fd49c1a18b8a4d40cb9a3417796db1b377cc3be96e4e0ff1891c64bcf08a,masked_substitution,1b2af42239a4b6e5e86b98c3c1f55b7950761e2f91f219d08d5221ef56eca1e3,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.14056582796750103,0.1707971109158755,0.03023128294837446,,true,f8eab8297de5c58877e9d7d1c74434e5723d17785c27a2c15f0fb83d237052ad
vegfa,0663fd49c1a18b8a4d40cb9a3417796db1b377cc3be96e4e0ff1891c64bcf08a,masked_substitution,1b2af42239a4b6e5e86b98c3c1f55b7950761e2f91f219d08d5221ef56eca1e3,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.2608695652173913,0.2608695652173913,0.0,,false,5061c53816535bd30268e88f3133ff7791c9d2396b465d7c858b04d16696dc84
vegfa,0663fd49c1a18b8a4d40cb9a3417796db1b377cc3be96e4e0ff1891c64bcf08a,masked_substitution,1b2af42239a4b6e5e86b98c3c1f55b7950761e2f91f219d08d5221ef56eca1e3,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.3610467910766602,1.5153766870498657,0.15432989597320557,-0.15432989597320557,true,db504ebf8d2a22997a68e4b873df7214cc24f73064517e3f4612e9674fb2e2cc
vegfa,0663fd49c1a18b8a4d40cb9a3417796db1b377cc3be96e4e0ff1891c64bcf08a,masked_substitution,1b2af42239a4b6e5e86b98c3c1f55b7950761e2f91f219d08d5221ef56eca1e3,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.584,0.347,-0.237,-0.237,true,3d1a3ef3f84bd7fcd0a364ca0b2402c9f7e53266cf66af5863314793a7d398e0
vegfa,0663fd49c1a18b8a4d40cb9a3417796db1b377cc3be96e4e0ff1891c64bcf08a,masked_substitution,1b2af42239a4b6e5e86b98c3c1f55b7950761e2f91f219d08d5221ef56eca1e3,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,36bd79411634d91b90c5b16f4328701a802460e37837c6953367068b8c43f024
vegfa,0663fd49c1a18b8a4d40cb9a3417796db1b377cc3be96e4e0ff1891c64bcf08a,masked_substitution,1b2af42239a4b6e5e86b98c3c1f55b7950761e2f91f219d08d5221ef56eca1e3,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.465,0.426,-0.039000000000000035,0.039000000000000035,true,8e282b3cf23594540c2f8132ba77bef856668e97b2ae928b978f0a06be787e22
vegfa,0663fd49c1a18b8a4d40cb9a3417796db1b377cc3be96e4e0ff1891c64bcf08a,masked_substitution,1b2af42239a4b6e5e86b98c3c1f55b7950761e2f91f219d08d5221ef56eca1e3,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,2.0,2.0,0.0,-0.0,false,6c1068b91ae00ad7abfb09591d45f9d8550c6e0d068511c443304fae57eecfe1
vegfa,0663fd49c1a18b8a4d40cb9a3417796db1b377cc3be96e4e0ff1891c64bcf08a,masked_substitution,1b2af42239a4b6e5e86b98c3c1f55b7950761e2f91f219d08d5221ef56eca1e3,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,6.112,5.112,-1.0,,true,db914b2584c973f224a562473f9639076096d314acb342b830ceacf6333a34be
vegfa,0663fd49c1a18b8a4d40cb9a3417796db1b377cc3be96e4e0ff1891c64bcf08a,masked_substitution,1b2af42239a4b6e5e86b98c3c1f55b7950761e2f91f219d08d5221ef56eca1e3,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.0,0.0,0.0,-0.0,false,785ba2a7f45d92052b05faf10fa9572eb82d7b0ddd4bb7987a506ddd144d9919
vegfa,0663fd49c1a18b8a4d40cb9a3417796db1b377cc3be96e4e0ff1891c64bcf08a,masked_substitution,1b2af42239a4b6e5e86b98c3c1f55b7950761e2f91f219d08d5221ef56eca1e3,primary_parent,02e6e8a9041d1f5e02ded66ace7f1bf8353933cb460554f7d6d4f7827ee851e3,toxinpred3_label,categorical,true,same_frozen_label_contract,audit,label,Non-Toxin,Non-Toxin,,,false,e002a6cadec36afd93591b19bdec1e65546a4b458bf39034dc3474acf1500d36
