branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,844e07238d252294b68790d244d06fdf1928af9e62915dbf5fb01c0efa4652f6,masked_substitution,f3b64e7513c2cc849d588e4968d05293263e9a69ac5c528d08afa8fd04ea03c1,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.461435645394623,1.5017832564023565,0.04034761100773365,-0.04034761100773365,true,2d8d92d22c0c0d22e840bf86c5adfd6cbcf4f7f0c3bb1a3fd1ad7a058ad00a59
vegfa,844e07238d252294b68790d244d06fdf1928af9e62915dbf5fb01c0efa4652f6,masked_substitution,f3b64e7513c2cc849d588e4968d05293263e9a69ac5c528d08afa8fd04ea03c1,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,20.137499999999996,28.974999999999998,8.837500000000002,-8.837500000000002,true,4b51ca460aabda9c5b99105e987033a0c89fb69479dcf8d13a1d8e4ae7d92725
vegfa,844e07238d252294b68790d244d06fdf1928af9e62915dbf5fb01c0efa4652f6,masked_substitution,f3b64e7513c2cc849d588e4968d05293263e9a69ac5c528d08afa8fd04ea03c1,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.2907052582478749,0.21526760829145075,-0.07543764995642416,,true,2c65c3d5fd3a98981792f42be0777dc148dd67bdaba25e1848408600706c9c69
vegfa,844e07238d252294b68790d244d06fdf1928af9e62915dbf5fb01c0efa4652f6,masked_substitution,f3b64e7513c2cc849d588e4968d05293263e9a69ac5c528d08afa8fd04ea03c1,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.08333333333333333,0.125,0.04166666666666667,,true,c3136d5ba680cfbd5de34404177a739ba87e3e1bbb0c47130b0cb9cfafac4cd9
vegfa,844e07238d252294b68790d244d06fdf1928af9e62915dbf5fb01c0efa4652f6,masked_substitution,f3b64e7513c2cc849d588e4968d05293263e9a69ac5c528d08afa8fd04ea03c1,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.4604281187057495,1.253393292427063,-0.20703482627868652,0.20703482627868652,true,35deb253157f5ca1bddd2f235af101b36ea2d25b8273602797b9c14494ef7e39
vegfa,844e07238d252294b68790d244d06fdf1928af9e62915dbf5fb01c0efa4652f6,masked_substitution,f3b64e7513c2cc849d588e4968d05293263e9a69ac5c528d08afa8fd04ea03c1,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.416,0.455,0.039000000000000035,0.039000000000000035,true,b65ced83fd8872bd5b98086be0ed48c6de9820c9a3f639ebe9b6346b2a626fc1
vegfa,844e07238d252294b68790d244d06fdf1928af9e62915dbf5fb01c0efa4652f6,masked_substitution,f3b64e7513c2cc849d588e4968d05293263e9a69ac5c528d08afa8fd04ea03c1,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,89af3a49e3193729d127e3f1fe19e6f29eb2e394101ecd0cf02b5cc78f5c6e4e
vegfa,844e07238d252294b68790d244d06fdf1928af9e62915dbf5fb01c0efa4652f6,masked_substitution,f3b64e7513c2cc849d588e4968d05293263e9a69ac5c528d08afa8fd04ea03c1,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.485,0.485,0.0,-0.0,false,dd0772c1e5c0574ea002a09360d416dd12960b45a8211176c7941235aa33175a
vegfa,844e07238d252294b68790d244d06fdf1928af9e62915dbf5fb01c0efa4652f6,masked_substitution,f3b64e7513c2cc849d588e4968d05293263e9a69ac5c528d08afa8fd04ea03c1,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,2.0,1.0,-1.0,true,0248bfc2afa2846e619355c2dab1bfe69651e98507db0afb1e78fa0dd6bf92c0
vegfa,844e07238d252294b68790d244d06fdf1928af9e62915dbf5fb01c0efa4652f6,masked_substitution,f3b64e7513c2cc849d588e4968d05293263e9a69ac5c528d08afa8fd04ea03c1,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,5.072,4.072,-1.0,,true,7169171eb49349008b47410a81659100491298aaa0c9dca189a8cc7fe9c46ac1
vegfa,844e07238d252294b68790d244d06fdf1928af9e62915dbf5fb01c0efa4652f6,masked_substitution,f3b64e7513c2cc849d588e4968d05293263e9a69ac5c528d08afa8fd04ea03c1,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.0,0.24,0.24,-0.24,true,3fd0e19553b5ced74aa5592911423186b5a65a4ee7bb4a3584ac37d3fa9709da
vegfa,844e07238d252294b68790d244d06fdf1928af9e62915dbf5fb01c0efa4652f6,masked_substitution,f3b64e7513c2cc849d588e4968d05293263e9a69ac5c528d08afa8fd04ea03c1,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,toxinpred3_label,categorical,true,same_frozen_label_contract,audit,label,Non-Toxin,Non-Toxin,,,false,8a7ce281d8a8e4160e5e2b57cfd61409cb22e3c3fc0e5e7b9609e005e186507c
vegfa,6921d7bdc85921fe65bc0c588ec5edbbe753491ae78f2e506b3c3c84b93b72c9,masked_substitution,9f822d33156273bd0da14c5eeebd8283f4420d883553987702025d00a6f69cbc,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.461435645394623,1.4616427758676624,0.0002071304730395518,-0.0002071304730395518,true,e95905d2959d46cf61792a8ad8ceba9e1ecf2e8d02d59d87d6e17b70fe39ce85
vegfa,6921d7bdc85921fe65bc0c588ec5edbbe753491ae78f2e506b3c3c84b93b72c9,masked_substitution,9f822d33156273bd0da14c5eeebd8283f4420d883553987702025d00a6f69cbc,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,20.137499999999996,35.2375,15.100000000000001,-15.100000000000001,true,07cc2d1b14cff5a9739446f61b676ea3e59abfac0cf0b2a4f9257efec255ae95
vegfa,6921d7bdc85921fe65bc0c588ec5edbbe753491ae78f2e506b3c3c84b93b72c9,masked_substitution,9f822d33156273bd0da14c5eeebd8283f4420d883553987702025d00a6f69cbc,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.2907052582478749,0.21309274857551655,-0.07761250967235836,,true,2eb2b75f2a79a716f6f252c0b1704c2dfdb14d167a97157d858f57d0549a2a57
vegfa,6921d7bdc85921fe65bc0c588ec5edbbe753491ae78f2e506b3c3c84b93b72c9,masked_substitution,9f822d33156273bd0da14c5eeebd8283f4420d883553987702025d00a6f69cbc,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.08333333333333333,0.125,0.04166666666666667,,true,1f5e710c3c35690637e64e82d3948d4a338ed154caef00134ced11abd087aff4
vegfa,6921d7bdc85921fe65bc0c588ec5edbbe753491ae78f2e506b3c3c84b93b72c9,masked_substitution,9f822d33156273bd0da14c5eeebd8283f4420d883553987702025d00a6f69cbc,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.4604281187057495,1.383477807044983,-0.0769503116607666,0.0769503116607666,true,195e51d4b3cbfa8cab94760f4336bb336494bfff45b2a239abe99655beefa0de
vegfa,6921d7bdc85921fe65bc0c588ec5edbbe753491ae78f2e506b3c3c84b93b72c9,masked_substitution,9f822d33156273bd0da14c5eeebd8283f4420d883553987702025d00a6f69cbc,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.416,0.485,0.069,0.069,true,e93cfbcf24d2e300d67f0c4a5336e9c79490cb3a7c21e3657a458ed1d0bfeaff
vegfa,6921d7bdc85921fe65bc0c588ec5edbbe753491ae78f2e506b3c3c84b93b72c9,masked_substitution,9f822d33156273bd0da14c5eeebd8283f4420d883553987702025d00a6f69cbc,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,adb39ec0b9498f8912f35e59e499ae2327d51c08801c874636a8a2edc9137e71
vegfa,6921d7bdc85921fe65bc0c588ec5edbbe753491ae78f2e506b3c3c84b93b72c9,masked_substitution,9f822d33156273bd0da14c5eeebd8283f4420d883553987702025d00a6f69cbc,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.485,0.485,0.0,-0.0,false,04c69c705ab28404d4f0d040fb78696d71d3d33d00e127caacef775d04b56046
vegfa,6921d7bdc85921fe65bc0c588ec5edbbe753491ae78f2e506b3c3c84b93b72c9,masked_substitution,9f822d33156273bd0da14c5eeebd8283f4420d883553987702025d00a6f69cbc,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,2.0,1.0,-1.0,true,6264adf5c94a357bebd891d648a8cdf6a4ddacdf70e705927d529bd511b901fc
vegfa,6921d7bdc85921fe65bc0c588ec5edbbe753491ae78f2e506b3c3c84b93b72c9,masked_substitution,9f822d33156273bd0da14c5eeebd8283f4420d883553987702025d00a6f69cbc,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,5.072,4.072,-1.0,,true,c8c1bd5e4cf14a2e28352dce5c8ca672b2bb28c973a741a0b33bf350fb194e0c
vegfa,6921d7bdc85921fe65bc0c588ec5edbbe753491ae78f2e506b3c3c84b93b72c9,masked_substitution,9f822d33156273bd0da14c5eeebd8283f4420d883553987702025d00a6f69cbc,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,toxinpred3_hybrid_score,numeric,true,same_frozen_numeric_contract,minimize,dimensionless,0.0,0.0,0.0,-0.0,false,7206cb2b9968f2ca22bff48683c21b606c40df612867348773c88943b0d613e1
vegfa,6921d7bdc85921fe65bc0c588ec5edbbe753491ae78f2e506b3c3c84b93b72c9,masked_substitution,9f822d33156273bd0da14c5eeebd8283f4420d883553987702025d00a6f69cbc,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,toxinpred3_label,categorical,true,same_frozen_label_contract,audit,label,Non-Toxin,Non-Toxin,,,false,1b2493786044ad640d7180d9f2a80dbc19f2743fca042ee0a612f919b62f5192
vegfa,188452e80fe60e4a8618a4d9d0876404b86763901525ed7ce6b8782d1b5e7924,masked_substitution,6ac4d77464662a53052a76bbe9654bb2ecf2a25587b81949058ea5871259dea4,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.461435645394623,1.5228155556753886,0.061379910280765726,-0.061379910280765726,true,2b0a44c390d147d740def71d3417dca61d638488c02fe7faefeca2a331ec1681
vegfa,188452e80fe60e4a8618a4d9d0876404b86763901525ed7ce6b8782d1b5e7924,masked_substitution,6ac4d77464662a53052a76bbe9654bb2ecf2a25587b81949058ea5871259dea4,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,20.137499999999996,27.212499999999995,7.074999999999999,-7.074999999999999,true,ad673215d9b30ed0b4a4a020b36fd8ebb456de38d00d46d3de26e69eb3b7788c
vegfa,188452e80fe60e4a8618a4d9d0876404b86763901525ed7ce6b8782d1b5e7924,masked_substitution,6ac4d77464662a53052a76bbe9654bb2ecf2a25587b81949058ea5871259dea4,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.2907052582478749,0.21640788904857886,-0.07429736919929605,,true,f5db62fc11b45db66b2dd7a5eca296a02f0b09f3fd21c39326ce85a09595b0a3
vegfa,188452e80fe60e4a8618a4d9d0876404b86763901525ed7ce6b8782d1b5e7924,masked_substitution,6ac4d77464662a53052a76bbe9654bb2ecf2a25587b81949058ea5871259dea4,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.08333333333333333,0.125,0.04166666666666667,,true,61a79fc4bc53a2508003fdf86e94fa9386e0e7578eef9703b7bf27200c58dcb9
vegfa,188452e80fe60e4a8618a4d9d0876404b86763901525ed7ce6b8782d1b5e7924,masked_substitution,6ac4d77464662a53052a76bbe9654bb2ecf2a25587b81949058ea5871259dea4,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.4604281187057495,1.309276819229126,-0.15115129947662354,0.15115129947662354,true,afdc4c1ee5ebf54a9e1c991decccad43b9a03b971c8602d24e57fcd2bd373ef4
vegfa,188452e80fe60e4a8618a4d9d0876404b86763901525ed7ce6b8782d1b5e7924,masked_substitution,6ac4d77464662a53052a76bbe9654bb2ecf2a25587b81949058ea5871259dea4,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.416,0.505,0.08900000000000002,0.08900000000000002,true,1ff1f6dce904d544e60ecb03ec1d87f9417a04427527e8ad9d9c3f7f5cdd7193
vegfa,188452e80fe60e4a8618a4d9d0876404b86763901525ed7ce6b8782d1b5e7924,masked_substitution,6ac4d77464662a53052a76bbe9654bb2ecf2a25587b81949058ea5871259dea4,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,0fd0596fac80876b8157440601ef555b9c740c9c180703bbb57966d42b831dfc
vegfa,188452e80fe60e4a8618a4d9d0876404b86763901525ed7ce6b8782d1b5e7924,masked_substitution,6ac4d77464662a53052a76bbe9654bb2ecf2a25587b81949058ea5871259dea4,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.485,0.485,0.0,-0.0,false,81fb3cc044374919cf8932b6e76321957fe7d795b702257d684afdb26892be10
vegfa,188452e80fe60e4a8618a4d9d0876404b86763901525ed7ce6b8782d1b5e7924,masked_substitution,6ac4d77464662a53052a76bbe9654bb2ecf2a25587b81949058ea5871259dea4,primary_parent,96bf02b0cddac082b2fbb05846bb8f37a9e48a8df14d06f46426306586083fe5,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,2.0,1.0,-1.0,true,e423f728a0928373a1417a72f83ef7fbdf89cb4c924f26ca325762a43877ae60
