time_ps,interface_rmsd_nm,native_contact_fraction,peptide_com_shift_nm,departed
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,6.830854713916778564e-02,9.000000000000000222e-01,3.701258078217506409e-02,0.000000000000000000e+00
2.000000000000000000e+01,8.525709062814712524e-02,9.000000000000000222e-01,3.412264212965965271e-02,0.000000000000000000e+00
3.000000000000000000e+01,9.614524245262145996e-02,8.666666666666666963e-01,4.150699451565742493e-02,0.000000000000000000e+00
4.000000000000000000e+01,9.434729069471359253e-02,8.666666666666666963e-01,6.030337885022163391e-02,0.000000000000000000e+00
5.000000000000000000e+01,9.025214612483978271e-02,7.833333333333333259e-01,5.068742483854293823e-02,0.000000000000000000e+00
6.000000000000000000e+01,9.932288527488708496e-02,8.499999999999999778e-01,4.774611815810203552e-02,0.000000000000000000e+00
7.000000000000000000e+01,8.213298767805099487e-02,8.499999999999999778e-01,4.149143770337104797e-02,0.000000000000000000e+00
8.000000000000000000e+01,8.300859481096267700e-02,8.499999999999999778e-01,4.263611882925033569e-02,0.000000000000000000e+00
9.000000000000000000e+01,7.724411785602569580e-02,9.166666666666666297e-01,3.623737022280693054e-02,0.000000000000000000e+00
1.000000000000000000e+02,8.664893358945846558e-02,8.833333333333333037e-01,3.771154209971427917e-02,0.000000000000000000e+00
1.100000000000000000e+02,8.747837692499160767e-02,7.833333333333333259e-01,5.070160329341888428e-02,0.000000000000000000e+00
1.200000000000000000e+02,9.104066342115402222e-02,8.499999999999999778e-01,3.593460470438003540e-02,0.000000000000000000e+00
1.300000000000000000e+02,9.657794982194900513e-02,8.833333333333333037e-01,8.615600317716598511e-02,0.000000000000000000e+00
1.400000000000000000e+02,8.372197300195693970e-02,8.333333333333333703e-01,5.441055819392204285e-02,0.000000000000000000e+00
1.500000000000000000e+02,8.351532369852066040e-02,8.166666666666666519e-01,4.524451121687889099e-02,0.000000000000000000e+00
1.600000000000000000e+02,1.111838445067405701e-01,8.833333333333333037e-01,1.095283329486846924e-01,0.000000000000000000e+00
1.700000000000000000e+02,1.098505184054374695e-01,8.833333333333333037e-01,8.633030205965042114e-02,0.000000000000000000e+00
1.800000000000000000e+02,1.213744729757308960e-01,8.499999999999999778e-01,1.327698975801467896e-01,0.000000000000000000e+00
1.900000000000000000e+02,1.062576547265052795e-01,8.833333333333333037e-01,6.833694130182266235e-02,0.000000000000000000e+00
2.000000000000000000e+02,1.058945953845977783e-01,8.833333333333333037e-01,9.366776049137115479e-02,0.000000000000000000e+00
2.100000000000000000e+02,1.052132248878479004e-01,8.833333333333333037e-01,8.753399550914764404e-02,0.000000000000000000e+00
2.200000000000000000e+02,1.102001741528511047e-01,9.000000000000000222e-01,9.387088567018508911e-02,0.000000000000000000e+00
2.300000000000000000e+02,1.136379390954971313e-01,8.666666666666666963e-01,9.928678721189498901e-02,0.000000000000000000e+00
2.400000000000000000e+02,1.107574924826622009e-01,8.666666666666666963e-01,9.287111461162567139e-02,0.000000000000000000e+00
