time_ps,interface_rmsd_nm,native_contact_fraction,peptide_com_shift_nm,departed
0.000000000000000000e+00,9.802283074122897233e-08,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,7.462988048791885376e-02,8.775510204081632404e-01,1.753974519670009613e-02,0.000000000000000000e+00
2.000000000000000000e+01,9.306447207927703857e-02,8.979591836734693855e-01,6.324575096368789673e-02,0.000000000000000000e+00
3.000000000000000000e+01,9.842618554830551147e-02,8.571428571428570953e-01,4.846934601664543152e-02,0.000000000000000000e+00
4.000000000000000000e+01,1.065372601151466370e-01,9.183673469387755306e-01,4.438348114490509033e-02,0.000000000000000000e+00
5.000000000000000000e+01,1.062049493193626404e-01,9.183673469387755306e-01,5.069484934210777283e-02,0.000000000000000000e+00
6.000000000000000000e+01,1.459854543209075928e-01,9.183673469387755306e-01,8.526384830474853516e-02,0.000000000000000000e+00
7.000000000000000000e+01,1.309526562690734863e-01,8.775510204081632404e-01,1.004642546176910400e-01,0.000000000000000000e+00
8.000000000000000000e+01,1.189404129981994629e-01,8.775510204081632404e-01,9.996520727872848511e-02,0.000000000000000000e+00
9.000000000000000000e+01,1.021439135074615479e-01,8.775510204081632404e-01,5.458063259720802307e-02,0.000000000000000000e+00
1.000000000000000000e+02,1.009794920682907104e-01,8.979591836734693855e-01,5.310899019241333008e-02,0.000000000000000000e+00
1.100000000000000000e+02,1.126990392804145813e-01,8.775510204081632404e-01,4.088411107659339905e-02,0.000000000000000000e+00
1.200000000000000000e+02,1.238993331789970398e-01,8.367346938775510612e-01,9.235965460538864136e-02,0.000000000000000000e+00
1.300000000000000000e+02,1.138644516468048096e-01,8.367346938775510612e-01,8.066696673631668091e-02,0.000000000000000000e+00
1.400000000000000000e+02,1.182721331715583801e-01,7.959183673469387710e-01,5.517909675836563110e-02,0.000000000000000000e+00
1.500000000000000000e+02,9.187912195920944214e-02,8.163265306122449161e-01,2.492611669003963470e-02,0.000000000000000000e+00
1.600000000000000000e+02,9.745243191719055176e-02,8.163265306122449161e-01,3.495164960622787476e-02,0.000000000000000000e+00
1.700000000000000000e+02,1.036466658115386963e-01,8.163265306122449161e-01,3.573963791131973267e-02,0.000000000000000000e+00
1.800000000000000000e+02,1.275333464145660400e-01,8.163265306122449161e-01,4.823814332485198975e-02,0.000000000000000000e+00
1.900000000000000000e+02,1.238752081990242004e-01,8.979591836734693855e-01,5.125083401799201965e-02,0.000000000000000000e+00
2.000000000000000000e+02,1.212765499949455261e-01,8.163265306122449161e-01,3.396727144718170166e-02,0.000000000000000000e+00
2.100000000000000000e+02,1.538750976324081421e-01,8.571428571428570953e-01,8.360776305198669434e-02,0.000000000000000000e+00
2.200000000000000000e+02,1.494615226984024048e-01,7.959183673469387710e-01,9.686481952667236328e-02,0.000000000000000000e+00
2.300000000000000000e+02,1.298143118619918823e-01,8.163265306122449161e-01,7.154896110296249390e-02,0.000000000000000000e+00
2.400000000000000000e+02,1.032241806387901306e-01,8.163265306122449161e-01,5.918100103735923767e-02,0.000000000000000000e+00
2.500000000000000000e+02,1.004885956645011902e-01,8.367346938775510612e-01,5.102202668786048889e-02,0.000000000000000000e+00
2.600000000000000000e+02,1.296926587820053101e-01,8.979591836734693855e-01,7.384820282459259033e-02,0.000000000000000000e+00
2.700000000000000000e+02,1.206417828798294067e-01,8.367346938775510612e-01,4.644110798835754395e-02,0.000000000000000000e+00
2.800000000000000000e+02,1.195273622870445251e-01,8.367346938775510612e-01,4.742255806922912598e-02,0.000000000000000000e+00
2.900000000000000000e+02,1.284853667020797729e-01,8.775510204081632404e-01,2.045600488781929016e-02,0.000000000000000000e+00
3.000000000000000000e+02,1.229552403092384338e-01,8.571428571428570953e-01,4.803675785660743713e-02,0.000000000000000000e+00
3.100000000000000000e+02,1.353967338800430298e-01,8.367346938775510612e-01,5.187406763434410095e-02,0.000000000000000000e+00
3.200000000000000000e+02,1.182368248701095581e-01,8.163265306122449161e-01,4.158460721373558044e-02,0.000000000000000000e+00
3.300000000000000000e+02,1.143420785665512085e-01,8.367346938775510612e-01,5.624949932098388672e-02,0.000000000000000000e+00
3.400000000000000000e+02,1.272714883089065552e-01,8.775510204081632404e-01,3.229022026062011719e-02,0.000000000000000000e+00
3.500000000000000000e+02,1.223095655441284180e-01,8.775510204081632404e-01,3.773326054215431213e-02,0.000000000000000000e+00
3.600000000000000000e+02,1.228933557868003845e-01,8.571428571428570953e-01,4.995733499526977539e-02,0.000000000000000000e+00
3.700000000000000000e+02,1.221961304545402527e-01,8.367346938775510612e-01,4.683242738246917725e-02,0.000000000000000000e+00
3.800000000000000000e+02,1.322350203990936279e-01,7.959183673469387710e-01,3.721932694315910339e-02,0.000000000000000000e+00
3.900000000000000000e+02,1.734177470207214355e-01,8.163265306122449161e-01,8.373653888702392578e-02,0.000000000000000000e+00
4.000000000000000000e+02,1.497512012720108032e-01,8.979591836734693855e-01,6.940305233001708984e-02,0.000000000000000000e+00
4.100000000000000000e+02,1.471395343542098999e-01,7.959183673469387710e-01,8.057677000761032104e-02,0.000000000000000000e+00
4.200000000000000000e+02,1.736346483230590820e-01,8.367346938775510612e-01,9.960545599460601807e-02,0.000000000000000000e+00
4.300000000000000000e+02,1.744272857904434204e-01,7.551020408163264808e-01,7.060509920120239258e-02,0.000000000000000000e+00
4.400000000000000000e+02,1.640725880861282349e-01,7.755102040816326259e-01,5.161460116505622864e-02,0.000000000000000000e+00
4.500000000000000000e+02,1.580268442630767822e-01,8.367346938775510612e-01,3.439806029200553894e-02,0.000000000000000000e+00
