time_ps,interface_rmsd_nm,native_contact_fraction,peptide_com_shift_nm,departed
0.000000000000000000e+00,2.417899480633423082e-08,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,5.849337950348854065e-02,9.000000000000000222e-01,2.120406180620193481e-02,0.000000000000000000e+00
2.000000000000000000e+01,6.005336344242095947e-02,9.100000000000000311e-01,4.199466109275817871e-02,0.000000000000000000e+00
3.000000000000000000e+01,7.841490209102630615e-02,8.399999999999999689e-01,3.653646260499954224e-02,0.000000000000000000e+00
4.000000000000000000e+01,7.197020202875137329e-02,8.900000000000000133e-01,3.354638442397117615e-02,0.000000000000000000e+00
5.000000000000000000e+01,7.735060900449752808e-02,8.699999999999999956e-01,5.184226110577583313e-02,0.000000000000000000e+00
6.000000000000000000e+01,6.177863851189613342e-02,8.900000000000000133e-01,2.857342362403869629e-02,0.000000000000000000e+00
7.000000000000000000e+01,6.785169243812561035e-02,8.699999999999999956e-01,2.398786135017871857e-02,0.000000000000000000e+00
8.000000000000000000e+01,7.188820838928222656e-02,8.800000000000000044e-01,2.374860271811485291e-02,0.000000000000000000e+00
9.000000000000000000e+01,6.927402317523956299e-02,8.499999999999999778e-01,2.646909095346927643e-02,0.000000000000000000e+00
1.000000000000000000e+02,6.629858165979385376e-02,8.800000000000000044e-01,2.497963048517704010e-02,0.000000000000000000e+00
1.100000000000000000e+02,6.003298982977867126e-02,8.399999999999999689e-01,7.996745407581329346e-03,0.000000000000000000e+00
1.200000000000000000e+02,6.105295196175575256e-02,9.000000000000000222e-01,1.946684345602989197e-02,0.000000000000000000e+00
1.300000000000000000e+02,7.170357555150985718e-02,9.300000000000000488e-01,2.934207022190093994e-02,0.000000000000000000e+00
1.400000000000000000e+02,6.617497652769088745e-02,8.800000000000000044e-01,2.001028135418891907e-02,0.000000000000000000e+00
1.500000000000000000e+02,6.491941213607788086e-02,8.399999999999999689e-01,2.770716883242130280e-02,0.000000000000000000e+00
1.600000000000000000e+02,6.319982558488845825e-02,8.599999999999999867e-01,2.159151993691921234e-02,0.000000000000000000e+00
1.700000000000000000e+02,6.446789205074310303e-02,8.900000000000000133e-01,1.966330781579017639e-02,0.000000000000000000e+00
1.800000000000000000e+02,6.882966309785842896e-02,8.800000000000000044e-01,4.259643703699111938e-02,0.000000000000000000e+00
1.900000000000000000e+02,7.366069406270980835e-02,8.800000000000000044e-01,8.938642218708992004e-03,0.000000000000000000e+00
2.000000000000000000e+02,7.364996522665023804e-02,9.000000000000000222e-01,2.962478995323181152e-02,0.000000000000000000e+00
2.100000000000000000e+02,7.648750394582748413e-02,8.599999999999999867e-01,2.723004855215549469e-02,0.000000000000000000e+00
2.200000000000000000e+02,7.768166065216064453e-02,9.000000000000000222e-01,4.028996452689170837e-02,0.000000000000000000e+00
2.300000000000000000e+02,6.672950088977813721e-02,9.200000000000000400e-01,2.426550909876823425e-02,0.000000000000000000e+00
2.400000000000000000e+02,7.916156947612762451e-02,8.800000000000000044e-01,3.033040463924407959e-02,0.000000000000000000e+00
2.500000000000000000e+02,6.915380805730819702e-02,9.100000000000000311e-01,1.299723051488399506e-02,0.000000000000000000e+00
2.600000000000000000e+02,7.347526401281356812e-02,9.100000000000000311e-01,2.239147014915943146e-02,0.000000000000000000e+00
2.700000000000000000e+02,8.096338808536529541e-02,9.100000000000000311e-01,2.814000658690929413e-02,0.000000000000000000e+00
2.800000000000000000e+02,7.551827281713485718e-02,8.599999999999999867e-01,1.346481498330831528e-02,0.000000000000000000e+00
2.900000000000000000e+02,8.082012832164764404e-02,8.399999999999999689e-01,2.055077813565731049e-02,0.000000000000000000e+00
3.000000000000000000e+02,7.593534886837005615e-02,8.699999999999999956e-01,2.705205790698528290e-02,0.000000000000000000e+00
3.100000000000000000e+02,7.965227961540222168e-02,8.599999999999999867e-01,2.273851819336414337e-02,0.000000000000000000e+00
3.200000000000000000e+02,8.030331134796142578e-02,8.800000000000000044e-01,1.577330939471721649e-02,0.000000000000000000e+00
3.300000000000000000e+02,7.752501964569091797e-02,9.100000000000000311e-01,4.082246869802474976e-02,0.000000000000000000e+00
3.400000000000000000e+02,6.818662583827972412e-02,9.000000000000000222e-01,2.296537533402442932e-02,0.000000000000000000e+00
3.500000000000000000e+02,8.042106777429580688e-02,8.800000000000000044e-01,1.714906655251979828e-02,0.000000000000000000e+00
3.600000000000000000e+02,6.935006380081176758e-02,8.699999999999999956e-01,1.380600035190582275e-02,0.000000000000000000e+00
3.700000000000000000e+02,7.541381567716598511e-02,9.000000000000000222e-01,4.263790324330329895e-02,0.000000000000000000e+00
