time_ps,interface_rmsd_nm,native_contact_fraction,peptide_com_shift_nm,departed
0.000000000000000000e+00,5.960464477539062500e-08,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,6.477852165699005127e-02,9.166666666666666297e-01,2.182057872414588928e-02,0.000000000000000000e+00
2.000000000000000000e+01,7.069487869739532471e-02,8.888888888888888395e-01,3.626899793744087219e-02,0.000000000000000000e+00
3.000000000000000000e+01,7.028950005769729614e-02,9.444444444444444198e-01,4.447832703590393066e-02,0.000000000000000000e+00
4.000000000000000000e+01,8.159294724464416504e-02,8.611111111111111605e-01,5.562094971537590027e-02,0.000000000000000000e+00
5.000000000000000000e+01,7.704780995845794678e-02,9.027777777777777901e-01,4.273414984345436096e-02,0.000000000000000000e+00
6.000000000000000000e+01,7.621323317289352417e-02,8.888888888888888395e-01,1.933122612535953522e-02,0.000000000000000000e+00
7.000000000000000000e+01,7.373707741498947144e-02,8.888888888888888395e-01,2.482326328754425049e-02,0.000000000000000000e+00
8.000000000000000000e+01,7.139659672975540161e-02,8.333333333333333703e-01,3.481035679578781128e-02,0.000000000000000000e+00
9.000000000000000000e+01,8.802468329668045044e-02,8.611111111111111605e-01,6.215505674481391907e-02,0.000000000000000000e+00
1.000000000000000000e+02,9.065572917461395264e-02,8.055555555555555802e-01,6.571634113788604736e-02,0.000000000000000000e+00
1.100000000000000000e+02,8.691021800041198730e-02,8.611111111111111605e-01,6.687317788600921631e-02,0.000000000000000000e+00
1.200000000000000000e+02,8.973348140716552734e-02,8.611111111111111605e-01,5.076457932591438293e-02,0.000000000000000000e+00
1.300000000000000000e+02,9.222631901502609253e-02,8.333333333333333703e-01,3.762966021895408630e-02,0.000000000000000000e+00
1.400000000000000000e+02,8.418826013803482056e-02,8.611111111111111605e-01,4.978010058403015137e-02,0.000000000000000000e+00
1.500000000000000000e+02,8.283758163452148438e-02,8.472222222222222099e-01,4.698942974209785461e-02,0.000000000000000000e+00
1.600000000000000000e+02,8.354415744543075562e-02,8.611111111111111605e-01,4.034509137272834778e-02,0.000000000000000000e+00
1.700000000000000000e+02,9.418973326683044434e-02,8.888888888888888395e-01,7.441231608390808105e-02,0.000000000000000000e+00
1.800000000000000000e+02,7.628502696752548218e-02,8.194444444444444198e-01,2.411643415689468384e-02,0.000000000000000000e+00
1.900000000000000000e+02,8.003109693527221680e-02,8.472222222222222099e-01,3.459592163562774658e-02,0.000000000000000000e+00
2.000000000000000000e+02,7.175427675247192383e-02,8.750000000000000000e-01,3.841960057616233826e-02,0.000000000000000000e+00
2.100000000000000000e+02,8.034903556108474731e-02,8.888888888888888395e-01,4.084809496998786926e-02,0.000000000000000000e+00
2.200000000000000000e+02,7.120409607887268066e-02,8.333333333333333703e-01,4.335718974471092224e-02,0.000000000000000000e+00
2.300000000000000000e+02,8.913992345333099365e-02,8.472222222222222099e-01,5.355587229132652283e-02,0.000000000000000000e+00
2.400000000000000000e+02,8.086588978767395020e-02,8.750000000000000000e-01,4.780779406428337097e-02,0.000000000000000000e+00
2.500000000000000000e+02,6.702555716037750244e-02,8.194444444444444198e-01,3.912667278200387955e-03,0.000000000000000000e+00
2.600000000000000000e+02,7.103578001260757446e-02,8.472222222222222099e-01,3.437855839729309082e-02,0.000000000000000000e+00
2.700000000000000000e+02,8.301775157451629639e-02,8.333333333333333703e-01,5.672597885131835938e-02,0.000000000000000000e+00
2.800000000000000000e+02,8.784358203411102295e-02,8.611111111111111605e-01,6.220177933573722839e-02,0.000000000000000000e+00
2.900000000000000000e+02,1.020121872425079346e-01,8.333333333333333703e-01,7.976309210062026978e-02,0.000000000000000000e+00
3.000000000000000000e+02,8.333966135978698730e-02,8.333333333333333703e-01,1.746133342385292053e-02,0.000000000000000000e+00
3.100000000000000000e+02,9.145585447549819946e-02,7.777777777777777901e-01,5.686670541763305664e-02,0.000000000000000000e+00
3.200000000000000000e+02,8.782412111759185791e-02,7.777777777777777901e-01,4.208936914801597595e-02,0.000000000000000000e+00
3.300000000000000000e+02,9.590052813291549683e-02,8.333333333333333703e-01,7.537456601858139038e-02,0.000000000000000000e+00
3.400000000000000000e+02,1.092388555407524109e-01,8.194444444444444198e-01,6.404617428779602051e-02,0.000000000000000000e+00
3.500000000000000000e+02,1.019372045993804932e-01,7.916666666666666297e-01,4.525766521692276001e-02,0.000000000000000000e+00
3.600000000000000000e+02,8.259996771812438965e-02,8.194444444444444198e-01,3.360524773597717285e-02,0.000000000000000000e+00
3.700000000000000000e+02,9.434998035430908203e-02,8.472222222222222099e-01,3.227162361145019531e-02,0.000000000000000000e+00
3.800000000000000000e+02,1.154616102576255798e-01,8.055555555555555802e-01,8.639674633741378784e-02,0.000000000000000000e+00
3.900000000000000000e+02,1.091560721397399902e-01,8.194444444444444198e-01,7.067544013261795044e-02,0.000000000000000000e+00
4.000000000000000000e+02,1.038511544466018677e-01,8.194444444444444198e-01,8.137015998363494873e-02,0.000000000000000000e+00
4.100000000000000000e+02,9.826784580945968628e-02,8.194444444444444198e-01,3.783448040485382080e-02,0.000000000000000000e+00
4.200000000000000000e+02,1.006032899022102356e-01,8.472222222222222099e-01,5.490019917488098145e-02,0.000000000000000000e+00
4.300000000000000000e+02,1.024764850735664368e-01,8.611111111111111605e-01,5.666638910770416260e-02,0.000000000000000000e+00
4.400000000000000000e+02,1.159501150250434875e-01,7.777777777777777901e-01,8.342280238866806030e-02,0.000000000000000000e+00
4.500000000000000000e+02,1.102872714400291443e-01,8.055555555555555802e-01,7.877591997385025024e-02,0.000000000000000000e+00
4.600000000000000000e+02,1.183094829320907593e-01,7.361111111111111605e-01,1.030751243233680725e-01,0.000000000000000000e+00
4.700000000000000000e+02,1.192627251148223877e-01,7.777777777777777901e-01,1.147278547286987305e-01,0.000000000000000000e+00
4.800000000000000000e+02,1.180939897894859314e-01,7.638888888888888395e-01,1.208941563963890076e-01,0.000000000000000000e+00
4.900000000000000000e+02,1.166184693574905396e-01,8.055555555555555802e-01,1.130788773298263550e-01,0.000000000000000000e+00
5.000000000000000000e+02,1.170831620693206787e-01,8.194444444444444198e-01,8.411061763763427734e-02,0.000000000000000000e+00
5.100000000000000000e+02,1.030692160129547119e-01,8.055555555555555802e-01,5.770430341362953186e-02,0.000000000000000000e+00
5.200000000000000000e+02,1.188371926546096802e-01,7.500000000000000000e-01,1.066334545612335205e-01,0.000000000000000000e+00
5.300000000000000000e+02,1.145045161247253418e-01,7.916666666666666297e-01,6.522329151630401611e-02,0.000000000000000000e+00
5.400000000000000000e+02,1.038976386189460754e-01,7.916666666666666297e-01,4.811259731650352478e-02,0.000000000000000000e+00
5.500000000000000000e+02,9.962236881256103516e-02,7.500000000000000000e-01,3.349857032299041748e-02,0.000000000000000000e+00
5.600000000000000000e+02,1.181420385837554932e-01,7.083333333333333703e-01,7.786254584789276123e-02,0.000000000000000000e+00
