time_ps,interface_rmsd_nm,native_contact_fraction,peptide_com_shift_nm,departed
0.000000000000000000e+00,6.853326084410582553e-08,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,7.907849550247192383e-02,9.687500000000000000e-01,3.196079283952713013e-02,0.000000000000000000e+00
2.000000000000000000e+01,8.061113208532333374e-02,9.062500000000000000e-01,4.605603963136672974e-02,0.000000000000000000e+00
3.000000000000000000e+01,7.441626489162445068e-02,9.531250000000000000e-01,1.641122996807098389e-02,0.000000000000000000e+00
4.000000000000000000e+01,8.934431523084640503e-02,9.375000000000000000e-01,3.970912843942642212e-02,0.000000000000000000e+00
5.000000000000000000e+01,8.260420709848403931e-02,9.531250000000000000e-01,5.149298161268234253e-02,0.000000000000000000e+00
6.000000000000000000e+01,8.203262835741043091e-02,9.218750000000000000e-01,5.319947004318237305e-02,0.000000000000000000e+00
7.000000000000000000e+01,9.395211189985275269e-02,9.531250000000000000e-01,7.411679625511169434e-02,0.000000000000000000e+00
8.000000000000000000e+01,9.042906016111373901e-02,9.062500000000000000e-01,4.820534214377403259e-02,0.000000000000000000e+00
9.000000000000000000e+01,1.103461086750030518e-01,9.062500000000000000e-01,9.833230823278427124e-02,0.000000000000000000e+00
1.000000000000000000e+02,9.430561959743499756e-02,9.062500000000000000e-01,5.714179947972297668e-02,0.000000000000000000e+00
1.100000000000000000e+02,8.655073493719100952e-02,9.218750000000000000e-01,4.897985607385635376e-02,0.000000000000000000e+00
1.200000000000000000e+02,7.544670253992080688e-02,9.218750000000000000e-01,2.717931382358074188e-02,0.000000000000000000e+00
1.300000000000000000e+02,8.076956868171691895e-02,9.375000000000000000e-01,4.656029120087623596e-02,0.000000000000000000e+00
1.400000000000000000e+02,9.086672961711883545e-02,8.906250000000000000e-01,4.799909517168998718e-02,0.000000000000000000e+00
1.500000000000000000e+02,1.033452972769737244e-01,8.593750000000000000e-01,7.247842103242874146e-02,0.000000000000000000e+00
1.600000000000000000e+02,1.037337929010391235e-01,9.218750000000000000e-01,5.798291787505149841e-02,0.000000000000000000e+00
1.700000000000000000e+02,1.103864684700965881e-01,7.656250000000000000e-01,6.262054294347763062e-02,0.000000000000000000e+00
1.800000000000000000e+02,1.016285121440887451e-01,8.281250000000000000e-01,3.125863522291183472e-02,0.000000000000000000e+00
