time_ps,interface_rmsd_nm,native_contact_fraction,peptide_com_shift_nm,departed
0.000000000000000000e+00,2.496563844545107713e-08,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,7.030497491359710693e-02,9.152542372881355970e-01,3.397503495216369629e-02,0.000000000000000000e+00
2.000000000000000000e+01,8.284303545951843262e-02,9.152542372881355970e-01,3.210743516683578491e-02,0.000000000000000000e+00
3.000000000000000000e+01,9.108453243970870972e-02,9.661016949152542166e-01,4.855186492204666138e-02,0.000000000000000000e+00
4.000000000000000000e+01,8.464448153972625732e-02,9.152542372881355970e-01,5.468891561031341553e-02,0.000000000000000000e+00
5.000000000000000000e+01,8.923476189374923706e-02,9.661016949152542166e-01,2.308258973062038422e-02,0.000000000000000000e+00
6.000000000000000000e+01,8.661197125911712646e-02,9.322033898305084332e-01,1.899915933609008789e-02,0.000000000000000000e+00
7.000000000000000000e+01,9.901826083660125732e-02,9.152542372881355970e-01,1.164813525974750519e-02,0.000000000000000000e+00
8.000000000000000000e+01,1.000004112720489502e-01,9.830508474576271638e-01,2.909216843545436859e-02,0.000000000000000000e+00
9.000000000000000000e+01,9.243618696928024292e-02,9.152542372881355970e-01,2.322610281407833099e-02,0.000000000000000000e+00
1.000000000000000000e+02,8.998228609561920166e-02,9.322033898305084332e-01,9.830201976001262665e-03,0.000000000000000000e+00
1.100000000000000000e+02,9.690431505441665649e-02,9.322033898305084332e-01,4.387089610099792480e-02,0.000000000000000000e+00
1.200000000000000000e+02,1.126007661223411560e-01,8.983050847457627608e-01,2.648163400590419769e-02,0.000000000000000000e+00
1.300000000000000000e+02,1.007418036460876465e-01,9.322033898305084332e-01,5.346767231822013855e-02,0.000000000000000000e+00
1.400000000000000000e+02,9.339590370655059814e-02,9.322033898305084332e-01,2.433784119784832001e-02,0.000000000000000000e+00
1.500000000000000000e+02,1.066158860921859741e-01,8.983050847457627608e-01,1.662326231598854065e-02,0.000000000000000000e+00
1.600000000000000000e+02,1.022804975509643555e-01,9.152542372881355970e-01,2.732099778950214386e-02,0.000000000000000000e+00
1.700000000000000000e+02,1.122056767344474792e-01,9.152542372881355970e-01,4.748999327421188354e-02,0.000000000000000000e+00
1.800000000000000000e+02,1.047371551394462585e-01,9.152542372881355970e-01,3.085066564381122589e-02,0.000000000000000000e+00
1.900000000000000000e+02,1.172229349613189697e-01,9.830508474576271638e-01,3.135437518358230591e-02,0.000000000000000000e+00
2.000000000000000000e+02,1.070545241236686707e-01,8.644067796610169774e-01,3.345291316509246826e-02,0.000000000000000000e+00
2.100000000000000000e+02,1.063686981797218323e-01,8.983050847457627608e-01,3.796683996915817261e-02,0.000000000000000000e+00
2.200000000000000000e+02,1.075862720608711243e-01,8.644067796610169774e-01,4.965754970908164978e-02,0.000000000000000000e+00
