time_ps,interface_rmsd_nm,native_contact_fraction,peptide_com_shift_nm,departed
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,6.166118010878562927e-02,9.200000000000000400e-01,1.849173009395599365e-02,0.000000000000000000e+00
2.000000000000000000e+01,8.228310942649841309e-02,8.666666666666666963e-01,2.989665605127811432e-02,0.000000000000000000e+00
3.000000000000000000e+01,9.402747452259063721e-02,8.000000000000000444e-01,5.710220709443092346e-02,0.000000000000000000e+00
4.000000000000000000e+01,8.664114028215408325e-02,8.933333333333333126e-01,4.987002164125442505e-02,0.000000000000000000e+00
5.000000000000000000e+01,8.825040608644485474e-02,8.266666666666666607e-01,2.837533317506313324e-02,0.000000000000000000e+00
6.000000000000000000e+01,9.408178180456161499e-02,8.266666666666666607e-01,3.356339782476425171e-02,0.000000000000000000e+00
7.000000000000000000e+01,8.306109160184860229e-02,8.399999999999999689e-01,3.877114504575729370e-02,0.000000000000000000e+00
8.000000000000000000e+01,7.896994054317474365e-02,8.533333333333333881e-01,5.555335804820060730e-02,0.000000000000000000e+00
9.000000000000000000e+01,1.025668382644653320e-01,8.666666666666666963e-01,4.382672905921936035e-02,0.000000000000000000e+00
1.000000000000000000e+02,1.060666292905807495e-01,8.533333333333333881e-01,3.264505043625831604e-02,0.000000000000000000e+00
1.100000000000000000e+02,9.565237164497375488e-02,8.399999999999999689e-01,6.177840009331703186e-02,0.000000000000000000e+00
1.200000000000000000e+02,8.090418577194213867e-02,8.666666666666666963e-01,3.873757272958755493e-02,0.000000000000000000e+00
1.300000000000000000e+02,9.085960686206817627e-02,8.800000000000000044e-01,1.734920963644981384e-02,0.000000000000000000e+00
1.400000000000000000e+02,9.130900353193283081e-02,8.933333333333333126e-01,2.240164764225482941e-02,0.000000000000000000e+00
1.500000000000000000e+02,8.634018898010253906e-02,9.066666666666666208e-01,3.431811183691024780e-02,0.000000000000000000e+00
1.600000000000000000e+02,9.277529269456863403e-02,9.066666666666666208e-01,2.668889425694942474e-02,0.000000000000000000e+00
1.700000000000000000e+02,9.657188504934310913e-02,8.533333333333333881e-01,5.292780697345733643e-02,0.000000000000000000e+00
1.800000000000000000e+02,1.192366704344749451e-01,8.399999999999999689e-01,5.525974556803703308e-02,0.000000000000000000e+00
1.900000000000000000e+02,1.173109337687492371e-01,9.066666666666666208e-01,3.353954106569290161e-02,0.000000000000000000e+00
2.000000000000000000e+02,1.096834540367126465e-01,8.666666666666666963e-01,2.973918244242668152e-02,0.000000000000000000e+00
2.100000000000000000e+02,1.061354875564575195e-01,9.200000000000000400e-01,7.005173712968826294e-02,0.000000000000000000e+00
2.200000000000000000e+02,1.040970832109451294e-01,8.666666666666666963e-01,6.435445696115493774e-02,0.000000000000000000e+00
2.300000000000000000e+02,1.194779947400093079e-01,8.666666666666666963e-01,6.542794406414031982e-02,0.000000000000000000e+00
2.400000000000000000e+02,1.048215553164482117e-01,8.399999999999999689e-01,3.973267972469329834e-02,0.000000000000000000e+00
2.500000000000000000e+02,9.336440265178680420e-02,8.933333333333333126e-01,5.677532032132148743e-02,0.000000000000000000e+00
2.600000000000000000e+02,9.692815691232681274e-02,8.933333333333333126e-01,6.778381019830703735e-02,0.000000000000000000e+00
2.700000000000000000e+02,1.046283617615699768e-01,8.933333333333333126e-01,6.406591087579727173e-02,0.000000000000000000e+00
2.800000000000000000e+02,9.692993760108947754e-02,8.666666666666666963e-01,4.765859618782997131e-02,0.000000000000000000e+00
2.900000000000000000e+02,9.414935111999511719e-02,8.266666666666666607e-01,4.174708202481269836e-02,0.000000000000000000e+00
3.000000000000000000e+02,1.034047380089759827e-01,8.666666666666666963e-01,6.971526890993118286e-02,0.000000000000000000e+00
3.100000000000000000e+02,1.272212862968444824e-01,8.533333333333333881e-01,7.589685171842575073e-02,0.000000000000000000e+00
3.200000000000000000e+02,1.126781627535820007e-01,9.066666666666666208e-01,7.596712559461593628e-02,0.000000000000000000e+00
3.300000000000000000e+02,1.009126901626586914e-01,8.399999999999999689e-01,4.963089525699615479e-02,0.000000000000000000e+00
3.400000000000000000e+02,8.888333290815353394e-02,8.399999999999999689e-01,3.847597539424896240e-02,0.000000000000000000e+00
3.500000000000000000e+02,9.947495907545089722e-02,8.533333333333333881e-01,4.521784558892250061e-02,0.000000000000000000e+00
3.600000000000000000e+02,8.722288161516189575e-02,8.399999999999999689e-01,3.464357927441596985e-02,0.000000000000000000e+00
3.700000000000000000e+02,8.643345534801483154e-02,8.266666666666666607e-01,4.831482097506523132e-02,0.000000000000000000e+00
3.800000000000000000e+02,8.898653835058212280e-02,7.866666666666666252e-01,4.753911122679710388e-02,0.000000000000000000e+00
3.900000000000000000e+02,9.298471361398696899e-02,8.133333333333333526e-01,2.648822590708732605e-02,0.000000000000000000e+00
4.000000000000000000e+02,1.140155941247940063e-01,8.399999999999999689e-01,2.591722086071968079e-02,0.000000000000000000e+00
4.100000000000000000e+02,1.136611923575401306e-01,8.133333333333333526e-01,4.846082255244255066e-02,0.000000000000000000e+00
4.200000000000000000e+02,1.059133335947990417e-01,8.533333333333333881e-01,4.726545885205268860e-02,0.000000000000000000e+00
4.300000000000000000e+02,1.008028164505958557e-01,8.533333333333333881e-01,3.502747789025306702e-02,0.000000000000000000e+00
4.400000000000000000e+02,1.107199937105178833e-01,8.133333333333333526e-01,3.198064491152763367e-02,0.000000000000000000e+00
4.500000000000000000e+02,1.173592656850814819e-01,8.133333333333333526e-01,4.734815657138824463e-02,0.000000000000000000e+00
4.600000000000000000e+02,1.139925569295883179e-01,9.066666666666666208e-01,6.262841820716857910e-02,0.000000000000000000e+00
4.700000000000000000e+02,9.699823707342147827e-02,8.933333333333333126e-01,4.677702113986015320e-02,0.000000000000000000e+00
4.800000000000000000e+02,1.110670268535614014e-01,8.000000000000000444e-01,4.933505505323410034e-02,0.000000000000000000e+00
4.900000000000000000e+02,1.016747653484344482e-01,8.666666666666666963e-01,5.540224537253379822e-02,0.000000000000000000e+00
5.000000000000000000e+02,1.012746170163154602e-01,8.666666666666666963e-01,4.626828059554100037e-02,0.000000000000000000e+00
5.100000000000000000e+02,9.217114746570587158e-02,8.800000000000000044e-01,3.025894612073898315e-02,0.000000000000000000e+00
5.200000000000000000e+02,1.013748869299888611e-01,8.533333333333333881e-01,4.561043530702590942e-02,0.000000000000000000e+00
5.300000000000000000e+02,8.903030306100845337e-02,8.399999999999999689e-01,9.173202328383922577e-03,0.000000000000000000e+00
5.400000000000000000e+02,1.020283252000808716e-01,7.733333333333333171e-01,5.170728638768196106e-02,0.000000000000000000e+00
5.500000000000000000e+02,9.231638163328170776e-02,7.866666666666666252e-01,4.541304707527160645e-02,0.000000000000000000e+00
5.600000000000000000e+02,1.025239825248718262e-01,8.133333333333333526e-01,2.457847818732261658e-02,0.000000000000000000e+00
5.700000000000000000e+02,1.125311404466629028e-01,8.133333333333333526e-01,3.644676133990287781e-02,0.000000000000000000e+00
5.800000000000000000e+02,1.226123720407485962e-01,8.000000000000000444e-01,5.557969212532043457e-02,0.000000000000000000e+00
5.900000000000000000e+02,1.324664056301116943e-01,7.733333333333333171e-01,5.807268619537353516e-02,0.000000000000000000e+00
6.000000000000000000e+02,1.152812018990516663e-01,8.266666666666666607e-01,5.005104094743728638e-02,0.000000000000000000e+00
6.100000000000000000e+02,1.310630738735198975e-01,7.733333333333333171e-01,5.921142175793647766e-02,0.000000000000000000e+00
6.200000000000000000e+02,1.436191499233245850e-01,7.199999999999999734e-01,5.016247183084487915e-02,0.000000000000000000e+00
