time_ps,interface_rmsd_nm,native_contact_fraction,peptide_com_shift_nm,departed
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,6.418895721435546875e-02,8.837209302325581550e-01,3.969194740056991577e-02,0.000000000000000000e+00
2.000000000000000000e+01,6.604270637035369873e-02,8.837209302325581550e-01,4.716903343796730042e-02,0.000000000000000000e+00
3.000000000000000000e+01,6.233491376042366028e-02,8.953488372093023617e-01,4.038730636239051819e-02,0.000000000000000000e+00
4.000000000000000000e+01,7.445164024829864502e-02,8.837209302325581550e-01,3.859801217913627625e-02,0.000000000000000000e+00
5.000000000000000000e+01,7.018245756626129150e-02,8.953488372093023617e-01,3.540019318461418152e-02,0.000000000000000000e+00
6.000000000000000000e+01,7.130898535251617432e-02,8.837209302325581550e-01,1.478448510169982910e-02,0.000000000000000000e+00
7.000000000000000000e+01,7.447281479835510254e-02,9.186046511627906641e-01,4.151874035596847534e-02,0.000000000000000000e+00
8.000000000000000000e+01,7.088850438594818115e-02,8.953488372093023617e-01,2.186459861695766449e-02,0.000000000000000000e+00
9.000000000000000000e+01,6.863936781883239746e-02,9.186046511627906641e-01,3.050969541072845459e-02,0.000000000000000000e+00
1.000000000000000000e+02,6.432268768548965454e-02,8.953488372093023617e-01,4.153091832995414734e-02,0.000000000000000000e+00
1.100000000000000000e+02,8.041775226593017578e-02,8.720930232558139483e-01,3.540084883570671082e-02,0.000000000000000000e+00
1.200000000000000000e+02,7.451394200325012207e-02,9.069767441860464574e-01,3.500830382108688354e-02,0.000000000000000000e+00
1.300000000000000000e+02,7.671290636062622070e-02,9.186046511627906641e-01,3.457588329911231995e-02,0.000000000000000000e+00
1.400000000000000000e+02,8.158190548419952393e-02,9.069767441860464574e-01,4.361195862293243408e-02,0.000000000000000000e+00
1.500000000000000000e+02,8.159242570400238037e-02,8.720930232558139483e-01,4.669365286827087402e-02,0.000000000000000000e+00
1.600000000000000000e+02,8.940133452415466309e-02,8.953488372093023617e-01,5.393881723284721375e-02,0.000000000000000000e+00
1.700000000000000000e+02,7.452624291181564331e-02,9.069767441860464574e-01,5.223434418439865112e-02,0.000000000000000000e+00
1.800000000000000000e+02,8.099363744258880615e-02,8.837209302325581550e-01,4.716559499502182007e-02,0.000000000000000000e+00
1.900000000000000000e+02,8.473503589630126953e-02,8.837209302325581550e-01,6.709802895784378052e-02,0.000000000000000000e+00
2.000000000000000000e+02,7.150249183177947998e-02,9.069767441860464574e-01,3.995648398995399475e-02,0.000000000000000000e+00
2.100000000000000000e+02,8.640042692422866821e-02,8.837209302325581550e-01,5.427445843815803528e-02,0.000000000000000000e+00
2.200000000000000000e+02,9.562593698501586914e-02,8.604651162790697416e-01,6.823092699050903320e-02,0.000000000000000000e+00
2.300000000000000000e+02,9.971222281455993652e-02,8.372093023255814392e-01,6.699199974536895752e-02,0.000000000000000000e+00
2.400000000000000000e+02,9.932671487331390381e-02,8.604651162790697416e-01,8.148300647735595703e-02,0.000000000000000000e+00
2.500000000000000000e+02,1.137630492448806763e-01,8.604651162790697416e-01,7.512649893760681152e-02,0.000000000000000000e+00
2.600000000000000000e+02,1.050438657402992249e-01,8.255813953488372325e-01,8.311308920383453369e-02,0.000000000000000000e+00
2.700000000000000000e+02,1.219766065478324890e-01,8.488372093023255349e-01,6.874603033065795898e-02,0.000000000000000000e+00
2.800000000000000000e+02,1.146047934889793396e-01,8.720930232558139483e-01,7.684693485498428345e-02,0.000000000000000000e+00
2.900000000000000000e+02,1.108692884445190430e-01,8.488372093023255349e-01,7.573211938142776489e-02,0.000000000000000000e+00
3.000000000000000000e+02,1.138699129223823547e-01,8.953488372093023617e-01,5.746422708034515381e-02,0.000000000000000000e+00
3.100000000000000000e+02,1.164887025952339172e-01,8.720930232558139483e-01,6.188960000872612000e-02,0.000000000000000000e+00
3.200000000000000000e+02,1.000428721308708191e-01,8.953488372093023617e-01,4.443324357271194458e-02,0.000000000000000000e+00
3.300000000000000000e+02,1.041067615151405334e-01,8.255813953488372325e-01,7.028878480195999146e-02,0.000000000000000000e+00
3.400000000000000000e+02,1.144391372799873352e-01,8.604651162790697416e-01,8.189865201711654663e-02,0.000000000000000000e+00
3.500000000000000000e+02,1.198368221521377563e-01,9.069767441860464574e-01,8.569818735122680664e-02,0.000000000000000000e+00
3.600000000000000000e+02,1.186636835336685181e-01,8.953488372093023617e-01,7.740382105112075806e-02,0.000000000000000000e+00
3.700000000000000000e+02,1.175582632422447205e-01,8.837209302325581550e-01,7.411351054906845093e-02,0.000000000000000000e+00
3.800000000000000000e+02,1.163111552596092224e-01,8.953488372093023617e-01,4.828627407550811768e-02,0.000000000000000000e+00
3.900000000000000000e+02,1.187001392245292664e-01,8.372093023255814392e-01,8.540811389684677124e-02,0.000000000000000000e+00
4.000000000000000000e+02,1.186015456914901733e-01,8.720930232558139483e-01,7.644365727901458740e-02,0.000000000000000000e+00
4.100000000000000000e+02,1.432623118162155151e-01,8.488372093023255349e-01,1.149365901947021484e-01,0.000000000000000000e+00
4.200000000000000000e+02,1.439047008752822876e-01,8.488372093023255349e-01,1.231875866651535034e-01,0.000000000000000000e+00
4.300000000000000000e+02,1.676904261112213135e-01,8.372093023255814392e-01,1.149744540452957153e-01,0.000000000000000000e+00
4.400000000000000000e+02,1.393500715494155884e-01,8.255813953488372325e-01,9.381856769323348999e-02,0.000000000000000000e+00
4.500000000000000000e+02,1.400057524442672729e-01,8.604651162790697416e-01,6.748390197753906250e-02,0.000000000000000000e+00
4.600000000000000000e+02,1.401389092206954956e-01,8.720930232558139483e-01,9.790110588073730469e-02,0.000000000000000000e+00
4.700000000000000000e+02,1.366029828786849976e-01,8.837209302325581550e-01,9.236016124486923218e-02,0.000000000000000000e+00
4.800000000000000000e+02,1.278491467237472534e-01,8.953488372093023617e-01,8.395820111036300659e-02,0.000000000000000000e+00
4.900000000000000000e+02,1.534281075000762939e-01,8.837209302325581550e-01,1.248004958033561707e-01,0.000000000000000000e+00
5.000000000000000000e+02,1.292422413825988770e-01,8.139534883720930258e-01,1.099978610873222351e-01,0.000000000000000000e+00
5.100000000000000000e+02,1.220627278089523315e-01,8.604651162790697416e-01,8.800058066844940186e-02,0.000000000000000000e+00
5.200000000000000000e+02,1.179630979895591736e-01,8.953488372093023617e-01,7.847791910171508789e-02,0.000000000000000000e+00
5.300000000000000000e+02,1.119285672903060913e-01,8.720930232558139483e-01,4.655441641807556152e-02,0.000000000000000000e+00
5.400000000000000000e+02,1.238684058189392090e-01,8.720930232558139483e-01,8.957262337207794189e-02,0.000000000000000000e+00
5.500000000000000000e+02,1.137413531541824341e-01,9.186046511627906641e-01,6.882213056087493896e-02,0.000000000000000000e+00
5.600000000000000000e+02,1.147687509655952454e-01,8.953488372093023617e-01,6.195457279682159424e-02,0.000000000000000000e+00
5.700000000000000000e+02,1.154440268874168396e-01,9.186046511627906641e-01,7.322791963815689087e-02,0.000000000000000000e+00
5.800000000000000000e+02,1.054560393095016479e-01,8.837209302325581550e-01,2.852628007531166077e-02,0.000000000000000000e+00
5.900000000000000000e+02,1.152867078781127930e-01,8.953488372093023617e-01,7.772560417652130127e-02,0.000000000000000000e+00
6.000000000000000000e+02,1.336566507816314697e-01,8.372093023255814392e-01,8.059756457805633545e-02,0.000000000000000000e+00
6.100000000000000000e+02,1.326806843280792236e-01,8.604651162790697416e-01,7.856920361518859863e-02,0.000000000000000000e+00
6.200000000000000000e+02,1.265601515769958496e-01,8.953488372093023617e-01,6.638083606958389282e-02,0.000000000000000000e+00
6.300000000000000000e+02,1.119038090109825134e-01,8.837209302325581550e-01,6.958939135074615479e-02,0.000000000000000000e+00
6.400000000000000000e+02,1.196732595562934875e-01,8.953488372093023617e-01,7.858075201511383057e-02,0.000000000000000000e+00
6.500000000000000000e+02,1.288795769214630127e-01,8.837209302325581550e-01,8.673314005136489868e-02,0.000000000000000000e+00
6.600000000000000000e+02,1.233278661966323853e-01,8.837209302325581550e-01,6.862951070070266724e-02,0.000000000000000000e+00
6.700000000000000000e+02,1.240212991833686829e-01,8.953488372093023617e-01,8.398278057575225830e-02,0.000000000000000000e+00
6.800000000000000000e+02,1.285313516855239868e-01,8.837209302325581550e-01,8.198548108339309692e-02,0.000000000000000000e+00
6.900000000000000000e+02,1.169729828834533691e-01,8.953488372093023617e-01,6.511694192886352539e-02,0.000000000000000000e+00
7.000000000000000000e+02,1.224411576986312866e-01,8.837209302325581550e-01,7.469580322504043579e-02,0.000000000000000000e+00
7.100000000000000000e+02,1.413118094205856323e-01,8.837209302325581550e-01,6.619308143854141235e-02,0.000000000000000000e+00
7.200000000000000000e+02,1.299634277820587158e-01,8.837209302325581550e-01,4.998493939638137817e-02,0.000000000000000000e+00
7.300000000000000000e+02,1.358656287193298340e-01,8.720930232558139483e-01,5.394987761974334717e-02,0.000000000000000000e+00
7.400000000000000000e+02,1.351999044418334961e-01,8.720930232558139483e-01,6.609524786472320557e-02,0.000000000000000000e+00
7.500000000000000000e+02,1.242450401186943054e-01,8.720930232558139483e-01,8.038476109504699707e-02,0.000000000000000000e+00
7.600000000000000000e+02,1.504141688346862793e-01,8.488372093023255349e-01,1.201796233654022217e-01,0.000000000000000000e+00
7.700000000000000000e+02,1.359696239233016968e-01,8.837209302325581550e-01,8.077894896268844604e-02,0.000000000000000000e+00
7.800000000000000000e+02,1.189734190702438354e-01,9.069767441860464574e-01,6.845759600400924683e-02,0.000000000000000000e+00
7.900000000000000000e+02,1.237701028585433960e-01,8.139534883720930258e-01,8.398766070604324341e-02,0.000000000000000000e+00
8.000000000000000000e+02,1.306160837411880493e-01,8.139534883720930258e-01,8.199135959148406982e-02,0.000000000000000000e+00
8.100000000000000000e+02,1.407376080751419067e-01,8.604651162790697416e-01,1.038954630494117737e-01,0.000000000000000000e+00
8.200000000000000000e+02,1.234744191169738770e-01,8.720930232558139483e-01,9.746229648590087891e-02,0.000000000000000000e+00
8.300000000000000000e+02,1.240336447954177856e-01,8.604651162790697416e-01,8.102210611104965210e-02,0.000000000000000000e+00
8.400000000000000000e+02,1.167455315589904785e-01,8.953488372093023617e-01,6.797005981206893921e-02,0.000000000000000000e+00
8.500000000000000000e+02,1.240153834223747253e-01,8.720930232558139483e-01,8.233052492141723633e-02,0.000000000000000000e+00
8.600000000000000000e+02,1.241256445646286011e-01,8.953488372093023617e-01,8.952943235635757446e-02,0.000000000000000000e+00
