time_ps,interface_rmsd_nm,native_contact_fraction,peptide_com_shift_nm,departed
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,7.000885903835296631e-02,8.962264150943396457e-01,2.235276065766811371e-02,0.000000000000000000e+00
2.000000000000000000e+01,7.196031510829925537e-02,9.339622641509434109e-01,3.614695370197296143e-02,0.000000000000000000e+00
3.000000000000000000e+01,7.023555785417556763e-02,9.433962264150943522e-01,1.218063104897737503e-02,0.000000000000000000e+00
4.000000000000000000e+01,7.849153131246566772e-02,9.056603773584905870e-01,5.194927379488945007e-02,0.000000000000000000e+00
5.000000000000000000e+01,8.800864964723587036e-02,8.679245283018868218e-01,2.483514137566089630e-02,0.000000000000000000e+00
6.000000000000000000e+01,7.796115428209304810e-02,9.056603773584905870e-01,2.988837473094463348e-02,0.000000000000000000e+00
7.000000000000000000e+01,8.898258209228515625e-02,8.962264150943396457e-01,3.279634565114974976e-02,0.000000000000000000e+00
8.000000000000000000e+01,9.394908696413040161e-02,8.962264150943396457e-01,6.616908311843872070e-02,0.000000000000000000e+00
9.000000000000000000e+01,9.185584634542465210e-02,8.773584905660377631e-01,5.874701216816902161e-02,0.000000000000000000e+00
1.000000000000000000e+02,8.372319489717483521e-02,9.245283018867924696e-01,4.875871911644935608e-02,0.000000000000000000e+00
1.100000000000000000e+02,8.438103646039962769e-02,8.962264150943396457e-01,3.535270690917968750e-02,0.000000000000000000e+00
1.200000000000000000e+02,8.455281704664230347e-02,8.867924528301887044e-01,8.332489058375358582e-03,0.000000000000000000e+00
1.300000000000000000e+02,8.714237064123153687e-02,9.339622641509434109e-01,3.019482269883155823e-02,0.000000000000000000e+00
1.400000000000000000e+02,8.489512652158737183e-02,8.490566037735849392e-01,4.325543344020843506e-02,0.000000000000000000e+00
1.500000000000000000e+02,9.438979625701904297e-02,8.773584905660377631e-01,4.443668201565742493e-02,0.000000000000000000e+00
1.600000000000000000e+02,9.642823040485382080e-02,8.773584905660377631e-01,4.321566224098205566e-02,0.000000000000000000e+00
1.700000000000000000e+02,1.078902184963226318e-01,8.679245283018868218e-01,6.009562686085700989e-02,0.000000000000000000e+00
1.800000000000000000e+02,8.432085812091827393e-02,8.584905660377358805e-01,2.738749049603939056e-02,0.000000000000000000e+00
1.900000000000000000e+02,8.080110698938369751e-02,8.584905660377358805e-01,2.852961607277393341e-02,0.000000000000000000e+00
2.000000000000000000e+02,7.883331924676895142e-02,8.962264150943396457e-01,2.514303475618362427e-02,0.000000000000000000e+00
2.100000000000000000e+02,8.369723707437515259e-02,8.867924528301887044e-01,1.260762754827737808e-02,0.000000000000000000e+00
2.200000000000000000e+02,8.398074656724929810e-02,8.679245283018868218e-01,2.237174846231937408e-02,0.000000000000000000e+00
2.300000000000000000e+02,8.059645444154739380e-02,8.679245283018868218e-01,2.464950457215309143e-02,0.000000000000000000e+00
2.400000000000000000e+02,8.486889302730560303e-02,8.962264150943396457e-01,3.094731643795967102e-02,0.000000000000000000e+00
2.500000000000000000e+02,1.005795747041702271e-01,8.584905660377358805e-01,2.161875925958156586e-02,0.000000000000000000e+00
2.600000000000000000e+02,8.965182304382324219e-02,8.679245283018868218e-01,1.304767932742834091e-02,0.000000000000000000e+00
2.700000000000000000e+02,1.018254682421684265e-01,9.056603773584905870e-01,5.143807455897331238e-02,0.000000000000000000e+00
2.800000000000000000e+02,9.987802803516387939e-02,8.584905660377358805e-01,7.703683804720640182e-03,0.000000000000000000e+00
2.900000000000000000e+02,1.059952527284622192e-01,8.679245283018868218e-01,5.309991911053657532e-02,0.000000000000000000e+00
3.000000000000000000e+02,1.013468205928802490e-01,8.962264150943396457e-01,4.676371440291404724e-02,0.000000000000000000e+00
3.100000000000000000e+02,9.671221673488616943e-02,8.584905660377358805e-01,4.715969040989875793e-02,0.000000000000000000e+00
3.200000000000000000e+02,1.032187715172767639e-01,8.301886792452830566e-01,4.064133018255233765e-02,0.000000000000000000e+00
3.300000000000000000e+02,9.902005642652511597e-02,8.018867924528302327e-01,6.386546790599822998e-02,0.000000000000000000e+00
3.400000000000000000e+02,1.030573844909667969e-01,8.018867924528302327e-01,3.884376585483551025e-02,0.000000000000000000e+00
3.500000000000000000e+02,9.092714637517929077e-02,8.490566037735849392e-01,3.520443290472030640e-02,0.000000000000000000e+00
3.600000000000000000e+02,9.375716000795364380e-02,8.773584905660377631e-01,1.255360059440135956e-02,0.000000000000000000e+00
3.700000000000000000e+02,9.461644291877746582e-02,8.679245283018868218e-01,1.263271272182464600e-02,0.000000000000000000e+00
3.800000000000000000e+02,9.411162137985229492e-02,8.018867924528302327e-01,3.147562220692634583e-02,0.000000000000000000e+00
3.900000000000000000e+02,1.122411862015724182e-01,8.490566037735849392e-01,6.106736883521080017e-02,0.000000000000000000e+00
4.000000000000000000e+02,9.013564139604568481e-02,8.490566037735849392e-01,4.393530264496803284e-02,0.000000000000000000e+00
4.100000000000000000e+02,9.560204297304153442e-02,8.490566037735849392e-01,3.538171947002410889e-02,0.000000000000000000e+00
4.200000000000000000e+02,9.575404226779937744e-02,8.113207547169811740e-01,5.449750646948814392e-02,0.000000000000000000e+00
4.300000000000000000e+02,9.069280326366424561e-02,8.773584905660377631e-01,2.770440094172954559e-02,0.000000000000000000e+00
4.400000000000000000e+02,8.918895572423934937e-02,9.150943396226415283e-01,3.759125992655754089e-02,0.000000000000000000e+00
4.500000000000000000e+02,9.482230991125106812e-02,8.867924528301887044e-01,2.407133951783180237e-02,0.000000000000000000e+00
4.600000000000000000e+02,9.599290043115615845e-02,8.679245283018868218e-01,3.345674276351928711e-02,0.000000000000000000e+00
