metric_name,rows,unique_candidates,failed,ood,numeric_missing,text_missing,expected_value_type,applicable_value_missing
amp_read_log10_mic_um,6182,6182,0,0,0,6182,numeric,0
guruprasad_instability_index,6182,6182,0,4147,0,6182,numeric,0
hydrophobic_moment_eisenberg,6182,6182,0,0,0,6182,numeric,0
hydrophobic_ratio_modlamp,6182,6182,0,0,0,6182,numeric,0
llamp_log10_mic_um,6182,6182,0,0,0,6182,numeric,0
macrel_amp_probability,6182,6182,0,0,0,6182,numeric,0
macrel_hemolysis_label,6182,6182,0,0,6182,0,text,0
macrel_hemolysis_probability,6182,6182,0,0,0,6182,numeric,0
maximum_hydrophobic_run,6182,6182,0,0,0,6182,numeric,0
net_charge_ph7_4,6182,6182,0,0,0,6182,numeric,0
toxinpred3_hybrid_score,6182,6182,0,0,0,6182,numeric,0
toxinpred3_label,6182,6182,0,0,6182,0,text,0
