branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,573ea1b4273da1c9e2cf3573db14e3926e58bb67b6c25708cff94921ede711d1,masked_substitution,4cb2ed3facb339d91ca7e44e14764bb692b666fe110cd9f10fe616273a05dcb2,primary_parent,7be9eab26dd3b5157696b430c91e7dc10d825ddc427a8a9b875c679582259a8c,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.8762399631327233,1.6733634366868984,-0.202876526445825,0.202876526445825,true,397d058cce4cf21730ba8ed3aad8a7d963160caa9bc88468c0fac54dea2dc177
vegfa,573ea1b4273da1c9e2cf3573db14e3926e58bb67b6c25708cff94921ede711d1,masked_substitution,4cb2ed3facb339d91ca7e44e14764bb692b666fe110cd9f10fe616273a05dcb2,primary_parent,7be9eab26dd3b5157696b430c91e7dc10d825ddc427a8a9b875c679582259a8c,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,47.96956521739131,14.895652173913039,-33.07391304347827,33.07391304347827,true,440108ac946fe09bf96705a380a724e659757b83b4db5db5e1d9c3b33ee48af2
vegfa,573ea1b4273da1c9e2cf3573db14e3926e58bb67b6c25708cff94921ede711d1,masked_substitution,4cb2ed3facb339d91ca7e44e14764bb692b666fe110cd9f10fe616273a05dcb2,primary_parent,7be9eab26dd3b5157696b430c91e7dc10d825ddc427a8a9b875c679582259a8c,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.03229441963031753,0.11539101607249948,0.08309659644218195,,true,f7b8a404752836012f76f7b329603cc12e4277bfdbccdb4dcdc3d8e1cde0f8ff
vegfa,573ea1b4273da1c9e2cf3573db14e3926e58bb67b6c25708cff94921ede711d1,masked_substitution,4cb2ed3facb339d91ca7e44e14764bb692b666fe110cd9f10fe616273a05dcb2,primary_parent,7be9eab26dd3b5157696b430c91e7dc10d825ddc427a8a9b875c679582259a8c,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.13043478260869565,0.17391304347826086,0.043478260869565216,,true,d151f9652da76d294bd2441201fe0a8cff4ea5c6869eb7e81d3a6884dc92f384
vegfa,573ea1b4273da1c9e2cf3573db14e3926e58bb67b6c25708cff94921ede711d1,masked_substitution,4cb2ed3facb339d91ca7e44e14764bb692b666fe110cd9f10fe616273a05dcb2,primary_parent,7be9eab26dd3b5157696b430c91e7dc10d825ddc427a8a9b875c679582259a8c,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.2110499143600464,1.0270986557006836,-0.1839512586593628,0.1839512586593628,true,7af03e74f164916e443189f0485e30fee8b4d5ec0311fcadc908e8b07140b31c
vegfa,573ea1b4273da1c9e2cf3573db14e3926e58bb67b6c25708cff94921ede711d1,masked_substitution,4cb2ed3facb339d91ca7e44e14764bb692b666fe110cd9f10fe616273a05dcb2,primary_parent,7be9eab26dd3b5157696b430c91e7dc10d825ddc427a8a9b875c679582259a8c,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.505,0.356,-0.14900000000000002,-0.14900000000000002,true,a61bb09fe2aff9bc547e671733aaf20a265d11bb9bf1f3ec84e960a78e1cb6ed
vegfa,573ea1b4273da1c9e2cf3573db14e3926e58bb67b6c25708cff94921ede711d1,masked_substitution,4cb2ed3facb339d91ca7e44e14764bb692b666fe110cd9f10fe616273a05dcb2,primary_parent,7be9eab26dd3b5157696b430c91e7dc10d825ddc427a8a9b875c679582259a8c,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,3800e4b9ca79671f92935c5722f9dd3c94053d49841da27ad608d5a796b04850
vegfa,573ea1b4273da1c9e2cf3573db14e3926e58bb67b6c25708cff94921ede711d1,masked_substitution,4cb2ed3facb339d91ca7e44e14764bb692b666fe110cd9f10fe616273a05dcb2,primary_parent,7be9eab26dd3b5157696b430c91e7dc10d825ddc427a8a9b875c679582259a8c,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.426,0.495,0.069,-0.069,true,f4e6206373b9d50b2783052c8b698d01fb1dcf776884ae86e51a9e4add31beb7
vegfa,573ea1b4273da1c9e2cf3573db14e3926e58bb67b6c25708cff94921ede711d1,masked_substitution,4cb2ed3facb339d91ca7e44e14764bb692b666fe110cd9f10fe616273a05dcb2,primary_parent,7be9eab26dd3b5157696b430c91e7dc10d825ddc427a8a9b875c679582259a8c,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,a9cdded441725d1463ee1d03b2931bf26ad6361e83587bb6ef58751b46404d27
vegfa,573ea1b4273da1c9e2cf3573db14e3926e58bb67b6c25708cff94921ede711d1,masked_substitution,4cb2ed3facb339d91ca7e44e14764bb692b666fe110cd9f10fe616273a05dcb2,primary_parent,7be9eab26dd3b5157696b430c91e7dc10d825ddc427a8a9b875c679582259a8c,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,8.028,8.028,0.0,,false,fe9de99f00023fed8a1e00088fa52f72226a580ba492641309c6d32b328331a3
