branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,a14897e9a5d152c3ef7e8c79ca37298587927bc5a278b86e477cb9e6aeb3d8a4,masked_substitution,b6c7ed9b6f3223bcaaa574a58c12cefaca87673ca58253859fa5675b07a10214,primary_parent,20d0ee70aa417bf80673a569f0068b56059b86ae6f5c2fb85e3d6c06a3aa3422,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.389619117643596,1.2311852221014679,-0.15843389554212806,0.15843389554212806,true,a9bfdb47f9f4d3f565d157641847081df1de0019bd83a6d31ee9b4f8e2a469e6
vegfa,a14897e9a5d152c3ef7e8c79ca37298587927bc5a278b86e477cb9e6aeb3d8a4,masked_substitution,b6c7ed9b6f3223bcaaa574a58c12cefaca87673ca58253859fa5675b07a10214,primary_parent,20d0ee70aa417bf80673a569f0068b56059b86ae6f5c2fb85e3d6c06a3aa3422,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,30.071429,30.071428571428577,-4.2857142190655395e-07,4.2857142190655395e-07,true,5a8c6d687ce2156ec97f1926d56067b0cd43c1bdd2d4fa5fc51cb042d5fdf344
vegfa,a14897e9a5d152c3ef7e8c79ca37298587927bc5a278b86e477cb9e6aeb3d8a4,masked_substitution,b6c7ed9b6f3223bcaaa574a58c12cefaca87673ca58253859fa5675b07a10214,primary_parent,20d0ee70aa417bf80673a569f0068b56059b86ae6f5c2fb85e3d6c06a3aa3422,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.11725309602090855,0.2370297597505575,0.11977666372964896,,true,82babb3156d3f215331d0f0e81818cf08829ac6a867e4482ad7a4cc48ea3e739
vegfa,a14897e9a5d152c3ef7e8c79ca37298587927bc5a278b86e477cb9e6aeb3d8a4,masked_substitution,b6c7ed9b6f3223bcaaa574a58c12cefaca87673ca58253859fa5675b07a10214,primary_parent,20d0ee70aa417bf80673a569f0068b56059b86ae6f5c2fb85e3d6c06a3aa3422,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.14285714285714285,0.23809523809523808,0.09523809523809523,,true,e30134cae93f3b36d77c1884d1e19ebc0b3090f77bc99d5aa2fad642828b330a
vegfa,a14897e9a5d152c3ef7e8c79ca37298587927bc5a278b86e477cb9e6aeb3d8a4,masked_substitution,b6c7ed9b6f3223bcaaa574a58c12cefaca87673ca58253859fa5675b07a10214,primary_parent,20d0ee70aa417bf80673a569f0068b56059b86ae6f5c2fb85e3d6c06a3aa3422,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.3483222723007202,1.622518539428711,0.2741962671279907,-0.2741962671279907,true,f364ff97b1f39825ed2139cc75b55074386f1d7a07e7f78b2fe67f72de4eece7
vegfa,a14897e9a5d152c3ef7e8c79ca37298587927bc5a278b86e477cb9e6aeb3d8a4,masked_substitution,b6c7ed9b6f3223bcaaa574a58c12cefaca87673ca58253859fa5675b07a10214,primary_parent,20d0ee70aa417bf80673a569f0068b56059b86ae6f5c2fb85e3d6c06a3aa3422,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.252,0.454,0.202,0.202,true,d5f95a3cba3adb357950114b41469d5ddfd8d9d43a7452e038d6d0ea8010db16
vegfa,a14897e9a5d152c3ef7e8c79ca37298587927bc5a278b86e477cb9e6aeb3d8a4,masked_substitution,b6c7ed9b6f3223bcaaa574a58c12cefaca87673ca58253859fa5675b07a10214,primary_parent,20d0ee70aa417bf80673a569f0068b56059b86ae6f5c2fb85e3d6c06a3aa3422,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,06595fdd1fe625eae4dc194b4234e93838e380ba425cbd03473ac27db767f809
vegfa,a14897e9a5d152c3ef7e8c79ca37298587927bc5a278b86e477cb9e6aeb3d8a4,masked_substitution,b6c7ed9b6f3223bcaaa574a58c12cefaca87673ca58253859fa5675b07a10214,primary_parent,20d0ee70aa417bf80673a569f0068b56059b86ae6f5c2fb85e3d6c06a3aa3422,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.317,0.396,0.07900000000000001,-0.07900000000000001,true,daaef3bbd2c455f2264ed5ba06f17ef7d3a366bf7186808f1977a938c57af215
vegfa,a14897e9a5d152c3ef7e8c79ca37298587927bc5a278b86e477cb9e6aeb3d8a4,masked_substitution,b6c7ed9b6f3223bcaaa574a58c12cefaca87673ca58253859fa5675b07a10214,primary_parent,20d0ee70aa417bf80673a569f0068b56059b86ae6f5c2fb85e3d6c06a3aa3422,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,4c8675a7796bc726cc270ccf245d04a5155c02c4da139b3b623132e2a6a3259a
vegfa,a14897e9a5d152c3ef7e8c79ca37298587927bc5a278b86e477cb9e6aeb3d8a4,masked_substitution,b6c7ed9b6f3223bcaaa574a58c12cefaca87673ca58253859fa5675b07a10214,primary_parent,20d0ee70aa417bf80673a569f0068b56059b86ae6f5c2fb85e3d6c06a3aa3422,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,9.028,8.028,-1.0,,true,314d66ce22f882566c5ddcc9992f41080a2e3f17999377695d8a66fc213ceb6b
