branch_key,action_sha256,action_type,child_sequence_sha256,baseline_role,parent_sequence_sha256,metric_name,metric_kind,comparable,reason,direction,unit,parent_value,child_value,raw_delta_child_minus_parent,improvement_delta,changed,delta_sha256
vegfa,ee2df3f15cb877add1b6893b2707240dddc085f146b3634fab5682acae02b73b,masked_substitution,82c315f638ed3cbc0d7b05e44e8e6d9b40b2315c1c4e92398cc5451348949438,primary_parent,b1a13140b69537567bd45db7c14ce2ac94055514aa19bcc2eb7681679862770e,amp_read_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.2869570452419083,1.662127356694623,0.37517031145271473,-0.37517031145271473,true,0823cde42ead75871e57096c0e62c36f3b78afdbc13cbe343ebef40e0441eb0d
vegfa,ee2df3f15cb877add1b6893b2707240dddc085f146b3634fab5682acae02b73b,masked_substitution,82c315f638ed3cbc0d7b05e44e8e6d9b40b2315c1c4e92398cc5451348949438,primary_parent,b1a13140b69537567bd45db7c14ce2ac94055514aa19bcc2eb7681679862770e,guruprasad_instability_index,numeric,true,same_frozen_numeric_contract,minimize,index,22.743478260869566,45.74347826086957,23.000000000000007,-23.000000000000007,true,3c2d824ac62cb52284e35263f750219862fa4b345180697dc07933563be40cac
vegfa,ee2df3f15cb877add1b6893b2707240dddc085f146b3634fab5682acae02b73b,masked_substitution,82c315f638ed3cbc0d7b05e44e8e6d9b40b2315c1c4e92398cc5451348949438,primary_parent,b1a13140b69537567bd45db7c14ce2ac94055514aa19bcc2eb7681679862770e,hydrophobic_moment_eisenberg,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,dimensionless,0.05892709344337982,0.05651192210787813,-0.0024151713355016896,,true,53a08211a130130a87f85814a370b8a1b063caefb2419031d7e3ee995dff9197
vegfa,ee2df3f15cb877add1b6893b2707240dddc085f146b3634fab5682acae02b73b,masked_substitution,82c315f638ed3cbc0d7b05e44e8e6d9b40b2315c1c4e92398cc5451348949438,primary_parent,b1a13140b69537567bd45db7c14ce2ac94055514aa19bcc2eb7681679862770e,hydrophobic_ratio_modlamp,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,fraction,0.17391304347826086,0.17391304347826086,0.0,,false,7a5a8b6827b7fa072d4f1d682f56da31d93eb58faf029ddd2dd72c21a01f7a3a
vegfa,ee2df3f15cb877add1b6893b2707240dddc085f146b3634fab5682acae02b73b,masked_substitution,82c315f638ed3cbc0d7b05e44e8e6d9b40b2315c1c4e92398cc5451348949438,primary_parent,b1a13140b69537567bd45db7c14ce2ac94055514aa19bcc2eb7681679862770e,llamp_log10_mic_um,numeric,true,same_frozen_numeric_contract,minimize,log10(uM),1.012213945388794,1.0843976736068726,0.07218372821807861,-0.07218372821807861,true,4a1ed5fb4e2d890abfed5183b1c98b20097b88901363c9d02044624c86ffa5a6
vegfa,ee2df3f15cb877add1b6893b2707240dddc085f146b3634fab5682acae02b73b,masked_substitution,82c315f638ed3cbc0d7b05e44e8e6d9b40b2315c1c4e92398cc5451348949438,primary_parent,b1a13140b69537567bd45db7c14ce2ac94055514aa19bcc2eb7681679862770e,macrel_amp_probability,numeric,true,same_frozen_numeric_contract,maximize,probability,0.396,0.455,0.059,0.059,true,d72914f1127251b20e148a8d4d87e3ac7d61ffff2376a8c4e6b789afa3b0e9be
vegfa,ee2df3f15cb877add1b6893b2707240dddc085f146b3634fab5682acae02b73b,masked_substitution,82c315f638ed3cbc0d7b05e44e8e6d9b40b2315c1c4e92398cc5451348949438,primary_parent,b1a13140b69537567bd45db7c14ce2ac94055514aa19bcc2eb7681679862770e,macrel_hemolysis_label,categorical,true,same_frozen_label_contract,audit,label,low,low,,,false,fb1cd3f0e2f9463fd2389d76203ea6f4a75d4a41ab14fb15a7bc8c50c703dbba
vegfa,ee2df3f15cb877add1b6893b2707240dddc085f146b3634fab5682acae02b73b,masked_substitution,82c315f638ed3cbc0d7b05e44e8e6d9b40b2315c1c4e92398cc5451348949438,primary_parent,b1a13140b69537567bd45db7c14ce2ac94055514aa19bcc2eb7681679862770e,macrel_hemolysis_probability,numeric,true,same_frozen_numeric_contract,minimize,probability,0.485,0.426,-0.059,0.059,true,43075f168d729a0614a82f631c0d5b1a18ebae7b2a6d648634ab2f25e321dd55
vegfa,ee2df3f15cb877add1b6893b2707240dddc085f146b3634fab5682acae02b73b,masked_substitution,82c315f638ed3cbc0d7b05e44e8e6d9b40b2315c1c4e92398cc5451348949438,primary_parent,b1a13140b69537567bd45db7c14ce2ac94055514aa19bcc2eb7681679862770e,maximum_hydrophobic_run,numeric,true,same_frozen_numeric_contract,minimize,residues,1.0,1.0,0.0,-0.0,false,0c226cfa18366497c568cfc0b6850efb2460edfa4ec3c5f9fd3133edbb1e2869
vegfa,ee2df3f15cb877add1b6893b2707240dddc085f146b3634fab5682acae02b73b,masked_substitution,82c315f638ed3cbc0d7b05e44e8e6d9b40b2315c1c4e92398cc5451348949438,primary_parent,b1a13140b69537567bd45db7c14ce2ac94055514aa19bcc2eb7681679862770e,net_charge_ph7_4,numeric,false,audit_metric_has_no_monotonic_improvement_direction,audit,elementary_charge,8.028,8.029,0.0009999999999994458,,true,95ef5e511c826bbb622e757453f9d1586cc3303cb51e6aa85777cf7e2220bd38
